Family,Genus,species,subspecies,Size_Dimorphism,Sexual_Dimorphism,DM_Head,Natal_Coat,ConD,ConM,ConB,Sexual_Dichromatism,DC_Head
cercopithecidae,allenopithecus,nigroviridis,NA,1,0,0,1,0,0,0,0,0
cheirogaleidae,allocebus,trichotis,NA,1,0,0,0,0,0,0,0,0
cebidae,alouatta,caraya,NA,1,1,1,1,1,0,0,1,0
cebidae,alouatta,guariba,NA,1,1,1,1,0,0,0,1,0
cebidae,alouatta,palliata,palliata,1,1,0,1,0,0,0,0,0
cebidae,alouatta,pigra,NA,1,0,0,1,0,0,0,0,0
cebidae,alouatta,belzebul,NA,1,0,0,0,0,0,0,1,0
cebidae,alouatta,coibensis,NA,1,0,0,0,0,0,0,0,0
cebidae,alouatta,sara,NA,0,0,0,1,0,0,0,0,0
cebidae,alouatta,seniculus,macconnelli,1,1,0,0,0,0,0,1,1
cebidae,aotus,nigriceps,NA,1,0,0,0,0,0,0,0,0
cebidae,aotus,trivirgatus,NA,1,0,0,0,0,0,0,0,0
loridae,arctocebus,aureus,NA,0,0,0,1,0,0,0,0,0
loridae,arctocebus,calabarensis,NA,0,0,0,1,0,0,0,0,0
cebidae,ateles,belzebuth,NA,0,0,0,0,0,0,0,0,0
cebidae,ateles,chamek,NA,0,0,0,0,0,0,0,0,0
cebidae,ateles,fusciceps,NA,0,0,0,0,0,0,0,0,0
cebidae,ateles,geoffroyi,NA,0,0,0,1,0,0,0,0,0
cebidae,ateles,marginatus,NA,0,0,0,1,0,0,0,0,0
cebidae,ateles,paniscus,paniscus,0,0,0,1,0,0,0,0,0
indridae,avahi,laniger,NA,1,0,0,1,0,0,0,0,0
cebidae,brachyteles,arachnoides,NA,1,0,0,1,0,0,0,1,0
cebidae,cacajao,calvus,NA,1,0,0,0,0,0,0,0,0
cebidae,cacajao,melanocephalus,NA,0,0,0,0,0,0,0,0,NA
cebidae,callicebus,brunneus,NA,0,0,0,0,0,0,0,0,0
cebidae,callicebus,caligatus,NA,0,0,0,0,0,0,0,0,0
cebidae,callicebus,cupreus,NA,0,0,0,0,0,0,0,0,0
cebidae,callicebus,cinerascens,NA,0,0,0,0,0,0,0,0,0
cebidae,callicebus,donacophilus,NA,0,0,0,0,0,0,0,0,0
cebidae,callicebus,dubius,NA,0,0,0,0,0,0,0,0,0
cebidae,callicebus,hoffmannsi,NA,0,0,0,0,0,0,0,0,0
cebidae,callicebus,moloch,cupreus,0,0,0,0,0,0,0,0,0
cebidae,callicebus,personatus,nigrifrons,0,0,0,1,0,0,0,1,0
cebidae,callicebus,torquatus,NA,1,0,0,0,0,0,0,0,0
callitrichidae,callimico,goeldii,NA,0,0,0,0,0,0,0,0,0
callitrichidae,mico,argentata,NA,0,0,0,0,0,0,0,0,0
callitrichidae,callithrix,aurita,NA,0,0,0,0,0,0,0,0,0
callitrichidae,callithrix,flaviceps,NA,0,0,0,0,0,0,0,0,0
callitrichidae,callithrix,geoffroyi,NA,1,0,0,0,0,0,0,0,0
callitrichidae,mico,humeralifer,NA,0,0,0,0,0,0,0,0,0
callitrichidae,callithrix,jacchus,NA,0,0,0,0,0,0,0,0,0
callitrichidae,mico,mauesi,NA,1,0,0,0,0,0,0,0,0
callitrichidae,callithrix,kuhlii,NA,0,0,0,0,0,0,0,0,0
callitrichidae,mico,nigriceps,NA,0,0,0,0,0,0,0,0,0
callitrichidae,callithrix,penicillata,NA,1,0,0,1,0,0,0,0,0
callitrichidae,callithrix,pygmaea,NA,0,0,0,0,0,0,0,0,0
cebidae,cebus,albifrons,NA,1,1,1,0,0,0,0,1,0
cebidae,sapajus,apella,NA,1,0,0,1,0,0,0,1,0
cebidae,cebus,capucinus,NA,1,1,0,0,0,0,0,1,0
cebidae,cebus,olivaceus,NA,1,0,0,0,0,0,0,0,0
cercopithecidae,cercocebus,agilis,NA,1,0,0,1,0,0,0,0,0
cercopithecidae,cercocebus,galeritus,NA,1,1,0,1,0,0,0,1,0
cercopithecidae,cercocebus,torquatus, torquatus,1,0,0,1,0,0,0,0,0
cercopithecidae,cercocebus,atys,atys,0,0,0,1,0,0,0,0,0
cercopithecidae,cercopithecus,ascanius,NA,1,0,0,1,0,0,0,0,0
cercopithecidae,cercopithecus,campbelli,NA,1,0,0,1,0,0,0,0,0
cercopithecidae,cercopithecus,cephus,NA,1,0,0,1,0,0,0,0,0
cercopithecidae,cercopithecus,diana,NA,1,0,0,1,0,0,0,0,0
cercopithecidae,cercopithecus,dryas,NA,1,0,0,1,0,0,0,0,0
cercopithecidae,cercopithecus,erythrogaster,0,1,0,1,0,0,0,0,0,NA
cercopithecidae,cercopithecus,erythrotis,NA,0,1,0,1,0,0,0,1,0
cercopithecidae,cercopithecus,hamlyni,NA,1,0,0,1,0,0,1,1,0
cercopithecidae,cercopithecus,lhoesti,NA,1,0,0,1,0,0,0,1,0
cercopithecidae,cercopithecus,mitis,NA,1,1,0,1,0,0,0,1,0
cercopithecidae,cercopithecus,mona,NA,1,0,0,0,0,0,0,0,0
cercopithecidae,cercopithecus,neglectus,NA,1,0,0,1,0,0,0,1,0
cercopithecidae,cercopithecus,nictitans,NA,1,1,0,1,0,0,0,0,0
cercopithecidae,cercopithecus,petaurista,NA,1,0,0,0,0,0,0,0,0
cercopithecidae,cercopithecus,pogonias,NA,1,0,0,0,0,0,0,1,0
cercopithecidae,cercopithecus,preussi,NA,0,1,0,0,0,0,0,1,0
cercopithecidae,cercopithecus,sclateri,NA,1,0,0,0,0,0,0,0,0
cercopithecidae,cercopithecus,solatus,NA,1,0,0,0,0,0,0,0,0
cercopithecidae,cercopithecus,wolfi,NA,1,0,0,1,0,0,0,0,0
cercopithecidae,cercopithecus,denti,NA,0,0,0,1,0,0,0,0,0
cheirogaleidae,cheirogaleus,major,NA,1,0,0,1,0,0,0,0,0
cheirogaleidae,cheirogaleus,medius,NA,0,0,0,0,0,0,0,0,0
cebidae,chiropotes,satanas,NA,0,1,0,1,0,0,0,1,0
cebidae,chiropotes,albinasus,NA,1,1,1,0,0,0,0,0,0
cebidae,chiropotes,chiropotes,NA,0,0,0,1,0,0,0,0,0
cercopithecidae,chlorocebus,aethiops,NA,1,0,0,1,0,0,1,0,0
cercopithecidae,colobus,angolensis,NA,1,1,0,1,0,0,1,1,0
cercopithecidae,colobus,guereza,NA,1,0,0,1,0,0,1,1,0
cercopithecidae,colobus,polykomos,NA,1,0,0,1,0,0,1,0,0
cercopithecidae,colobus,satanas,NA,1,0,0,1,0,0,0,0,0
cercopithecidae,colobus,vellerosus,NA,1,0,0,1,0,0,1,0,0
daubentoniidae,daubentonia,madagascariensis,0,0,0,0,0,0,0,0,0,NA
cercopithecidae,erythrocebus,patas,NA,1,0,0,1,0,0,1,1,1
lemuridae,eulemur,macaco,NA,0,1,1,1,0,0,0,1,0
lemuridae,eulemur,fulvus,e. fulvus fulvus is not as sexually dichromatic as other subspecies,0,1,1,1,0,1,0,1,1
lemuridae,eulemur,mongoz,NA,0,0,0,1,1,0,0,1,0
lemuridae,eulemur,flavifrons,NA,0,1,1,1,0,1,0,1,0
lemuridae,eulemur,coronatus,NA,1,0,0,0,0,0,0,1,1
lemuridae,eulemur,rubriventer,NA,0,0,0,0,0,0,0,1,0
galagonidae,euoticus,elegantulus,NA,0,0,0,0,0,0,0,0,0
galagonidae,euoticus,pallidus,NA,0,0,0,0,0,0,0,0,0
galagonidae,sciurocheirus,alleni,NA,1,0,0,0,0,0,0,0,0
galagonidae,galago,gallarum,NA,0,0,0,0,0,0,0,0,0
galagonidae,galago,matschiei,NA,0,0,0,0,0,0,0,0,0
galagonidae,galago,moholi,NA,1,0,0,0,0,0,0,0,0
galagonidae,galago,senegalensis,NA,1,0,0,0,0,0,0,0,0
galagonidae,galagoides,demidoff,NA,1,0,0,0,0,0,0,0,0
galagonidae,galagoides,thomasi,NA,0,0,0,0,0,0,0,0,0
galagonidae,galagoides,zanzibaricus,NA,1,0,0,0,0,0,0,0,0
hominidae,gorilla,beringei,NA,1,0,0,1,0,0,0,1,0
hominidae,gorilla,gorilla,NA,1,1,1,1,0,0,0,1,0
hominidae,gorilla,graueri,0,1,0,0,0,0,0,1,0,NA
lemuridae,hapalemur,aureus,NA,0,0,0,0,0,0,0,0,0
lemuridae,hapalemur,griseus,NA,0,0,0,1,0,0,0,0,0
lemuridae,prolemur,simus,NA,1,0,0,0,0,0,0,0,0
hylobatidae,hoolock,hoolock,NA,1,1,0,1,1,0,0,1,0
hylobatidae,nomascus,concolor,NA,0,0,0,1,1,0,0,1,0
hylobatidae,hylobates,pileatus,NA,1,1,0,1,1,0,0,1,0
hylobatidae,hylobates,agilis,NA,0,1,0,1,0,0,0,1,0
hylobatidae,hylobates,klossii,NA,0,0,0,0,0,0,0,0,0
hylobatidae,hylobates,moloch,NA,1,0,0,1,0,0,0,0,0
hylobatidae,hylobates,lar,NA,1,0,0,0,0,0,0,0,0
hylobatidae,hylobates,muelleri,NA,0,0,0,1,0,0,1,1,1
hylobatidae,nomascus,gabriellae,NA,0,0,0,1,1,0,0,1,0
hylobatidae,nomascus,leucogenys,NA,1,1,1,1,1,0,0,1,0
hylobatidae,symphalangus,syndactylus,NA,1,1,0,0,0,0,0,0,0
indridae,indri,indri,NA,1,0,0,1,0,0,1,0,0
cebidae,oreonax,flavicauda,NA,0,1,0,0,0,0,0,0,0
cebidae,lagothrix,lagotricha,NA,0,1,0,1,0,0,0,0,0
lemuridae,lemur,catta,NA,0,0,0,0,0,0,0,0,0
callitrichidae,leontopithecus,chrysomelas,NA,1,0,0,0,0,0,0,0,0
callitrichidae,leontopithecus,caissara,NA,0,0,0,0,0,0,0,0,0
callitrichidae,leontopithecus,chrysopygus,NA,0,0,0,0,0,0,0,0,0
callitrichidae,leontopithecus,rosalia,NA,0,0,0,1,0,0,0,0,0
megaladapidae,lepilemur,dorsalis,NA,0,0,0,0,0,0,0,0,0
megaladapidae,lepilemur,edwardsi,NA,0,0,0,0,0,0,0,0,0
megaladapidae,lepilemur,leucopus,NA,1,0,0,0,0,0,0,0,0
megaladapidae,lepilemur,microdon,NA,0,0,0,0,0,0,0,0,0
megaladapidae,lepilemur,mustelinus,NA,1,0,0,0,0,0,0,0,0
megaladapidae,lepilemur,ruficaudatus,NA,1,0,0,0,0,0,0,0,0
megaladapidae,lepilemur,septentrionalis,0,0,0,0,0,0,0,0,0,NA
cercopithecidae,lophocebus,albigena,NA,1,0,0,1,0,0,0,1,0
cercopithecidae,lophocebus,aterrimus,NA,1,0,0,0,0,0,0,0,0
loridae,loris,tardigradus,"NC: lydekkerianus, nordicus, nycticeboides, tardigradus",1,0,0,1,0,0,0,1,0
cercopithecidae,macaca,arctoides,NA,1,1,0,1,0,0,1,1,0
cercopithecidae,macaca,assamensis,NA,1,1,1,1,0,0,0,0,0
cercopithecidae,macaca,cyclopis,NA,1,0,0,1,0,0,0,1,0
cercopithecidae,macaca,fascicularis,NA,1,1,1,1,0,0,0,1,1
cercopithecidae,macaca,fuscata,NA,1,0,0,1,0,0,0,1,0
cercopithecidae,macaca,maura,NA,1,0,0,1,0,0,0,1,0
cercopithecidae,macaca,mulatta,NA,1,1,0,1,0,0,0,1,0
cercopithecidae,macaca,nemestrina,NA,1,1,0,1,0,0,0,0,0
cercopithecidae,macaca,nigra,NA,1,0,0,1,0,0,0,1,0
cercopithecidae,macaca,ochreata,NA,0,0,0,1,0,0,0,0,0
cercopithecidae,macaca,radiata,NA,1,0,0,1,0,0,0,1,0
cercopithecidae,macaca,silenus,NA,1,0,0,1,0,0,0,0,0
cercopithecidae,macaca,sinica,NA,1,0,0,1,0,0,0,0,0
cercopithecidae,macaca,sylvanus,NA,1,1,1,1,0,0,0,0,0
