family,Genus,species,subspecies,Sexual_dimorphism,Sexual_Dimorph_type,Location,Direction,Natal_coat,Natal_Coat_Type,NC_description,Sexual_dichromatism,Sexual_dichromatism_type,Where,Darker,SDC_description,Size_Dimorphism
callitrichidae,callimico,goeldii,NA,No,NA,NA,NA,No,no,"no. treves 15,16, infants entirely brownish-black hill",No,NA,NA,NA,NA,0
callitrichidae,mico,argentata,NA,No,NA,NA,NA,No,NA,no,No,NA,NA,NA,NA,0
callitrichidae,callithrix,aurita,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,rowe cite 600,0
callitrichidae,callithrix,flaviceps,NA,No,NA,NA,NA,No,NA,"maybe, hill is confusing",No,NA,NA,NA,NA,0
callitrichidae,callithrix,geoffroyi,NA,No,NA,NA,NA,No,no,"might be lighter coloration, rowe 509, no, treves 17",No,NA,NA,NA,NA,1
callitrichidae,mico,humeralifer,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
callitrichidae,callithrix,jacchus,NA,No,NA,NA,NA,No,no,"infants have a darker face and no ear tufts rowe 351, no, treves 18,19, tufts are blackish in juveniles, grayish in subadults hersh",No,NA,NA,NA,NA,0
callitrichidae,callithrix,kuhlii,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
callitrichidae,mico,mauesi,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
callitrichidae,mico,nigriceps,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
callitrichidae,callithrix,penicillata,NA,No,NA,NA,NA,Yes,incon,"no ear tufts, facial hair color doesnt fully match adults darker than adults rowe 351, no (kuhls) treves 7, other subspecies (maybe c.p.penicillata) incon to both treves 20",No,NA,NA,NA,NA,1
callitrichidae,leontopithecus,caissara,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
callitrichidae,leontopithecus,chrysomelas,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
callitrichidae,leontopithecus,chrysopygus,NA,No,NA,NA,NA,No,NA,"no, treves 17, 20",No,NA,NA,NA,NA,0
callitrichidae,leontopithecus,rosalia,NA,No,NA,NA,NA,Yes,incon,"l.r.rosalia incon to both treves 20, paler than adults, hair “lustrous” yellow at birth",No,NA,NA,NA,NA,0
callitrichidae,saguinus,bicolor,NA,No,NA,NA,NA,No,no,"s.b.bicolor no treves 17,20, face and crown anterior to ears covered in short white hairs",Yes,Partial,Tail,F,black on tail may go further in females,0
callitrichidae,leontocebus,fuscicollis,NA,No,NA,NA,NA,No,no,"no treves 20, maybe more distinct yellowish forehead, red-brown mantle on other parts of body hill",No,NA,NA,NA,NA,1
callitrichidae,saguinus,geoffroyi,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
callitrichidae,saguinus,imperator,subgriscens,Yes,"mustaches, rowe 226, miller",Head,M,Yes,incon,"s.i.subgriscens no treves 7, other subspecies incon to both treves 20, more brownish on the crown, color of underparts lighter, shorter mustache",Yes,Partial,Body,NA,more grey on the dorsal side,0
callitrichidae,saguinus,inustus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
callitrichidae,saguinus,labiatus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
callitrichidae,saguinus,leucopus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,"hill mentions two opposing views on dichromatism, females may have frosted silvery-white tipped hair on dorsal surface",0
callitrichidae,saguinus,midas,NA,No,NA,NA,NA,Yes,incon,"infants have pale fur on their face (transverse frontal band and patch on each cheek) that turns black with age, more conspicuous buff fleckings on the back rowe 198, maybe incon to both treves 20,26",No,NA,NA,NA,NA,1
callitrichidae,saguinus,mystax,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,females have white hair around the genitals hill,1
callitrichidae,leontocebus,nigricollis,NA,No,NA,NA,NA,No,no,"no treves 20, may have slightly longer white hairs at corner of the mouth hill",No,NA,NA,NA,rowe 509,0
callitrichidae,saguinus,oedipus,NA,No,NA,NA,NA,No,no,"no treves 20, hill thinks that the headdress might not be developed in infants, young have short white hairs on “crest” emmons",No,NA,NA,NA,NA,0
callitrichidae,leontocebus,tripartitus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
cebidae,alouatta,belzebul,NA,No,NA,NA,NA,No,NA,NA,Yes,Partial,Body,M,"extension of black areas in males seem to increase with age hill, females may have different coloration than males, but it varies a lot by individual and subspecies",1
cebidae,alouatta,caraya,NA,Yes,males beard is larger grueter 2015,Head,M,Yes,Con to dad,"infants same color as female until males change at 2.5 yrs (males go thru the female color) neville rowe 615, conspicuous contrast to father, dorsal first part to change treves 1-4, malinow,",Yes,Complete,NA,M,"M: black. F: golden light to dark yellow rowe 615, grueter 2015",1
cebidae,alouatta,guariba,NA,Yes,male seems to have a slight beard grueter 2015,Head,M,Yes,incon,"possible inconspicuous contrast to mother and incon to father treves 4, clamitans: general color like adult female but lighter on the back, hands and feet black in male, juvenile female is yellowish olive with rufescence on head and beard hill",Yes,Complete,NA,M,"F: paler than males, variation depending on location emmons. M: brown, dark red, or black with gold or yellow beard, and brown to orange-brown underparts, grueter 2015",1
cebidae,alouatta,palliata,palliata,Yes,"F: less of a beard and flank hairs are longer in palliata, aeqatorialis subspecies","Head, Flank",F,Yes,incon,"inconspicuous contrast with mother and father treves 4,5 (contra), subadult males look like females emmons, infants silver to golden brown until 12 weeks glander",No,NA,NA,NA,NA,1
cebidae,alouatta,pigra,NA,No,NA,NA,NA,Yes,incon,"infants are brown when born rowe 198, incon with mother (and father) treves 6 (horwich),4 (contra), upper back, head change first horwich, hill says no",No,NA,NA,NA,NA,1
cebidae,alouatta,sara,NA,No,NA,NA,NA,Yes,incon,"incon to mother and father treves 7, nothing explicit in hill or emmons but it wasnt very well studied I think",No,NA,NA,NA,NA,0
cebidae,alouatta,seniculus,macconnelli,Yes,long blackish beard rowe 198,Head,M,No,no,"maybe incon to mother and father treves 4, somewhat browner in shade than adult hill",Yes,Partial,Head,M,"blackish beard rowe 198, longish black beard grueter 2015, females may be less intensely colored (stramineus), less yellow (amazonica), differ considerably (puruensis) hill",1
cebidae,aotus,nigriceps,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,1
cebidae,aotus,trivirgatus,NA,No,NA,NA,NA,No,NA,"no. treves 8-10, juveniles may be lacking an interscapular tuft hersh",No,NA,NA,NA,NA,1
cebidae,ateles,belzebuth,NA,No,NA,NA,NA,No,no,neonates have a reddish face and dark fur rowe 461,No,NA,NA,NA,NA,0
cebidae,ateles,chamek,NA,No,NA,NA,NA,No,no,"whitish skin around the eyes, pink feet, sparse fur that appears to be gray rowe 850, symington",No,NA,NA,NA,NA,0
cebidae,ateles,fusciceps,NA,No,"one female had short hair, may be individual variation hill",NA,NA,No,no,"infants have a pink face and pink ears rowe 850, not robustus treves 11",No,NA,NA,NA,NA,0
cebidae,ateles,geoffroyi,NA,No,NA,NA,NA,Yes,incon,"infants are born black, color lightens depending on subspecies rowe 850, a.g.geoffroyi con to mother and father changes head and limbs first treves 12, 13, other subspecies incon to mother and father treves 4",No,Partial,NA,NA,"depends on subspecies, may be individual variation hill",0
cebidae,ateles,marginatus,NA,No,NA,NA,NA,Yes,incon,"face is very pale, gets darker with age, lighter pelage gets darker in the lateral surfaces of the limbs and dorsal aspect of the tail hill",No,NA,NA,NA,NA,0
cebidae,ateles,paniscus,paniscus,No,NA,NA,NA,Yes,incon,"dark pigmentation around the eyes and muzzle rowe 850, might be incon to both treves 4, youth have black faces that change to red with age, may have brown hair when it is younger hill",No,NA,NA,NA,NA,0
cebidae,brachyteles,arachnoides,NA,No,NA,NA,NA,Yes,incon,"might be incon to both treves 4,14, dark brown pelage face black hill",Yes,Partial,Body,F,Females more greyish-brown less yellow hill,1
cebidae,cacajao,calvus,NA,No,NA,NA,NA,No,no,"infants face is gray not red, rowe 238. red uacaris (c.c. rubicundus) develops gray scalp hair from 3-12 months until subadult stage (36mo) rowe 238 fontaine, infants are paler hill",No,NA,NA,NA,NA,1
cebidae,cacajao,melanocephalus,NA,No,NA,NA,NA,No,NA,no. treves 10,No,NA,NA,NA,NA,0
cebidae,callicebus,brunneus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
cebidae,callicebus,caligatus,NA,No,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,0
