"","family","natal_coat","natal_coat_type","natal_coat_type_simple","natal_coat_conspicuous","natal_coat_inconspicuous","natal_coat_present","sexual_dichromatism","sexual_dichromatism_type","sexual_dichromatism_complete","sexual_dichromatism_partial","sexual_dichromatism_present","size_dimorphism","maturation_color_change","maturation_males_only","maturation_females_only","maturation_both","maturation_none","all_color_traits","superfamily"
"Nycticebus_pygmaeus","Lorisidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Lorisiformes"
"Nycticebus_coucang","Lorisidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,0,0,1,1,"Lorisiformes"
"Loris_tardigradus","Lorisidae",1,"incon","inconspicuous",0,1,1,1,"Complete",1,0,1,1,"None",0,0,0,1,1,"Lorisiformes"
"Galagoides_thomasi","Galagonidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Lorisiformes"
"Galago_matschiei","Galagonidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Lorisiformes"
"Galago_moholi","Galagonidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Lorisiformes"
"Galago_senegalensis","Galagonidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Lorisiformes"
"Galago_gallarum","Galagonidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Lorisiformes"
"Otolemur_garnettii","Galagonidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Lorisiformes"
"Otolemur_crassicaudatus","Galagonidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Lorisiformes"
"Sciurocheirus_alleni","Galagonidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Lorisiformes"
"Galagoides_zanzibaricus","Galagonidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Lorisiformes"
"Euoticus_pallidus","Galagonidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Lorisiformes"
"Euoticus_elegantulus","Galagonidae",0,"no","none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Lorisiformes"
"Perodicticus_potto","Lorisidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,0,0,1,1,"Lorisiformes"
"Arctocebus_calabarensis","Lorisidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,0,0,1,1,"Lorisiformes"
