"family","Genus","species","subspecies","Sexual_dimorphism","Sexual_Dimorph_type","...7","Location","Direction","Natal_coat","Natal_Coat_Type","NC_description","Sexual_dichromatism","Sexual_dichromatism_type","Where","Darker","SDC_description"
"cercopithecidae","allenopithecus","nigroviridis",NA,0,NA,NA,NA,0,1,0,"no treves 36, juvenile is paler with no ear tufts, neonate has a more yellowish-brown cast hill",0,NA,NA,0,NA
"cheirogaleidae","allocebus","trichotis",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"cebidae","alouatta","belzebul",NA,0,NA,NA,NA,0,0,1,NA,1,"Partial","Body",1,"extension of black areas in males seem to increase with age hill, females may have different coloration than males, but it varies a lot by individual and subspecies"
"cebidae","alouatta","caraya",NA,1,"males beard is larger grueter 2015",NA,"Head",1,1,2,"infants same color as female until males change at 2.5 yrs (males go thru the female color) neville rowe 615, conspicuous contrast to father, dorsal first part to change treves 1-4, malinow,",1,"Complete",NA,1,"M: black. F: golden light to dark yellow rowe 615, grueter 2015"
"cebidae","alouatta","guariba",NA,1,"male seems to have a slight beard grueter 2015",NA,"Head",1,1,0,"possible inconspicuous contrast to mother and incon to father treves 4, clamitans: general color like adult female but lighter on the back, hands and feet black in male, juvenile female is yellowish olive with rufescence on head and beard hill",1,"Complete",NA,1,"F: paler than males, variation depending on location emmons. M: brown, dark red, or black with gold or yellow beard, and brown to orange-brown underparts, grueter 2015"
"cebidae","alouatta","palliata","palliata",1,"F: less of a beard and flank hairs are longer in palliata, aeqatorialis subspecies",NA,"Head, Flank",2,1,0,"inconspicuous contrast with mother and father treves 4,5 (contra), subadult males look like females emmons, infants silver to golden brown until 12 weeks glander",0,NA,NA,0,NA
"cebidae","alouatta","pigra",NA,0,NA,NA,NA,0,1,0,"infants are brown when born rowe 198, incon with mother (and father) treves 6 (horwich),4 (contra), upper back, head change first horwich, hill says no",0,NA,NA,0,NA
"cebidae","alouatta","sara",NA,0,NA,NA,NA,0,1,0,"incon to mother and father treves 7, nothing explicit in hill or emmons but it wasnt very well studied I think",0,NA,NA,0,NA
"cebidae","alouatta","seniculus","macconnelli",1,"long blackish beard rowe 198",NA,"Head",1,0,3,"maybe incon to mother and father treves 4, somewhat browner in shade than adult hill",1,"Partial","Head",1,"blackish beard rowe 198, longish black beard grueter 2015, females may be less intensely colored (stramineus), less yellow (amazonica), differ considerably (puruensis) hill"
"cebidae","aotus","nigriceps",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"cebidae","aotus","trivirgatus",NA,0,NA,NA,NA,0,0,1,"no. treves 8-10, juveniles may be lacking an interscapular tuft hersh",0,NA,NA,0,NA
"loridae","arctocebus","aureus",NA,0,NA,NA,NA,0,1,0,"darker coats rowe, hill 1963 incon to both",0,NA,NA,0,NA
"loridae","arctocebus","calabarensis",NA,0,NA,NA,NA,0,1,0,"contrasting reports in treves from hill 1953, maybe incon to both treves 67, im gonna go with yes, darker coats that lighten with age",0,NA,NA,0,NA
"cebidae","ateles","belzebuth",NA,0,NA,NA,NA,0,0,3,"neonates have a reddish face and dark fur rowe 461",0,NA,NA,0,NA
"cebidae","ateles","chamek",NA,0,NA,NA,NA,0,0,3,"whitish skin around the eyes, pink feet, sparse fur that appears to be gray rowe 850, symington",0,NA,NA,0,NA
"cebidae","ateles","fusciceps",NA,0,"one female had short hair, may be individual variation hill",NA,NA,0,0,3,"infants have a pink face and pink ears rowe 850, not robustus treves 11",0,NA,NA,0,NA
"cebidae","ateles","geoffroyi",NA,0,NA,NA,NA,0,1,0,"infants are born black, color lightens depending on subspecies rowe 850, a.g.geoffroyi con to mother and father changes head and limbs first treves 12, 13, other subspecies incon to mother and father treves 4",0,"Partial",NA,0,"depends on subspecies, may be individual variation hill"
"cebidae","ateles","marginatus",NA,0,NA,NA,NA,0,1,0,"face is very pale, gets darker with age, lighter pelage gets darker in the lateral surfaces of the limbs and dorsal aspect of the tail hill",0,NA,NA,0,NA
"cebidae","ateles","paniscus","paniscus",0,NA,NA,NA,0,1,0,"dark pigmentation around the eyes and muzzle rowe 850, might be incon to both treves 4, youth have black faces that change to red with age, may have brown hair when it is younger hill",0,NA,NA,0,NA
"indridae","avahi","laniger",NA,0,NA,NA,NA,0,1,0,"rowe 580, 898, 909, incon to both treves 67, less rufous than adults, ashy-gray above, whitish below",0,NA,NA,0,NA
"cebidae","brachyteles","arachnoides",NA,0,NA,NA,NA,0,1,0,"might be incon to both treves 4,14, dark brown pelage face black hill",1,"Partial","Body",2,"Females more greyish-brown less yellow hill"
"cebidae","cacajao","calvus",NA,0,NA,NA,NA,0,0,3,"infants face is gray not red, rowe 238. red uacaris (c.c. rubicundus) develops gray scalp hair from 3-12 months until subadult stage (36mo) rowe 238 fontaine, infants are paler hill",0,NA,NA,0,NA
"cebidae","cacajao","melanocephalus",NA,0,NA,NA,NA,0,0,1,"no. treves 10",0,NA,NA,0,NA
"cebidae","callicebus","brunneus",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"cebidae","callicebus","caligatus",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"cebidae","callicebus","cinerascens",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"cebidae","callicebus","cupreus",NA,0,NA,NA,NA,0,0,1,"c.c.ustofuscus infant male may be more black, but could also be individual variation hill",0,NA,NA,0,NA
"cebidae","callicebus","donacophilus",NA,0,NA,NA,NA,0,0,1,NA,0,"Partial",NA,0,"maybe, picture has two different tail colors, rowe 357, may be c.gigot which has some sexual dimorphism"
"cebidae","callicebus","dubius",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"cebidae","callicebus","hoffmannsi",NA,0,NA,NA,NA,0,0,1,"underparts paler, maybe hill",0,NA,NA,0,"hands and feet paler, underparts a little richer yellow hill"
"cebidae","callicebus","moloch","cupreus",0,NA,NA,NA,0,0,1,"no. treves 10",0,NA,NA,0,NA
"cebidae","callicebus","personatus","nigrifrons",0,NA,NA,NA,0,1,0,"incon to both treves 10, c.p.n much paler above and below",1,"Partial","Multiple",2,"c.p.p female pelage washed with whitish-yellow, tail more rufous, forehead between ears black, c.p.n female more uniformly dusky ochraceous tail, c.p.m female forehead more reddish, crown yellowish-grey upper parts sooty grey with reddish tinge, hands and feet blackish-brown tail reddish-brown"
"cebidae","callicebus","torquatus",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"callitrichidae","callimico","goeldii",NA,0,NA,NA,NA,0,0,3,"no. treves 15,16, infants entirely brownish-black hill",0,NA,NA,0,NA
"callitrichidae","mico","argentata",NA,0,NA,NA,NA,0,0,1,"no",0,NA,NA,0,NA
"callitrichidae","callithrix","aurita",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,"rowe cite 600"
"callitrichidae","callithrix","flaviceps",NA,0,NA,NA,NA,0,0,1,"maybe, hill is confusing",0,NA,NA,0,NA
"callitrichidae","callithrix","geoffroyi",NA,0,NA,NA,NA,0,0,3,"might be lighter coloration, rowe 509, no, treves 17",0,NA,NA,0,NA
"callitrichidae","mico","humeralifer",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"callitrichidae","callithrix","jacchus",NA,0,NA,NA,NA,0,0,3,"infants have a darker face and no ear tufts rowe 351, no, treves 18,19, tufts are blackish in juveniles, grayish in subadults hersh",0,NA,NA,0,NA
"callitrichidae","callithrix","kuhlii",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"callitrichidae","mico","mauesi",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"callitrichidae","mico","nigriceps",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"callitrichidae","callithrix","penicillata",NA,0,NA,NA,NA,0,1,0,"no ear tufts, facial hair color doesnt fully match adults darker than adults rowe 351, no (kuhls) treves 7, other subspecies (maybe c.p.penicillata) incon to both treves 20",0,NA,NA,0,NA
"cebidae","cebus","albifrons",NA,1,"frontal tuft of longer hairs from the supraorbital region frequently present in females, never in males",NA,"Head",2,0,3,"maybe rowe 251, 198, no, treves 10, juveniles usually paler",1,"Partial","Multiple",3,"rowe 198, females may have whitish or brownish frontal tuft, brown untufted forehead, tail may be frosted in males, not females, colors different across the body, varies by subspecies"
"cebidae","sapajus","apella",NA,0,NA,NA,NA,0,1,0,"c.a.cay no (treves 10), c.a.jurnanus incon to father (lacking rufous tinge on dorsum similar to females), c.a.nigritus incon to both (more brownish), tufts not developed in juveniles in some subspecies",1,"Partial",NA,0,NA
"cebidae","cebus","capucinus",NA,1,"frontal tuft in some females of one subspecies (imitator), same subspecies female pelage longer and more woolly",NA,"Head,Body",2,0,3,"infants born with a gray face and ears, look like adults by 3 months, rowe 251, no treves 10,22",1,"Partial","Multiple",1,"tufts in female imitator are brownish, females may be paler"
"cebidae","cebus","olivaceus",NA,0,NA,NA,NA,0,0,3,"no treves 10, might just be individual variation",0,NA,NA,0,NA
"cercopithecidae","cercocebus","agilis",NA,0,NA,NA,NA,0,1,0,"maybe incon to both treves 12,28, lighter in color hill",0,NA,NA,0,NA
"cercopithecidae","cercocebus","galeritus",NA,1,"F: less annulations confined to lumbar region hill",NA,"Body",2,1,0,"c.g.chrysogaster incon to both treves 29",1,"Partial","Cape",1,"F: paler than males especially on nape and shoulders hill"
"cercopithecidae","cercocebus","torquatus","torquatus",0,NA,NA,NA,0,1,0,"c.t.torquatus maybe incon to both treves 7,28, maybe darker “sombrely” no cap for first few months hill",0,NA,NA,0,NA
"cercopithecidae","cercocebus","atys","atys",0,NA,NA,NA,0,1,0,"c.t.atys no treves 15,28, more likely to have yellow or red on limbs hill",0,NA,NA,0,NA
