"","family","natal_coat","natal_coat_type","natal_coat_type_simple","natal_coat_conspicuous","natal_coat_inconspicuous","natal_coat_present","sexual_dichromatism","sexual_dichromatism_type","sexual_dichromatism_complete","sexual_dichromatism_partial","sexual_dichromatism_present","size_dimorphism","maturation_color_change","maturation_color_change_numeric","maturation_color_change_letter","all_color_traits","trait_combination","trait_id","trait_id_letter","superfamily"
"Nycticebus_pygmaeus","Lorisidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,"N","inconspicuous_NA_N","inconspicuous_NA_N",7,"G","Lorisiformes"
"Nycticebus_coucang","Lorisidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,"N","inconspicuous_NA_N","inconspicuous_NA_N",7,"G","Lorisiformes"
"Loris_tardigradus","Lorisidae",1,"incon","inconspicuous",0,1,1,1,"Complete",1,0,1,1,"None",0,"N","inconspicuous_Complete_N","inconspicuous_Complete_N",6,"F","Lorisiformes"
"Galagoides_thomasi","Galagonidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lorisiformes"
"Galago_matschiei","Galagonidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lorisiformes"
"Galago_moholi","Galagonidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lorisiformes"
"Galago_senegalensis","Galagonidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lorisiformes"
"Galago_gallarum","Galagonidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lorisiformes"
"Otolemur_garnettii","Galagonidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lorisiformes"
"Otolemur_crassicaudatus","Galagonidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lorisiformes"
"Sciurocheirus_alleni","Galagonidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lorisiformes"
"Galagoides_zanzibaricus","Galagonidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lorisiformes"
"Euoticus_pallidus","Galagonidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lorisiformes"
"Euoticus_elegantulus","Galagonidae",0,"no","none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lorisiformes"
"Perodicticus_potto","Lorisidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,"N","inconspicuous_NA_N","inconspicuous_NA_N",7,"G","Lorisiformes"
"Arctocebus_calabarensis","Lorisidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,"N","inconspicuous_NA_N","inconspicuous_NA_N",7,"G","Lorisiformes"
"Arctocebus_aureus","Lorisidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,"N","inconspicuous_NA_N","inconspicuous_NA_N",7,"G","Lorisiformes"
"Daubentonia_madagascariensis","Daubentoniidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lemuriformes"
"Indri_indri","Indridae",1,"con to both","conspicuous",1,0,1,0,NA,NA,NA,0,1,"Both",3,"B","conspicuous_NA_B","conspicuous_NA_B",3,"C","Lemuriformes"
"Propithecus_diadema","Indridae",0,"no","none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lemuriformes"
"Propithecus_tattersalli","Indridae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lemuriformes"
"Propithecus_verreauxi","Indridae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,"N","inconspicuous_NA_N","inconspicuous_NA_N",7,"G","Lemuriformes"
"Avahi_laniger","Indridae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,"N","inconspicuous_NA_N","inconspicuous_NA_N",7,"G","Lemuriformes"
"Varecia_variegata","Lemuridae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lemuriformes"
"Lemur_catta","Lemuridae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lemuriformes"
"Prolemur_simus","Lemuridae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lemuriformes"
"Hapalemur_aureus","Lemuridae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Lemuriformes"
"Hapalemur_griseus","Lemuridae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,"N","inconspicuous_NA_N","inconspicuous_NA_N",7,"G","Lemuriformes"
"Eulemur_macaco","Lemuridae",1,NA,"none",0,0,0,1,"Complete",1,0,1,0,"None",0,"N","none_Complete_N","none_Complete_N",9,"I","Lemuriformes"
"Eulemur_flavifrons","Lemuridae",1,"con to mom","conspicuous",1,0,1,1,"Complete",1,0,1,0,"Females only",2,"F","conspicuous_Complete_F","conspicuous_Complete_F",1,"A","Lemuriformes"
"Eulemur_coronatus","Lemuridae",0,NA,"none",0,0,0,1,"Partial",0,1,1,1,"None",0,"N","none_Partial_N","none_Partial_N",11,"K","Lemuriformes"
"Eulemur_rubriventer","Lemuridae",0,"no","none",0,0,0,1,"Partial",0,1,1,0,"None",0,"N","none_Partial_N","none_Partial_N",11,"K","Lemuriformes"
"Eulemur_mongoz","Lemuridae",1,"Con to dad","conspicuous",1,0,1,1,"Complete",1,0,1,0,"Males only",1,"M","conspicuous_Complete_M","conspicuous_Complete_M",2,"B","Lemuriformes"
