Family,species,subspecies,Size_Dimorphism,Sexual_Dimorphism,DM_Head,Natal_Coat,ConD,ConM,ConB,Sexual_Dichromatism,DC_Head
cercopithecidae,Allenopithecus_nigroviridis,NA,1,0,0,1,0,0,0,0,0
cheirogaleidae,Allocebus_trichotis,NA,1,0,0,0,0,0,0,0,0
cebidae,Alouatta_caraya,NA,1,1,1,1,1,0,0,1,0
cebidae,Alouatta_guariba,NA,1,1,1,1,0,0,0,1,0
cebidae,Alouatta_palliata,palliata,1,1,0,1,0,0,0,0,0
cebidae,Alouatta_pigra,NA,1,0,0,1,0,0,0,0,0
cebidae,Alouatta_belzebul,NA,1,0,0,0,0,0,0,1,0
cebidae,Alouatta_sara,NA,0,0,0,1,0,0,0,0,0
cebidae,Alouatta_seniculus,macconnelli,1,1,0,0,0,0,0,1,1
cebidae,Aotus_nigriceps,NA,1,0,0,0,0,0,0,0,0
cebidae,Aotus_trivirgatus,NA,1,0,0,0,0,0,0,0,0
loridae,Arctocebus_aureus,NA,0,0,0,1,0,0,0,0,0
loridae,Arctocebus_calabarensis,NA,0,0,0,1,0,0,0,0,0
cebidae,Ateles_belzebuth,NA,0,0,0,0,0,0,0,0,0
cebidae,Ateles_chamek,NA,0,0,0,0,0,0,0,0,0
cebidae,Ateles_fusciceps,NA,0,0,0,0,0,0,0,0,0
cebidae,Ateles_geoffroyi,NA,0,0,0,1,0,0,0,0,0
cebidae,Ateles_marginatus,NA,0,0,0,1,0,0,0,0,0
cebidae,Ateles_paniscus,paniscus,0,0,0,1,0,0,0,0,0
indridae,Avahi_laniger,NA,1,0,0,1,0,0,0,0,0
cebidae,Brachyteles_arachnoides,NA,1,0,0,1,0,0,0,1,0
cebidae,Cacajao_calvus,NA,1,0,0,0,0,0,0,0,0
cebidae,Cacajao_melanocephalus,NA,0,0,0,0,0,0,0,0,NA
cebidae,Callicebus_brunneus,NA,0,0,0,0,0,0,0,0,0
cebidae,Callicebus_caligatus,NA,0,0,0,0,0,0,0,0,0
cebidae,Callicebus_cupreus,NA,0,0,0,0,0,0,0,0,0
cebidae,Callicebus_cinerascens,NA,0,0,0,0,0,0,0,0,0
cebidae,Callicebus_donacophilus,NA,0,0,0,0,0,0,0,0,0
cebidae,Callicebus_dubius,NA,0,0,0,0,0,0,0,0,0
cebidae,Callicebus_hoffmannsi,NA,0,0,0,0,0,0,0,0,0
cebidae,Callicebus_moloch,cupreus,0,0,0,0,0,0,0,0,0
cebidae,Callicebus_personatus,nigrifrons,0,0,0,1,0,0,0,1,0
cebidae,Callicebus_torquatus,NA,1,0,0,0,0,0,0,0,0
callitrichidae,Callimico_goeldii,NA,0,0,0,0,0,0,0,0,0
callitrichidae,Callithrix_aurita,NA,0,0,0,0,0,0,0,0,0
callitrichidae,Callithrix_flaviceps,NA,0,0,0,0,0,0,0,0,0
callitrichidae,Callithrix_geoffroyi,NA,1,0,0,0,0,0,0,0,0
callitrichidae,Mico_humeralifer,NA,0,0,0,0,0,0,0,0,0
callitrichidae,Callithrix_jacchus,NA,0,0,0,0,0,0,0,0,0
callitrichidae,Mico_mauesi,NA,1,0,0,0,0,0,0,0,0
callitrichidae,Callithrix_kuhlii,NA,0,0,0,0,0,0,0,0,0
callitrichidae,Mico_nigriceps,NA,0,0,0,0,0,0,0,0,0
callitrichidae,Callithrix_penicillata,NA,1,0,0,1,0,0,0,0,0
cebidae,Cebus_albifrons,NA,1,1,1,0,0,0,0,1,0
cebidae,Sapajus_apella,NA,1,0,0,1,0,0,0,1,0
cebidae,Cebus_capucinus,NA,1,1,0,0,0,0,0,1,0
cebidae,Cebus_olivaceus,NA,1,0,0,0,0,0,0,0,0
cercopithecidae,Cercocebus_agilis,NA,1,0,0,1,0,0,0,0,0
cercopithecidae,Cercocebus_galeritus,NA,1,1,0,1,0,0,0,1,0
cercopithecidae,Cercocebus_torquatus, torquatus,1,0,0,1,0,0,0,0,0
cercopithecidae,Cercocebus_atys,atys,0,0,0,1,0,0,0,0,0
cercopithecidae,Cercopithecus_ascanius,NA,1,0,0,1,0,0,0,0,0
cercopithecidae,Cercopithecus_campbelli,NA,1,0,0,1,0,0,0,0,0
cercopithecidae,Cercopithecus_cephus,NA,1,0,0,1,0,0,0,0,0
cercopithecidae,Cercopithecus_diana,NA,1,0,0,1,0,0,0,0,0
cercopithecidae,Cercopithecus_dryas,NA,1,0,0,1,0,0,0,0,0
cercopithecidae,Cercopithecus_erythrogaster,0,1,0,1,0,0,0,0,0,NA
cercopithecidae,Cercopithecus_erythrotis,NA,0,1,0,1,0,0,0,1,0
cercopithecidae,Cercopithecus_hamlyni,NA,1,0,0,1,0,0,1,1,0
cercopithecidae,Cercopithecus_lhoesti,NA,1,0,0,1,0,0,0,1,0
cercopithecidae,Cercopithecus_mitis,NA,1,1,0,1,0,0,0,1,0
cercopithecidae,Cercopithecus_mona,NA,1,0,0,0,0,0,0,0,0
cercopithecidae,Cercopithecus_neglectus,NA,1,0,0,1,0,0,0,1,0
cercopithecidae,Cercopithecus_nictitans,NA,1,1,0,1,0,0,0,0,0
cercopithecidae,Cercopithecus_petaurista,NA,1,0,0,0,0,0,0,0,0
cercopithecidae,Cercopithecus_pogonias,NA,1,0,0,0,0,0,0,1,0
cercopithecidae,Cercopithecus_preussi,NA,0,1,0,0,0,0,0,1,0
cercopithecidae,Cercopithecus_sclateri,NA,1,0,0,0,0,0,0,0,0
cercopithecidae,Cercopithecus_solatus,NA,1,0,0,0,0,0,0,0,0
cheirogaleidae,Cheirogaleus_major,NA,1,0,0,1,0,0,0,0,0
cheirogaleidae,Cheirogaleus_medius,NA,0,0,0,0,0,0,0,0,0
cebidae,Chiropotes_satanas,NA,0,1,0,1,0,0,0,1,0
cebidae,Chiropotes_albinasus,NA,1,1,1,0,0,0,0,0,0
cebidae,Chiropotes_chiropotes,NA,0,0,0,1,0,0,0,0,0
cercopithecidae,Chlorocebus_aethiops,NA,1,0,0,1,0,0,1,0,0
cercopithecidae,Colobus_angolensis,NA,1,1,0,1,0,0,1,1,0
cercopithecidae,Colobus_guereza,NA,1,0,0,1,0,0,1,1,0
cercopithecidae,Colobus_polykomos,NA,1,0,0,1,0,0,1,0,0
cercopithecidae,Colobus_satanas,NA,1,0,0,1,0,0,0,0,0
cercopithecidae,Colobus_vellerosus,NA,1,0,0,1,0,0,1,0,0
daubentoniidae,Daubentonia_madagascariensis,0,0,0,0,0,0,0,0,0,NA
cercopithecidae,Erythrocebus_patas,NA,1,0,0,1,0,0,1,1,1
lemuridae,Eulemur_macaco,NA,0,1,1,1,0,0,0,1,0
lemuridae,Eulemur_fulvus,e. fulvus fulvus is not as sexually dichromatic as other subspecies,0,1,1,1,0,1,0,1,1
lemuridae,Eulemur_mongoz,NA,0,0,0,1,1,0,0,1,0
lemuridae,Eulemur_flavifrons,NA,0,1,1,1,0,1,0,1,0
lemuridae,Eulemur_coronatus,NA,1,0,0,0,0,0,0,1,1
lemuridae,Eulemur_rubriventer,NA,0,0,0,0,0,0,0,1,0
galagonidae,Euoticus_elegantulus,NA,0,0,0,0,0,0,0,0,0
galagonidae,Euoticus_pallidus,NA,0,0,0,0,0,0,0,0,0
galagonidae,Sciurocheirus_alleni,NA,1,0,0,0,0,0,0,0,0
galagonidae,Galago_gallarum,NA,0,0,0,0,0,0,0,0,0
galagonidae,Galago_matschiei,NA,0,0,0,0,0,0,0,0,0
galagonidae,Galago_moholi,NA,1,0,0,0,0,0,0,0,0
galagonidae,Galago_senegalensis,NA,1,0,0,0,0,0,0,0,0
galagonidae,Galagoides_thomasi,NA,0,0,0,0,0,0,0,0,0
galagonidae,Galagoides_zanzibaricus,NA,1,0,0,0,0,0,0,0,0
hominidae,Gorilla_beringei,NA,1,0,0,1,0,0,0,1,0
hominidae,Gorilla_gorilla,NA,1,1,1,1,0,0,0,1,0
lemuridae,Hapalemur_aureus,NA,0,0,0,0,0,0,0,0,0
lemuridae,Hapalemur_griseus,NA,0,0,0,1,0,0,0,0,0
lemuridae,Prolemur_simus,NA,1,0,0,0,0,0,0,0,0
hylobatidae,Hoolock_hoolock,NA,1,1,0,1,1,0,0,1,0
hylobatidae,Nomascus_concolor,NA,0,0,0,1,1,0,0,1,0
hylobatidae,Hylobates_pileatus,NA,1,1,0,1,1,0,0,1,0
hylobatidae,Hylobates_agilis,NA,0,1,0,1,0,0,0,1,0
hylobatidae,Hylobates_klossii,NA,0,0,0,0,0,0,0,0,0
hylobatidae,Hylobates_moloch,NA,1,0,0,1,0,0,0,0,0
hylobatidae,Hylobates_lar,NA,1,0,0,0,0,0,0,0,0
hylobatidae,Hylobates_muelleri,NA,0,0,0,1,0,0,1,1,1
hylobatidae,Nomascus_gabriellae,NA,0,0,0,1,1,0,0,1,0
hylobatidae,Nomascus_leucogenys,NA,1,1,1,1,1,0,0,1,0
hylobatidae,Symphalangus_syndactylus,NA,1,1,0,0,0,0,0,0,0
indridae,Indri_indri,NA,1,0,0,1,0,0,1,0,0
cebidae,Oreonax_flavicauda,NA,0,1,0,0,0,0,0,0,0
cebidae,Lagothrix_lagotricha,NA,0,1,0,1,0,0,0,0,0
lemuridae,Lemur_catta,NA,0,0,0,0,0,0,0,0,0
callitrichidae,Leontopithecus_chrysomelas,NA,1,0,0,0,0,0,0,0,0
callitrichidae,Leontopithecus_caissara,NA,0,0,0,0,0,0,0,0,0
callitrichidae,Leontopithecus_chrysopygus,NA,0,0,0,0,0,0,0,0,0
callitrichidae,Leontopithecus_rosalia,NA,0,0,0,1,0,0,0,0,0
megaladapidae,Lepilemur_dorsalis,NA,0,0,0,0,0,0,0,0,0
megaladapidae,Lepilemur_edwardsi,NA,0,0,0,0,0,0,0,0,0
megaladapidae,Lepilemur_leucopus,NA,1,0,0,0,0,0,0,0,0
megaladapidae,Lepilemur_microdon,NA,0,0,0,0,0,0,0,0,0
megaladapidae,Lepilemur_mustelinus,NA,1,0,0,0,0,0,0,0,0
megaladapidae,Lepilemur_ruficaudatus,NA,1,0,0,0,0,0,0,0,0
megaladapidae,Lepilemur_septentrionalis,0,0,0,0,0,0,0,0,0,NA
cercopithecidae,Lophocebus_albigena,NA,1,0,0,1,0,0,0,1,0
cercopithecidae,Lophocebus_aterrimus,NA,1,0,0,0,0,0,0,0,0
loridae,Loris_tardigradus,"NC: lydekkerianus, nordicus, nycticeboides, tardigradus",1,0,0,1,0,0,0,1,0
cercopithecidae,Macaca_arctoides,NA,1,1,0,1,0,0,1,1,0
cercopithecidae,Macaca_assamensis,NA,1,1,1,1,0,0,0,0,0
cercopithecidae,Macaca_cyclopis,NA,1,0,0,1,0,0,0,1,0
cercopithecidae,Macaca_fascicularis,NA,1,1,1,1,0,0,0,1,1
cercopithecidae,Macaca_fuscata,NA,1,0,0,1,0,0,0,1,0
cercopithecidae,Macaca_maura,NA,1,0,0,1,0,0,0,1,0
cercopithecidae,Macaca_mulatta,NA,1,1,0,1,0,0,0,1,0
cercopithecidae,Macaca_nemestrina,NA,1,1,0,1,0,0,0,0,0
cercopithecidae,Macaca_nigra,NA,1,0,0,1,0,0,0,1,0
cercopithecidae,Macaca_ochreata,NA,0,0,0,1,0,0,0,0,0
cercopithecidae,Macaca_radiata,NA,1,0,0,1,0,0,0,1,0
cercopithecidae,Macaca_silenus,NA,1,0,0,1,0,0,0,0,0
cercopithecidae,Macaca_sinica,NA,1,0,0,1,0,0,0,0,0
cercopithecidae,Macaca_sylvanus,NA,1,1,1,1,0,0,0,0,0
cercopithecidae,Macaca_thibetana,NA,1,1,1,1,0,0,0,1,0
cercopithecidae,Macaca_tonkeana,NA,1,0,0,1,0,0,0,1,0
cercopithecidae,Macaca_hecki,NA,0,1,1,1,0,0,0,1,1
