Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]
0	0	-113.1571	-117.8536	4.69652	0.001504289	0.00150429	0.00150429
1	1	-103.1143	-107.6511	4.536801	0.002695841	0.00269584	0.00269584
2	0	-104.5268	-109.0933	4.566466	0.002474527	0.00247453	0.00247453
3	1	-100.3808	-104.8504	4.46956	0.003197474	0.00319747	0.00319747
4	0	-96.82166	-101.1777	4.356018	0.004044538	0.00404454	0.00404454
5	1	-100.3808	-104.8504	4.46956	0.003197474	0.00319747	0.00319747
6	0	-89.87816	-93.8478	3.969641	0.006927027	0.00692703	0.00692703
7	1	-101.4355	-105.9327	4.497212	0.002991188	0.00299119	0.00299119
8	0	-89.87816	-93.8478	3.969641	0.006927027	0.00692703	0.00692703
9	1	-91.39486	-95.47934	4.084483	0.006070274	0.00607027	0.00607027
10	0	-85.68504	-89.0718	3.386764	0.01127547	0.0112755	0.0112755
11	1	-85.13427	-88.35552	3.221248	0.01251027	0.0125103	0.0125103
12	0	-84.72715	-87.76589	3.038747	0.01387178	0.0138718	0.0138718
13	1	-84.37402	-86.91916	2.545139	0.01755425	0.0175542	0.0175542
14	0	-84.83409	-87.92962	3.095528	0.01344818	0.0134482	0.0134482
15	1	-84.37402	-86.91916	2.545139	0.01755425	0.0175542	0.0175542
16	0	-84.83409	-87.92962	3.095528	0.01344818	0.0134482	0.0134482
17	1	-84.38011	-87.04851	2.668399	0.01663469	0.0166347	0.0166347
18	0	-84.44708	-87.25483	2.807746	0.01559512	0.0155951	0.0155951
19	1	-84.38011	-87.04851	2.668399	0.01663469	0.0166347	0.0166347
20	0	-84.64542	-86.77606	2.130645	0.02064651	0.0206465	0.0206465
21	1	-84.37348	-86.92277	2.549294	0.01752325	0.0175233	0.0175233
22	0	-84.38573	-86.87571	2.489983	0.01796573	0.0179657	0.0179657
23	1	-84.60076	-87.55746	2.956705	0.01448384	0.0144838	0.0144838
24	0	-84.51464	-86.77929	2.264646	0.01964682	0.0196468	0.0196468
25	1	-84.46828	-86.79321	2.324937	0.01919702	0.019197	0.019197
26	0	-85.37517	-87.02444	1.649269	0.02423771	0.0242377	0.0242377
27	1	-84.77838	-87.84543	3.067055	0.0136606	0.0136606	0.0136606
28	0	-84.76777	-86.79691	2.029139	0.02140377	0.0214038	0.0214038
29	1	-84.95743	-88.10936	3.151931	0.0130274	0.0130274	0.0130274
30	0	-84.75254	-86.79351	2.040968	0.02131552	0.0213155	0.0213155
31	1	-84.3711	-86.97398	2.602882	0.01712347	0.0171235	0.0171235
32	0	-85.55425	-88.90662	3.352369	0.01153207	0.0115321	0.0115321
33	1	-84.37361	-87.00698	2.633366	0.01689605	0.0168961	0.0168961
34	0	-84.68172	-87.69329	3.011571	0.01407452	0.0140745	0.0140745
35	1	-84.37527	-86.91189	2.536617	0.01761783	0.0176178	0.0176178
36	0	-84.52451	-87.41823	2.893711	0.0149538	0.0149538	0.0149538
37	1	-84.58156	-87.52368	2.942118	0.01459266	0.0145927	0.0145927
38	0	-84.56803	-87.49942	2.931385	0.01467274	0.0146727	0.0146727
39	1	-84.57955	-87.52011	2.940553	0.01460434	0.0146043	0.0146043
40	0	-84.3721	-86.99148	2.619379	0.0170004	0.0170004	0.0170004
41	1	-84.37802	-86.89941	2.521389	0.01773143	0.0177314	0.0177314
42	0	-84.64987	-87.64097	2.9911	0.01422725	0.0142272	0.0142272
43	1	-84.37802	-86.89941	2.521389	0.01773143	0.0177314	0.0177314
44	0	-85.02383	-86.87587	1.852038	0.022725	0.022725	0.022725
45	1	-84.37802	-86.89941	2.521389	0.01773143	0.0177314	0.0177314
46	0	-85.02383	-86.87587	1.852038	0.022725	0.022725	0.022725
47	1	-84.37802	-86.89941	2.521389	0.01773143	0.0177314	0.0177314
48	0	-84.93356	-88.07518	3.141622	0.01310431	0.0131043	0.0131043
49	1	-84.76158	-86.7955	2.033923	0.02136808	0.0213681	0.0213681
50	0	-85.40347	-88.7129	3.309424	0.01185245	0.0118525	0.0118525
51	1	-84.37705	-87.03152	2.654464	0.01673865	0.0167387	0.0167387
52	0	-84.37159	-86.98417	2.612585	0.01705109	0.0170511	0.0170511
53	1	-85.82953	-87.25253	1.422998	0.02592577	0.0259258	0.0259258
54	0	-84.77069	-86.79758	2.026888	0.02142057	0.0214206	0.0214206
55	1	-84.63572	-86.77517	2.139447	0.02058084	0.0205808	0.0205808
56	0	-84.40058	-87.12892	2.728343	0.01618749	0.0161875	0.0161875
57	1	-84.4511	-86.80163	2.350535	0.01900606	0.0190061	0.0190061
58	0	-85.44756	-87.05863	1.611064	0.02452274	0.0245227	0.0245227
59	1	-85.26657	-86.97512	1.708556	0.02379542	0.0237954	0.0237954
60	0	-84.58149	-86.77298	2.191483	0.02019263	0.0201926	0.0201926
61	1	-84.506	-86.78113	2.275129	0.01956861	0.0195686	0.0195686
62	0	-84.60541	-86.7733	2.167892	0.02036863	0.0203686	0.0203686
63	1	-84.64512	-86.77603	2.130914	0.0206445	0.0206445	0.0206445
64	0	-84.37104	-86.97196	2.600927	0.01713806	0.0171381	0.0171381
65	1	-84.73783	-87.78267	3.044838	0.01382634	0.0138263	0.0138263
66	0	-84.37499	-86.91339	2.538405	0.01760449	0.0176045	0.0176045
67	1	-84.55652	-87.47844	2.921916	0.01474338	0.0147434	0.0147434
68	0	-84.38586	-87.07509	2.689233	0.01647927	0.0164793	0.0164793
69	1	-84.67259	-86.77926	2.10667	0.02082536	0.0208254	0.0208254
70	0	-84.38586	-87.07509	2.689233	0.01647927	0.0164793	0.0164793
71	1	-84.63302	-86.77494	2.141923	0.02056237	0.0205624	0.0205624
72	0	-85.5744	-87.12071	1.546312	0.02500581	0.0250058	0.0250058
73	1	-84.62379	-87.5971	2.973311	0.01435995	0.01436	0.01436
74	0	-85.39343	-87.03297	1.639537	0.02431032	0.0243103	0.0243103
75	1	-84.54992	-87.46625	2.916333	0.01478503	0.014785	0.014785
76	0	-85.39343	-87.03297	1.639537	0.02431032	0.0243103	0.0243103
77	1	-84.5783	-86.77302	2.194721	0.02016847	0.0201685	0.0201685
78	0	-84.78609	-87.85722	3.071131	0.01363019	0.0136302	0.0136302
79	1	-85.57106	-87.11904	1.547986	0.02499332	0.0249933	0.0249933
80	0	-84.94235	-88.08779	3.145448	0.01307576	0.0130758	0.0130758
81	1	-84.41491	-87.17223	2.757323	0.01597129	0.0159713	0.0159713
82	0	-84.59589	-86.77304	2.177155	0.02029952	0.0202995	0.0202995
83	1	-84.70107	-86.78358	2.082511	0.0210056	0.0210056	0.0210056
84	0	-85.04094	-86.88225	1.841316	0.02280499	0.022805	0.022805
85	1	-84.45487	-86.79959	2.344719	0.01904945	0.0190494	0.0190494
86	0	-84.87699	-86.82619	1.9492	0.02200014	0.0220001	0.0220001
87	1	-84.45487	-86.79959	2.344719	0.01904945	0.0190494	0.0190494
88	0	-84.40336	-87.13781	2.734453	0.01614191	0.0161419	0.0161419
89	1	-84.42604	-86.81902	2.392979	0.01868941	0.0186894	0.0186894
90	0	-84.62855	-86.77459	2.146038	0.02053167	0.0205317	0.0205317
91	1	-84.39103	-86.86398	2.472945	0.01809284	0.0180928	0.0180928
92	0	-84.64047	-87.62527	2.984803	0.01427422	0.0142742	0.0142742
93	1	-85.11584	-86.91141	1.795564	0.02314631	0.0231463	0.0231463
94	0	-84.64047	-87.62527	2.984803	0.01427422	0.0142742	0.0142742
95	1	-84.42436	-86.82048	2.396122	0.01866596	0.018666	0.018666
96	0	-85.74235	-87.20656	1.464215	0.02561828	0.0256183	0.0256183
97	1	-85.36739	-88.66593	3.298543	0.01193362	0.0119336	0.0119336
98	0	-85.48086	-87.07467	1.59381	0.02465146	0.0246515	0.0246515
99	1	-86.11975	-89.60634	3.486588	0.01053075	0.0105307	0.0105307
100	0	-85.24784	-86.96689	1.719044	0.02371718	0.0237172	0.0237172
101	1	-87.40726	-91.11112	3.703865	0.008909795	0.00890979	0.00890979
102	0	-84.64969	-86.7765	2.126809	0.02067512	0.0206751	0.0206751
103	1	-84.45484	-86.7996	2.344758	0.01904915	0.0190492	0.0190492
104	0	-84.37289	-87.00021	2.627328	0.0169411	0.0169411	0.0169411
105	1	-85.93558	-87.30957	1.373993	0.02629136	0.0262914	0.0262914
106	0	-84.45507	-86.79948	2.344411	0.01905175	0.0190517	0.0190517
107	1	-84.38406	-87.0673	2.683246	0.01652393	0.0165239	0.0165239
108	0	-84.6254	-86.77437	2.14897	0.0205098	0.0205098	0.0205098
109	1	-84.68532	-86.78108	2.095754	0.0209068	0.0209068	0.0209068
110	0	-85.14156	-88.36544	3.223879	0.01249064	0.0124906	0.0124906
111	1	-84.48507	-87.33906	2.853991	0.01525012	0.0152501	0.0152501
112	0	-85.14156	-88.36544	3.223879	0.01249064	0.0124906	0.0124906
113	1	-85.12469	-86.91497	1.790283	0.02318571	0.0231857	0.0231857
114	0	-84.37314	-87.00266	2.629524	0.01692471	0.0169247	0.0169247
115	1	-84.58107	-86.77298	2.191913	0.02018943	0.0201894	0.0201894
116	0	-84.40612	-87.14639	2.740268	0.01609853	0.0160985	0.0160985
117	1	-84.38025	-86.89133	2.511085	0.0178083	0.0178083	0.0178083
118	0	-85.18749	-86.94093	1.753443	0.02346055	0.0234606	0.0234606
119	1	-84.39293	-87.10266	2.709733	0.01632633	0.0163263	0.0163263
120	0	-84.37253	-86.99654	2.624001	0.01696592	0.0169659	0.0169659
121	1	-85.50237	-88.84039	3.338023	0.01163909	0.0116391	0.0116391
122	0	-85.2962	-86.98833	1.692124	0.02391801	0.023918	0.023918
123	1	-84.65785	-87.6542	2.996353	0.01418805	0.0141881	0.0141881
124	0	-84.3983	-86.85111	2.452811	0.01824304	0.018243	0.018243
125	1	-85.26045	-86.97243	1.71197	0.02376995	0.0237699	0.0237699
126	0	-85.66128	-89.04197	3.380693	0.01132076	0.0113208	0.0113208
127	1	-86.48057	-87.61823	1.13766	0.02805448	0.0280545	0.0280545
128	0	-86.94914	-90.58534	3.636203	0.009414574	0.00941457	0.00941457
129	1	-85.07847	-86.89663	1.818156	0.02297777	0.0229778	0.0229778
130	0	-84.40724	-86.8385	2.431265	0.01840378	0.0184038	0.0184038
131	1	-84.37148	-86.98228	2.610801	0.01706439	0.0170644	0.0170644
132	0	-84.41623	-86.82825	2.412019	0.01854737	0.0185474	0.0185474
133	1	-84.74009	-86.79088	2.050792	0.02124223	0.0212422	0.0212422
134	0	-84.92766	-86.84219	1.914537	0.02225873	0.0222587	0.0222587
135	1	-84.59048	-86.77297	2.18249	0.02025973	0.0202597	0.0202597
136	0	-84.44632	-87.25301	2.806694	0.01560297	0.015603	0.015603
137	1	-84.83026	-86.81269	1.982434	0.0217522	0.0217522	0.0217522
138	0	-84.9024	-88.03015	3.127755	0.01320776	0.0132078	0.0132078
139	1	-87.56766	-88.2844	0.7167373	0.03119469	0.0311947	0.0311947
140	0	-84.9024	-88.03015	3.127755	0.01320776	0.0132078	0.0132078
141	1	-84.78644	-86.80132	2.014882	0.02151013	0.0215101	0.0215101
142	0	-84.40678	-86.83909	2.432317	0.01839594	0.0183959	0.0183959
143	1	-86.4707	-87.61245	1.141749	0.02802397	0.028024	0.028024
144	0	-84.45199	-87.26631	2.814328	0.01554602	0.015546	0.015546
145	1	-86.28658	-87.50577	1.219195	0.0274462	0.0274462	0.0274462
146	0	-84.43883	-86.80923	2.370401	0.01885785	0.0188579	0.0188579
147	1	-86.28658	-87.50577	1.219195	0.0274462	0.0274462	0.0274462
148	0	-86.53141	-87.64811	1.116694	0.02821089	0.0282109	0.0282109
149	1	-85.34931	-87.01247	1.663162	0.02413407	0.0241341	0.0241341
150	0	-86.53141	-87.64811	1.116694	0.02821089	0.0282109	0.0282109
151	1	-84.97931	-86.85979	1.88048	0.02251281	0.0225128	0.0225128
152	0	-85.87496	-87.27682	1.401859	0.02608347	0.0260835	0.0260835
153	1	-84.53166	-86.77645	2.244792	0.01979493	0.0197949	0.0197949
154	0	-85.87496	-87.27682	1.401859	0.02608347	0.0260835	0.0260835
155	1	-84.37359	-86.922	2.548415	0.01752981	0.0175298	0.0175298
156	0	-84.72285	-87.75912	3.036268	0.01389027	0.0138903	0.0138903
157	1	-84.37347	-87.00577	2.632291	0.01690407	0.0169041	0.0169041
158	0	-85.77466	-89.18368	3.40902	0.01110943	0.0111094	0.0111094
159	1	-84.87077	-87.98393	3.113165	0.0133166	0.0133166	0.0133166
160	0	-85.77466	-89.18368	3.40902	0.01110943	0.0111094	0.0111094
161	1	-84.37887	-87.04195	2.663084	0.01667434	0.0166743	0.0166743
162	0	-84.40132	-86.84651	2.445183	0.01829995	0.0183	0.0183
163	1	-84.37616	-86.90744	2.531278	0.01765766	0.0176577	0.0176577
164	0	-84.42635	-87.20335	2.776999	0.0158245	0.0158245	0.0158245
165	1	-84.57529	-86.77308	2.197789	0.02014559	0.0201456	0.0201456
166	0	-85.1375	-86.92017	1.782676	0.02324246	0.0232425	0.0232425
167	1	-84.46721	-86.79367	2.326459	0.01918567	0.0191857	0.0191857
168	0	-84.39281	-86.86055	2.467741	0.01813166	0.0181317	0.0181317
169	1	-84.69674	-86.78286	2.086119	0.02097868	0.0209787	0.0209787
170	0	-84.58454	-87.52897	2.944433	0.0145754	0.0145754	0.0145754
171	1	-84.46746	-86.79356	2.326101	0.01918834	0.0191883	0.0191883
172	0	-85.2942	-86.98743	1.693227	0.02390978	0.0239098	0.0239098
173	1	-84.47529	-86.79038	2.315093	0.01927046	0.0192705	0.0192705
174	0	-84.41032	-87.15899	2.748667	0.01603587	0.0160359	0.0160359
175	1	-84.8162	-86.8089	1.992705	0.02167558	0.0216756	0.0216756
176	0	-84.41048	-87.15946	2.748979	0.01603354	0.0160335	0.0160335
177	1	-84.8162	-86.8089	1.992705	0.02167558	0.0216756	0.0216756
178	0	-84.74659	-86.79224	2.045646	0.02128062	0.0212806	0.0212806
179	1	-84.8162	-86.8089	1.992705	0.02167558	0.0216756	0.0216756
180	0	-85.2473	-86.96665	1.719351	0.02371489	0.0237149	0.0237149
181	1	-84.37132	-86.9792	2.607883	0.01708616	0.0170862	0.0170862
182	0	-84.86004	-87.96813	3.10809	0.01335446	0.0133545	0.0133545
183	1	-84.6007	-87.55737	2.956664	0.01448415	0.0144841	0.0144841
184	0	-84.37313	-87.0026	2.629468	0.01692513	0.0169251	0.0169251
185	1	-84.8511	-86.81855	1.967449	0.02186399	0.021864	0.021864
186	0	-84.37313	-87.0026	2.629468	0.01692513	0.0169251	0.0169251
187	1	-84.383	-86.8829	2.499905	0.01789171	0.0178917	0.0178917
188	0	-84.37313	-87.0026	2.629468	0.01692513	0.0169251	0.0169251
189	1	-84.383	-86.8829	2.499905	0.01789171	0.0178917	0.0178917
190	0	-84.48029	-86.78854	2.308246	0.01932154	0.0193215	0.0193215
191	1	-84.383	-86.8829	2.499905	0.01789171	0.0178917	0.0178917
192	0	-84.4587	-86.79762	2.338921	0.0190927	0.0190927	0.0190927
193	1	-85.47949	-87.074	1.594518	0.02464618	0.0246462	0.0246462
194	0	-84.41731	-86.82715	2.409835	0.01856366	0.0185637	0.0185637
195	1	-85.19323	-86.94336	1.75013	0.02348526	0.0234853	0.0234853
196	0	-84.81603	-87.90257	3.086534	0.01351528	0.0135153	0.0135153
197	1	-84.38662	-87.07829	2.691668	0.0164611	0.0164611	0.0164611
198	0	-84.53514	-86.77599	2.240852	0.01982433	0.0198243	0.0198243
199	1	-85.44673	-88.76887	3.322144	0.01175755	0.0117576	0.0117576
200	0	-84.40735	-87.15013	2.742783	0.01607977	0.0160798	0.0160798
201	1	-85.49266	-88.82795	3.335289	0.01165949	0.0116595	0.0116595
202	0	-84.37934	-86.89446	2.515125	0.01777816	0.0177782	0.0177782
203	1	-84.87586	-87.99141	3.115551	0.01329881	0.0132988	0.0132988
204	0	-84.37934	-86.89446	2.515125	0.01777816	0.0177782	0.0177782
205	1	-84.87586	-87.99141	3.115551	0.01329881	0.0132988	0.0132988
206	0	-85.64318	-87.15541	1.51223	0.02526007	0.0252601	0.0252601
207	1	-84.65414	-86.77698	2.122848	0.02070468	0.0207047	0.0207047
208	0	-84.44684	-86.8041	2.357255	0.01895592	0.0189559	0.0189559
209	1	-84.44562	-86.80484	2.359226	0.01894122	0.0189412	0.0189412
210	0	-85.18662	-86.94057	1.753943	0.02345682	0.0234568	0.0234568
211	1	-85.64889	-87.15832	1.509428	0.02528097	0.025281	0.025281
212	0	-84.41139	-87.16213	2.750735	0.01602044	0.0160204	0.0160204
213	1	-85.33002	-87.00363	1.67361	0.02405613	0.0240561	0.0240561
214	0	-85.01942	-86.87424	1.854824	0.02270422	0.0227042	0.0227042
215	1	-84.55455	-87.47481	2.920261	0.01475572	0.0147557	0.0147557
216	0	-84.93479	-86.84455	1.909765	0.02229434	0.0222943	0.0222943
217	1	-84.37311	-86.92554	2.552434	0.01749983	0.0174998	0.0174998
218	0	-84.83385	-87.92926	3.095411	0.01344905	0.0134491	0.0134491
219	1	-84.73697	-87.78132	3.044353	0.01382996	0.01383	0.01383
220	0	-86.22402	-89.73192	3.507897	0.01037178	0.0103718	0.0103718
221	1	-84.97502	-86.85829	1.883263	0.02249205	0.022492	0.022492
222	0	-86.22402	-89.73192	3.507897	0.01037178	0.0103718	0.0103718
223	1	-86.51733	-87.63982	1.122486	0.02816768	0.0281677	0.0281677
224	0	-86.68245	-90.27498	3.592521	0.009740459	0.00974046	0.00974046
225	1	-86.51733	-87.63982	1.122486	0.02816768	0.0281677	0.0281677
226	0	-85.92725	-89.37204	3.444782	0.01084263	0.0108426	0.0108426
227	1	-86.37704	-87.5579	1.180858	0.02773221	0.0277322	0.0277322
228	0	-84.41887	-87.18329	2.76442	0.01591835	0.0159183	0.0159183
229	1	-87.15943	-88.02835	0.8689244	0.03005933	0.0300593	0.0300593
230	0	-84.75368	-86.79376	2.040078	0.02132216	0.0213222	0.0213222
231	1	-86.27699	-87.50028	1.223289	0.02741566	0.0274157	0.0274157
232	0	-84.39718	-86.8529	2.455727	0.01822129	0.0182213	0.0182213
233	1	-85.54774	-87.10745	1.559713	0.02490584	0.0249058	0.0249058
234	0	-84.65073	-87.6424	2.991672	0.01422298	0.014223	0.014223
235	1	-84.79571	-87.87186	3.07615	0.01359274	0.0135927	0.0135927
236	0	-84.65073	-87.6424	2.991672	0.01422298	0.014223	0.014223
237	1	-84.68662	-87.70124	3.014611	0.01405185	0.0140518	0.0140518
238	0	-84.5942	-86.77301	2.178809	0.02028718	0.0202872	0.0202872
239	1	-85.37953	-88.68176	3.302232	0.0119061	0.0119061	0.0119061
240	0	-84.38024	-86.89135	2.511104	0.01780817	0.0178082	0.0178082
241	1	-84.50007	-87.36994	2.869873	0.01513164	0.0151316	0.0151316
242	0	-84.49358	-87.35671	2.863132	0.01518193	0.0151819	0.0151819
243	1	-84.55661	-86.77392	2.217315	0.01999992	0.0199999	0.0199999
244	0	-85.18577	-88.42527	3.239501	0.0123741	0.0123741	0.0123741
