state	power	likelihood
260	1	-90.9472
270	1	-86.7865
280	1	-86.7975
290	1	-87.6189
300	1	-87.0568
310	1	-86.7742
320	1	-88.9477
330	1	-86.7961
340	1	-86.8932
350	1	-86.7826
360	1	-87.004
370	1	-87.9828
380	1	-87.309
390	1	-87.3038
400	1	-87.6147
410	1	-87.1611
420	1	-86.9991
430	1	-86.7863
440	1	-87.0096
450	1	-87.3466
460	1	-86.7951
470	1	-87.5454
480	1	-86.9024
490	1	-88.2963
500	1	-86.7788
510	1	-88.3374
520	1	-86.8637
530	1	-86.8417
540	1	-86.7755
550	1	-86.8074
560	1	-87.2243
570	1	-86.99
580	1	-86.8998
590	1	-87.4081
600	1	-87.1777
610	1	-87.751
620	1	-86.8428
630	1	-86.7891
640	1	-86.8924
650	1	-86.7954
660	1	-87.8349
670	1	-86.7795
680	1	-87.808
690	1	-86.8317
700	1	-86.785
710	1	-87.1902
720	1	-86.7792
730	1	-86.779
740	1	-87.1066
750	1	-86.9764
760	1	-89.2534
770	1	-86.8833
780	1	-86.7781
790	1	-86.8626
800	1	-88.5145
810	1	-86.8041
820	1	-87.1259
830	1	-86.8691
840	1	-87.2551
850	1	-86.8554
860	1	-87.2641
870	1	-86.8022
880	1	-87.8974
890	1	-86.7888
900	1	-86.7787
910	1	-86.9025
920	1	-87.1642
930	1	-87.4253
940	1	-86.9924
950	1	-87.7597
960	1	-86.9343
970	1	-87.0145
980	1	-87.0247
990	1	-86.9853
1000	1	-88.1627
260	0.923115	-86.9143
270	0.923115	-88.1528
280	0.923115	-87.19
290	0.923115	-86.7732
300	0.923115	-86.7781
310	0.923115	-87.7014
320	0.923115	-87.1049
330	0.923115	-86.7912
340	0.923115	-87.3419
350	0.923115	-87.21
360	0.923115	-86.7903
370	0.923115	-87.2562
380	0.923115	-86.8989
390	0.923115	-87.1153
400	0.923115	-87.1725
410	0.923115	-86.8721
420	0.923115	-86.8918
430	0.923115	-86.7744
440	0.923115	-86.9017
450	0.923115	-87.4852
460	0.923115	-86.8296
470	0.923115	-86.9882
480	0.923115	-86.8914
490	0.923115	-86.781
500	0.923115	-87.2276
510	0.923115	-86.8406
520	0.923115	-86.9779
530	0.923115	-88.1601
540	0.923115	-87.2917
550	0.923115	-86.9713
560	0.923115	-87.1876
570	0.923115	-86.833
580	0.923115	-86.9911
590	0.923115	-87.3989
600	0.923115	-86.7844
610	0.923115	-87.6367
620	0.923115	-86.8192
630	0.923115	-86.7809
640	0.923115	-86.7951
650	0.923115	-87.4511
660	0.923115	-87.5547
670	0.923115	-86.8036
680	0.923115	-86.7988
690	0.923115	-87.1573
700	0.923115	-86.7732
710	0.923115	-88.6377
720	0.923115	-89.0694
730	0.923115	-86.7856
740	0.923115	-87.1779
750	0.923115	-86.7819
760	0.923115	-86.8246
770	0.923115	-87.6827
780	0.923115	-86.9728
790	0.923115	-87.0121
800	0.923115	-88.0404
810	0.923115	-86.8902
820	0.923115	-86.8386
830	0.923115	-89.0642
840	0.923115	-86.814
850	0.923115	-86.8105
860	0.923115	-86.9073
870	0.923115	-87.5594
880	0.923115	-86.8096
890	0.923115	-86.7812
900	0.923115	-86.8352
910	0.923115	-87.5651
920	0.923115	-88.7032
930	0.923115	-87.3918
940	0.923115	-86.7872
950	0.923115	-87.6114
960	0.923115	-88.5212
970	0.923115	-87.5709
980	0.923115	-86.808
990	0.923115	-86.866
1000	0.923115	-88.4333
