Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]
0	-113.1571	-117.8536	4.69652	0.001504289	0.00150429	0.00150429
1	-104.5268	-109.0933	4.566466	0.002474527	0.00247453	0.00247453
2	-96.82166	-101.1777	4.356018	0.004044538	0.00404454	0.00404454
3	-89.87816	-93.8478	3.969641	0.006927027	0.00692703	0.00692703
4	-89.87816	-93.8478	3.969641	0.006927027	0.00692703	0.00692703
5	-85.68504	-89.0718	3.386764	0.01127547	0.0112755	0.0112755
6	-84.72715	-87.76589	3.038747	0.01387178	0.0138718	0.0138718
7	-84.83409	-87.92962	3.095528	0.01344818	0.0134482	0.0134482
8	-84.83409	-87.92962	3.095528	0.01344818	0.0134482	0.0134482
9	-84.44708	-87.25483	2.807746	0.01559512	0.0155951	0.0155951
10	-84.64542	-86.77606	2.130645	0.02064651	0.0206465	0.0206465
11	-84.38573	-86.87571	2.489983	0.01796573	0.0179657	0.0179657
12	-84.51464	-86.77929	2.264646	0.01964682	0.0196468	0.0196468
13	-85.37517	-87.02444	1.649269	0.02423771	0.0242377	0.0242377
14	-84.76777	-86.79691	2.029139	0.02140377	0.0214038	0.0214038
15	-84.75254	-86.79351	2.040968	0.02131552	0.0213155	0.0213155
16	-85.55425	-88.90662	3.352369	0.01153207	0.0115321	0.0115321
17	-84.68172	-87.69329	3.011571	0.01407452	0.0140745	0.0140745
18	-84.52451	-87.41823	2.893711	0.0149538	0.0149538	0.0149538
19	-84.56803	-87.49942	2.931385	0.01467274	0.0146727	0.0146727
20	-84.3721	-86.99148	2.619379	0.0170004	0.0170004	0.0170004
21	-84.64987	-87.64097	2.9911	0.01422725	0.0142272	0.0142272
22	-85.02383	-86.87587	1.852038	0.022725	0.022725	0.022725
23	-85.02383	-86.87587	1.852038	0.022725	0.022725	0.022725
24	-84.93356	-88.07518	3.141622	0.01310431	0.0131043	0.0131043
25	-85.40347	-88.7129	3.309424	0.01185245	0.0118525	0.0118525
26	-84.37159	-86.98417	2.612585	0.01705109	0.0170511	0.0170511
27	-84.77069	-86.79758	2.026888	0.02142057	0.0214206	0.0214206
28	-84.40058	-87.12892	2.728343	0.01618749	0.0161875	0.0161875
29	-85.44756	-87.05863	1.611064	0.02452274	0.0245227	0.0245227
30	-84.58149	-86.77298	2.191483	0.02019263	0.0201926	0.0201926
31	-84.60541	-86.7733	2.167892	0.02036863	0.0203686	0.0203686
32	-84.37104	-86.97196	2.600927	0.01713806	0.0171381	0.0171381
33	-84.37499	-86.91339	2.538405	0.01760449	0.0176045	0.0176045
34	-84.38586	-87.07509	2.689233	0.01647927	0.0164793	0.0164793
35	-84.38586	-87.07509	2.689233	0.01647927	0.0164793	0.0164793
36	-85.5744	-87.12071	1.546312	0.02500581	0.0250058	0.0250058
37	-85.39343	-87.03297	1.639537	0.02431032	0.0243103	0.0243103
38	-85.39343	-87.03297	1.639537	0.02431032	0.0243103	0.0243103
39	-84.78609	-87.85722	3.071131	0.01363019	0.0136302	0.0136302
40	-84.94235	-88.08779	3.145448	0.01307576	0.0130758	0.0130758
41	-84.59589	-86.77304	2.177155	0.02029952	0.0202995	0.0202995
42	-85.04094	-86.88225	1.841316	0.02280499	0.022805	0.022805
43	-84.87699	-86.82619	1.9492	0.02200014	0.0220001	0.0220001
44	-84.40336	-87.13781	2.734453	0.01614191	0.0161419	0.0161419
45	-84.62855	-86.77459	2.146038	0.02053167	0.0205317	0.0205317
46	-84.64047	-87.62527	2.984803	0.01427422	0.0142742	0.0142742
47	-84.64047	-87.62527	2.984803	0.01427422	0.0142742	0.0142742
48	-85.74235	-87.20656	1.464215	0.02561828	0.0256183	0.0256183
49	-85.48086	-87.07467	1.59381	0.02465146	0.0246515	0.0246515
50	-85.24784	-86.96689	1.719044	0.02371718	0.0237172	0.0237172
51	-84.64969	-86.7765	2.126809	0.02067512	0.0206751	0.0206751
52	-84.37289	-87.00021	2.627328	0.0169411	0.0169411	0.0169411
53	-84.45507	-86.79948	2.344411	0.01905175	0.0190517	0.0190517
54	-84.6254	-86.77437	2.14897	0.0205098	0.0205098	0.0205098
55	-85.14156	-88.36544	3.223879	0.01249064	0.0124906	0.0124906
56	-85.14156	-88.36544	3.223879	0.01249064	0.0124906	0.0124906
57	-84.37314	-87.00266	2.629524	0.01692471	0.0169247	0.0169247
58	-84.40612	-87.14639	2.740268	0.01609853	0.0160985	0.0160985
59	-85.18749	-86.94093	1.753443	0.02346055	0.0234606	0.0234606
60	-84.37253	-86.99654	2.624001	0.01696592	0.0169659	0.0169659
61	-85.2962	-86.98833	1.692124	0.02391801	0.023918	0.023918
62	-84.3983	-86.85111	2.452811	0.01824304	0.018243	0.018243
63	-85.66128	-89.04197	3.380693	0.01132076	0.0113208	0.0113208
64	-86.94914	-90.58534	3.636203	0.009414574	0.00941457	0.00941457
65	-84.40724	-86.8385	2.431265	0.01840378	0.0184038	0.0184038
66	-84.41623	-86.82825	2.412019	0.01854737	0.0185474	0.0185474
67	-84.92766	-86.84219	1.914537	0.02225873	0.0222587	0.0222587
68	-84.44632	-87.25301	2.806694	0.01560297	0.015603	0.015603
69	-84.9024	-88.03015	3.127755	0.01320776	0.0132078	0.0132078
70	-84.9024	-88.03015	3.127755	0.01320776	0.0132078	0.0132078
71	-84.40678	-86.83909	2.432317	0.01839594	0.0183959	0.0183959
72	-84.45199	-87.26631	2.814328	0.01554602	0.015546	0.015546
73	-84.43883	-86.80923	2.370401	0.01885785	0.0188579	0.0188579
74	-86.53141	-87.64811	1.116694	0.02821089	0.0282109	0.0282109
75	-86.53141	-87.64811	1.116694	0.02821089	0.0282109	0.0282109
76	-85.87496	-87.27682	1.401859	0.02608347	0.0260835	0.0260835
77	-85.87496	-87.27682	1.401859	0.02608347	0.0260835	0.0260835
78	-84.72285	-87.75912	3.036268	0.01389027	0.0138903	0.0138903
