state	power	likelihood
260	0.462664	-86.9564
270	0.462664	-87.262
280	0.462664	-87.9401
290	0.462664	-87.8517
300	0.462664	-86.7765
310	0.462664	-86.798
320	0.462664	-87.1374
330	0.462664	-88.4515
340	0.462664	-87.0538
350	0.462664	-89.9772
360	0.462664	-87.3263
370	0.462664	-90.8437
380	0.462664	-86.785
390	0.462664	-88.0959
400	0.462664	-88.8734
410	0.462664	-87.6626
420	0.462664	-88.6677
430	0.462664	-87.3175
440	0.462664	-86.7749
450	0.462664	-87.148
460	0.462664	-86.8854
470	0.462664	-86.8175
480	0.462664	-90.1477
490	0.462664	-86.8734
500	0.462664	-87.2472
510	0.462664	-92.2336
520	0.462664	-87.3314
530	0.462664	-89.6259
540	0.462664	-86.7846
550	0.462664	-90.6946
560	0.462664	-88.4838
570	0.462664	-87.4113
580	0.462664	-88.0453
590	0.462664	-88.5061
600	0.462664	-87.1121
610	0.462664	-86.8154
620	0.462664	-86.8342
630	0.462664	-86.8902
640	0.462664	-87.1
650	0.462664	-89.6389
660	0.462664	-87.5792
670	0.462664	-87.9588
680	0.462664	-87.9678
690	0.462664	-87.3885
700	0.462664	-87.3904
710	0.462664	-89.6692
720	0.462664	-87.8415
730	0.462664	-89.7746
740	0.462664	-87.0226
750	0.462664	-86.8645
760	0.462664	-87.6734
770	0.462664	-86.8665
780	0.462664	-86.7994
790	0.462664	-87.1105
800	0.462664	-87.0945
810	0.462664	-90.3419
820	0.462664	-86.8377
830	0.462664	-87.6242
840	0.462664	-87.5041
850	0.462664	-87.1886
860	0.462664	-91.0913
870	0.462664	-88.1441
880	0.462664	-87.8506
890	0.462664	-86.786
900	0.462664	-87.2842
910	0.462664	-87.9001
920	0.462664	-87.7316
930	0.462664	-87.1746
940	0.462664	-91.2926
950	0.462664	-87.4323
960	0.462664	-88.5888
970	0.462664	-87.8668
980	0.462664	-89.2775
990	0.462664	-87.674
1000	0.462664	-86.7732
