Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
0	0	-350.8056	-371.1425	20.33692	0	1	1	1	0.002922505	0.0163543	0.002185166	0.002185166	0.001316179	0.001316179	0.0008937306	0.0008937306	0.305156	0.104472	0.409414	0.180958
1	1	-302.6388	-326.5993	23.96053	1	0	0	1	0.00425468	0.00425468	0.001960412	0.006532	0.009868149	0.001826014	0.008739123	0.008739123	0.132394	0.144369	0.0179515	0.705286
2	0	-313.9165	-345.0192	31.1027	0	0	0	0	0.003583614	0.0163543	0.003589294	0.007164985	0.003762473	0.008793761	0.0005635224	0.009169205	0.277889	0.0951368	0.462185	0.164789
3	1	-279.8603	-299.4216	19.56125	1	0	1	0	0.005454965	0.005454965	0.001431092	0.0078772	0.015084	0.015084	0.008739123	0.02741404	0.505816	0.137099	0.0442107	0.312875
4	0	-312.5174	-337.1276	24.61028	0	0	1	0	0.003583614	0.03262055	0.00782351	0.007164985	0.003920178	0.003920178	0.0005927995	0.009169205	0.277889	0.0951368	0.462185	0.164789
5	1	-262.3217	-276.1351	13.81341	1	0	1	0	0.00760135	0.00760135	0.002340938	0.01180162	0.02323119	0.02323119	0.008201249	0.05570469	0.385804	0.170393	0.0549472	0.388855
6	0	-308.0847	-330.3755	22.29079	0	1	0	0	0.003583614	0.04440758	0.01104477	0.01104477	0.003920178	0.009928774	0.001133603	0.008160444	0.271788	0.115563	0.49798	0.11467
7	1	-252.101	-263.4183	11.31728	0	0	1	0	0.01352034	0.02698757	0.001464698	0.01265457	0.0258704	0.0258704	0.0277126	0.05583454	0.396488	0.179657	0.0242319	0.399623
8	0	-305.3417	-324.6703	19.32867	0	1	1	0	0.004516676	0.03688117	0.01146958	0.01146958	0.004645891	0.004645891	0.001133603	0.009088561	0.341997	0.206582	0.246434	0.204987
9	1	-249.8762	-261.2026	11.3264	0	0	0	1	0.02568679	0.03003896	0.001420687	0.01265457	0.0258704	0.03583367	0.03247161	0.03247161	0.212177	0.234524	0.0316322	0.521667
