Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
0	-302.6388	-326.5993	23.96053	1	0	0	1	0.00425468	0.00425468	0.001960412	0.006532	0.009868149	0.001826014	0.008739123	0.008739123	0.132394	0.144369	0.0179515	0.705286
1	-279.8603	-299.4216	19.56125	1	0	1	0	0.005454965	0.005454965	0.001431092	0.0078772	0.015084	0.015084	0.008739123	0.02741404	0.505816	0.137099	0.0442107	0.312875
2	-262.3217	-276.1351	13.81341	1	0	1	0	0.00760135	0.00760135	0.002340938	0.01180162	0.02323119	0.02323119	0.008201249	0.05570469	0.385804	0.170393	0.0549472	0.388855
3	-252.101	-263.4183	11.31728	0	0	1	0	0.01352034	0.02698757	0.001464698	0.01265457	0.0258704	0.0258704	0.0277126	0.05583454	0.396488	0.179657	0.0242319	0.399623
4	-249.8762	-261.2026	11.3264	0	0	0	1	0.02568679	0.03003896	0.001420687	0.01265457	0.0258704	0.03583367	0.03247161	0.03247161	0.212177	0.234524	0.0316322	0.521667
5	-241.8969	-249.3702	7.473368	0	0	1	1	0.02417226	0.04262971	0.00208852	0.01788602	0.0369316	0.0369316	0.03247161	0.03247161	0.240185	0.114912	0.389296	0.255607
6	-240.0226	-245.9727	5.950094	1	0	1	1	0.02411389	0.02411389	0.001779573	0.02766234	0.03819434	0.03819434	0.03925189	0.03925189	0.252193	0.0706633	0.408759	0.268385
7	-240.2045	-243.8332	3.628667	1	0	1	1	0.02228127	0.02228127	0.0020723	0.03109362	0.03819434	0.03819434	0.05467906	0.05467906	0.449962	0.0381664	0.366912	0.144959
8	-231.9328	-233.6355	1.702652	1	0	1	1	0.02482813	0.02482813	0.001909812	0.02322116	0.06411581	0.06411581	0.04861436	0.04861436	0.205662	0.144926	0.562091	0.0873211
9	-231.2905	-229.4742	-1.816255	1	0	1	1	0.02482813	0.02482813	0.004804936	0.01966529	0.08041509	0.08041509	0.05922795	0.05922795	0.215135	0.0727293	0.58798	0.124156
10	-230.2533	-229.8851	-0.3682213	0	0	1	1	0.02482813	0.02284653	0.004804936	0.01770333	0.08041509	0.08041509	0.06408237	0.06408237	0.124495	0.290888	0.51277	0.0718467
11	-232.6044	-228.869	-3.735353	1	0	0	1	0.02444232	0.02444232	0.007075756	0.02895006	0.1365624	0.01747842	0.02529126	0.02529126	0.183619	0.378834	0.343979	0.0935685
12	-231.9112	-225.4957	-6.415464	1	0	1	1	0.03691885	0.03691885	0.006470813	0.03289443	0.1216776	0.1216776	0.02529126	0.02529126	0.307851	0.276502	0.258771	0.156875
13	-231.7385	-226.0784	-5.660129	1	0	1	1	0.03691885	0.03691885	0.006470813	0.03289443	0.1177839	0.1177839	0.02354985	0.02354985	0.324747	0.291678	0.272973	0.110602
14	-229.9491	-230.0947	0.1456239	1	0	1	1	0.02495518	0.02495518	0.004532848	0.03693571	0.08433158	0.08433158	0.02354985	0.02354985	0.337304	0.302956	0.244861	0.114879
15	-229.7235	-224.5104	-5.21314	1	0	1	1	0.02495518	0.02495518	0.004532848	0.0391889	0.1028256	0.1028256	0.04278063	0.04278063	0.464165	0.416898	0.0750685	0.0438684
16	-230.554	-228.3335	-2.220475	1	0	1	1	0.02495518	0.02495518	0.004880238	0.02736659	0.07788042	0.07788042	0.05687458	0.05687458	0.588202	0.307771	0.0602198	0.0438076
17	-234.8231	-225.4924	-9.330702	1	0	1	1	0.03616448	0.03616448	0.002475769	0.02767886	0.07788042	0.07788042	0.100802	0.100802	0.628026	0.260903	0.064297	0.0467737
18	-234.017	-220.5911	-13.42588	1	0	1	1	0.03073206	0.03073206	0.001615122	0.04323274	0.0979001	0.0979001	0.1020728	0.1020728	0.443797	0.0605376	0.0927163	0.402949
19	-231.3763	-221.4651	-9.911216	1	0	1	1	0.03073206	0.03073206	0.001615122	0.04323274	0.0979001	0.0979001	0.07585229	0.07585229	0.351204	0.0758229	0.116127	0.456847
20	-230.3115	-221.1656	-9.145911	1	0	1	1	0.03650081	0.03650081	0.001470009	0.04323274	0.1128839	0.1128839	0.04953542	0.04953542	0.557056	0.120265	0.184192	0.138486
21	-229.9315	-224.2028	-5.728678	0	0	1	1	0.02525349	0.0121573	0.001461406	0.04946336	0.09021883	0.09021883	0.07611668	0.07611668	0.178518	0.124518	0.189621	0.507342
22	-231.2315	-224.0714	-7.160101	1	0	1	1	0.02525349	0.02525349	0.0009772208	0.03624193	0.09021883	0.09021883	0.07611668	0.07611668	0.150409	0.104911	0.317223	0.427456
23	-230.0373	-226.2414	-3.795905	1	0	1	1	0.02525349	0.02525349	0.0008516712	0.04625169	0.09091546	0.09091546	0.04043789	0.04043789	0.122022	0.107395	0.423803	0.346781
24	-231.4196	-227.6108	-3.808845	1	0	1	1	0.03824178	0.03824178	0.0005793014	0.04625169	0.09091546	0.09091546	0.02781851	0.02781851	0.0782832	0.0576646	0.271892	0.59216
25	-231.7859	-227.5302	-4.255656	1	0	1	1	0.03332553	0.03332553	0.0009897609	0.05399872	0.09593882	0.09593882	0.02288725	0.02288725	0.0792129	0.0576065	0.271618	0.591563
26	-231.9181	-225.9771	-5.941075	1	0	1	1	0.03448946	0.03448946	0.001769192	0.04439137	0.122088	0.122088	0.01697583	0.01697583	0.117987	0.0858045	0.404573	0.391636
27	-231.4343	-227.0023	-4.432018	1	0	1	1	0.03448946	0.03448946	0.001830968	0.02811672	0.1270428	0.1270428	0.01697583	0.01697583	0.18421	0.133964	0.306748	0.375078
28	-227.1789	-231.59	4.411111	0	0	1	0	0.01699893	0.02148218	0.003260402	0.03069883	0.1190366	0.1190366	0.01890343	0.005186506	0.0810749	0.851688	0.0388301	0.0284074
29	-230.368	-227.4701	-2.897931	1	0	1	1	0.02162724	0.02162724	0.003021832	0.03069883	0.1190366	0.1190366	0.02262653	0.02262653	0.153636	0.770656	0.0500035	0.0257047
30	-228.8067	-225.8681	-2.938611	0	0	1	1	0.02656157	0.01808531	0.003454276	0.04355315	0.1190366	0.1190366	0.02316539	0.02316539	0.27248	0.470931	0.082731	0.173858
31	-230.0646	-225.4163	-4.648305	1	0	1	1	0.02700049	0.02700049	0.003132504	0.03773438	0.1190366	0.1190366	0.02316539	0.02316539	0.331487	0.453291	0.079632	0.135591
32	-231.0243	-221.6172	-9.40714	1	0	1	1	0.04308756	0.04308756	0.003616913	0.0373625	0.1190366	0.1190366	0.04246817	0.04246817	0.337725	0.461822	0.0623111	0.138142
