Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate[1]	rate[2]	rf[1]	rf[2]
0	0	-98.81796	-107.6805	8.862584	0.00221509	0.00475085	0.484315	0.515685
1	1	-95.52686	-104.5464	9.019542	0.00499777	0.000797213	0.857111	0.142889
2	0	-99.04251	-107.9051	8.862584	0.00221509	0.00475085	0.386026	0.613974
3	1	-91.92274	-100.5127	8.589959	0.00823949	0.000760316	0.716439	0.283561
4	0	-98.53467	-107.3973	8.862584	0.00221509	0.00475085	0.644356	0.355644
5	1	-92.388	-101.1853	8.797305	0.00632093	0.00113201	0.743457	0.256543
6	0	-93.75437	-102.5174	8.763051	0.00329815	0.00441033	0.915034	0.0849662
7	1	-89.77364	-98.33903	8.565388	0.00760128	0.00158183	0.879882	0.120118
8	0	-90.47476	-99.0661	8.591339	0.00442082	0.00456869	0.95978	0.0402201
9	1	-90.84035	-99.56124	8.720894	0.00644116	0.00158183	0.966616	0.0333841
10	0	-87.26704	-94.92119	7.654152	0.00442082	0.0115604	0.859212	0.140788
11	1	-90.61749	-99.31305	8.695565	0.00663012	0.00158183	0.96926	0.0307398
12	0	-85.22789	-92.55205	7.324159	0.00531096	0.0131321	0.859212	0.140788
13	1	-91.26372	-100.0206	8.756891	0.0061277	0.00162674	0.854144	0.145856
14	0	-82.79165	-89.83719	7.045539	0.00738955	0.0131321	0.969269	0.0307313
15	1	-88.92305	-97.44921	8.526152	0.0061277	0.00334812	0.726802	0.273198
16	0	-83.89338	-91.40719	7.513815	0.00738955	0.00963862	0.852736	0.147264
17	1	-88.84161	-97.37552	8.533906	0.00606985	0.00334812	0.850447	0.149553
18	0	-81.01134	-87.33783	6.32649	0.00955582	0.0163302	0.922653	0.0773468
19	1	-87.80856	-96.21398	8.405413	0.0062757	0.00410088	0.912012	0.0879881
20	0	-80.26802	-85.05051	4.782484	0.0153353	0.0220695	0.715631	0.284369
21	1	-87.81923	-96.22465	8.405413	0.0062757	0.00410088	0.902297	0.0977031
22	0	-80.98092	-85.67746	4.696538	0.0159764	0.0220695	0.242333	0.757667
23	1	-87.06488	-94.9018	7.836916	0.0062757	0.00834204	0.153739	0.846261
24	0	-81.62899	-87.89578	6.266798	0.0105255	0.0158058	0.34964	0.65036
25	1	-84.86019	-91.98535	7.125154	0.00521843	0.0147093	0.984616	0.0153844
26	0	-83.59677	-90.56376	6.966988	0.0113201	0.00978752	0.190172	0.809828
27	1	-84.50863	-91.56993	7.061292	0.00569486	0.0147093	0.677484	0.322516
28	0	-83.74277	-90.85337	7.110601	0.0113201	0.00871612	0.253426	0.746574
29	1	-84.29616	-91.35745	7.061292	0.00569486	0.0147093	0.860612	0.139388
30	0	-81.93316	-88.29721	6.36405	0.0113201	0.0142856	0.306886	0.693114
31	1	-84.55821	-91.71166	7.153451	0.00569486	0.0140217	0.768261	0.231739
32	0	-81.2262	-86.83267	5.606479	0.0113201	0.0199373	0.120825	0.879175
33	1	-80.35553	-85.79898	5.443458	0.00846131	0.0240124	0.9685	0.0314996
34	0	-80.83392	-86.28325	5.449329	0.0113201	0.0211097	0.196747	0.803253
35	1	-80.08041	-85.27721	5.196799	0.00894274	0.0253711	0.853427	0.146573
36	0	-79.2816	-83.31228	4.03068	0.0120809	0.0309325	0.423431	0.576569
37	1	-81.33568	-87.839	6.503316	0.00894274	0.0156241	0.967327	0.0326733
38	0	-80.3775	-83.50998	3.132475	0.0187818	0.0309325	0.673025	0.326975
39	1	-83.41222	-90.08255	6.670331	0.00769676	0.0156241	0.155381	0.844619
40	0	-79.16023	-83.39334	4.233108	0.0131853	0.0283179	0.93212	0.0678796
41	1	-80.56459	-85.37035	4.805768	0.0159288	0.0213023	0.655642	0.344358
42	0	-78.4611	-80.77352	2.312423	0.0131853	0.0426468	0.888797	0.111203
43	1	-79.6913	-83.00422	3.312916	0.0159288	0.0324394	0.260358	0.739642
