state	power	likelihood
260	1	-77.3378
270	1	-80.7626
280	1	-79.7185
290	1	-77.887
300	1	-80.3089
310	1	-77.5607
320	1	-79.2684
330	1	-84.7741
340	1	-80.4042
350	1	-76.7194
360	1	-83.5406
370	1	-77.9032
380	1	-80.0291
390	1	-77.4406
400	1	-79.6922
410	1	-85.9065
420	1	-80.7939
430	1	-79.463
440	1	-78.6474
450	1	-78.7263
460	1	-78.5871
470	1	-79.8686
480	1	-78.598
490	1	-81.3434
500	1	-78.8884
510	1	-80.2225
520	1	-79.0808
530	1	-80.5977
540	1	-80.3552
550	1	-81.9426
560	1	-79.4967
570	1	-78.4365
580	1	-79.1772
590	1	-85.8143
600	1	-76.0142
610	1	-79.7665
620	1	-80.8319
630	1	-78.8494
640	1	-79.733
650	1	-82.1181
660	1	-78.4975
670	1	-77.1146
680	1	-81.4456
690	1	-78.3929
700	1	-84.5719
710	1	-81.8078
720	1	-80.4695
730	1	-84.163
740	1	-79.8306
750	1	-77.2431
760	1	-78.5233
770	1	-79.4947
780	1	-77.6699
790	1	-79.0924
800	1	-79.5035
810	1	-77.2687
820	1	-80.6038
830	1	-80.5194
840	1	-79.1577
850	1	-81.0103
860	1	-77.8676
870	1	-78.6902
880	1	-79.6684
890	1	-79.3655
900	1	-81.4431
910	1	-80.5505
920	1	-78.3369
930	1	-83.6082
940	1	-77.9985
950	1	-80.1092
960	1	-83.2756
970	1	-81.9938
980	1	-83.4027
990	1	-77.9871
1000	1	-76.7207
260	0.923115	-79.5991
270	0.923115	-78.9924
280	0.923115	-86.9366
290	0.923115	-85.86
300	0.923115	-77.5136
310	0.923115	-81.9592
320	0.923115	-80.9438
330	0.923115	-83.1731
340	0.923115	-79.8189
350	0.923115	-75.3544
360	0.923115	-83.5562
370	0.923115	-79.5224
380	0.923115	-79.2298
390	0.923115	-75.5636
400	0.923115	-77.8618
410	0.923115	-87.2409
420	0.923115	-83.5901
430	0.923115	-78.7874
440	0.923115	-82.7252
450	0.923115	-80.6484
460	0.923115	-78.3678
470	0.923115	-88.2523
480	0.923115	-85.5237
490	0.923115	-78.6577
500	0.923115	-76.6807
510	0.923115	-78.1653
520	0.923115	-80.1193
530	0.923115	-79.0148
540	0.923115	-79.2247
550	0.923115	-76.4727
560	0.923115	-81.2895
570	0.923115	-78.9041
580	0.923115	-81.9457
590	0.923115	-77.8485
600	0.923115	-80.5006
610	0.923115	-80.931
620	0.923115	-80.7827
630	0.923115	-80.0688
640	0.923115	-79.2888
650	0.923115	-84.4301
660	0.923115	-78.7407
670	0.923115	-82.506
680	0.923115	-78.6338
690	0.923115	-81.9901
700	0.923115	-82.4675
710	0.923115	-79.8277
720	0.923115	-76.2042
730	0.923115	-79.5986
740	0.923115	-81.97
750	0.923115	-79.5113
760	0.923115	-80.259
770	0.923115	-75.8357
780	0.923115	-85.6119
790	0.923115	-82.5033
800	0.923115	-78.376
810	0.923115	-81.6039
820	0.923115	-85.1927
830	0.923115	-82.3688
840	0.923115	-81.2017
850	0.923115	-83.7025
860	0.923115	-79.426
870	0.923115	-79.9802
880	0.923115	-78.6532
890	0.923115	-80.2751
900	0.923115	-77.2984
910	0.923115	-82.1273
920	0.923115	-82.8591
930	0.923115	-85.2305
940	0.923115	-78.8996
950	0.923115	-76.957
960	0.923115	-79.9543
970	0.923115	-78.3443
980	0.923115	-84.3857
990	0.923115	-82.2597
1000	0.923115	-79.8976
260	0.851033	-80.8784
270	0.851033	-84.8287
280	0.851033	-82.7292
290	0.851033	-80.2754
300	0.851033	-78.4264
310	0.851033	-80.7696
320	0.851033	-79.7463
330	0.851033	-80.283
340	0.851033	-79.4646
350	0.851033	-81.3654
360	0.851033	-82.7037
370	0.851033	-79.5026
380	0.851033	-80.0578
390	0.851033	-82.554
400	0.851033	-83.8833
410	0.851033	-88.3747
420	0.851033	-83.7096
430	0.851033	-80.4671
440	0.851033	-80.2793
450	0.851033	-77.947
460	0.851033	-82.6406
470	0.851033	-78.8828
480	0.851033	-80.6543
490	0.851033	-88.8048
500	0.851033	-77.8114
510	0.851033	-82.9531
520	0.851033	-80.2243
530	0.851033	-85.2636
540	0.851033	-77.2325
550	0.851033	-81.6546
560	0.851033	-80.5431
570	0.851033	-85.3455
580	0.851033	-88.0727
590	0.851033	-79.7682
600	0.851033	-83.4428
610	0.851033	-83.3989
620	0.851033	-76.6218
630	0.851033	-81.045
640	0.851033	-83.8629
650	0.851033	-81.379
660	0.851033	-78.4562
670	0.851033	-80.2015
680	0.851033	-81.6828
690	0.851033	-77.7535
700	0.851033	-83.5314
710	0.851033	-81.6644
720	0.851033	-82.9511
730	0.851033	-81.9011
740	0.851033	-78.4413
750	0.851033	-83.0866
760	0.851033	-81.3588
770	0.851033	-79.1127
780	0.851033	-82.5452
790	0.851033	-80.3248
800	0.851033	-81.0898
810	0.851033	-83.1351
820	0.851033	-83.861
830	0.851033	-85.9464
840	0.851033	-79.6534
850	0.851033	-80.982
860	0.851033	-76.8269
870	0.851033	-80.295
880	0.851033	-81.1396
890	0.851033	-83.277
900	0.851033	-85.3708
910	0.851033	-83.3607
920	0.851033	-77.1073
930	0.851033	-81.2591
940	0.851033	-85.9532
950	0.851033	-80.7968
960	0.851033	-78.7637
970	0.851033	-80.5191
980	0.851033	-78.5719
990	0.851033	-78.4484
1000	0.851033	-82.2249
260	0.783526	-83.2098
270	0.783526	-80.1504
280	0.783526	-77.1578
290	0.783526	-81.9858
300	0.783526	-80.5057
310	0.783526	-83.2664
320	0.783526	-83.1324
330	0.783526	-82.7974
340	0.783526	-83.3429
350	0.783526	-85.4997
360	0.783526	-80.6842
370	0.783526	-80.6728
380	0.783526	-83.1775
390	0.783526	-77.4624
400	0.783526	-76.5428
410	0.783526	-82.3085
420	0.783526	-82.9353
430	0.783526	-86.2023
440	0.783526	-82.5128
450	0.783526	-79.3175
460	0.783526	-82.4185
470	0.783526	-77.5967
480	0.783526	-79.5279
490	0.783526	-84.497
500	0.783526	-80.9669
510	0.783526	-81.6577
520	0.783526	-80.061
530	0.783526	-82.3751
540	0.783526	-81.5352
550	0.783526	-78.641
560	0.783526	-79.8545
570	0.783526	-83.7806
580	0.783526	-79.7174
590	0.783526	-76.233
600	0.783526	-78.0895
610	0.783526	-77.9868
620	0.783526	-81.6477
630	0.783526	-80.7324
640	0.783526	-79.656
650	0.783526	-82.2146
660	0.783526	-79.5554
670	0.783526	-83.2649
680	0.783526	-84.094
690	0.783526	-79.3686
700	0.783526	-85.4112
710	0.783526	-78.7059
720	0.783526	-80.3809
730	0.783526	-85.4448
740	0.783526	-80.2449
750	0.783526	-83.7887
760	0.783526	-79.2618
770	0.783526	-80.5916
780	0.783526	-77.5413
790	0.783526	-85.3328
800	0.783526	-86.8012
810	0.783526	-81.5084
820	0.783526	-79.4927
830	0.783526	-79.2781
840	0.783526	-83.8322
850	0.783526	-86.848
860	0.783526	-80.7079
870	0.783526	-79.7227
880	0.783526	-80.5506
890	0.783526	-81.4301
900	0.783526	-83.5686
910	0.783526	-81.8237
920	0.783526	-78.1034
930	0.783526	-83.1331
940	0.783526	-79.8363
950	0.783526	-81.7364
960	0.783526	-78.6625
970	0.783526	-78.7426
980	0.783526	-81.9683
990	0.783526	-82.7178
1000	0.783526	-83.1902
260	0.720373	-79.8456
270	0.720373	-84.9918
280	0.720373	-80.9448
290	0.720373	-75.4231
300	0.720373	-82.0831
310	0.720373	-89.196
320	0.720373	-87.0852
330	0.720373	-82.4897
340	0.720373	-81.6431
350	0.720373	-84.7301
360	0.720373	-83.6576
370	0.720373	-82.4962
380	0.720373	-79.2995
390	0.720373	-83.838
400	0.720373	-86.4979
410	0.720373	-79.3935
420	0.720373	-80.8899
430	0.720373	-82.9098
440	0.720373	-77.0353
450	0.720373	-85.0811
460	0.720373	-79.9409
470	0.720373	-77.0748
480	0.720373	-84.1151
490	0.720373	-76.029
500	0.720373	-79.9827
510	0.720373	-77.2742
520	0.720373	-79.3745
530	0.720373	-78.5413
540	0.720373	-82.975
550	0.720373	-84.6135
560	0.720373	-79.5119
570	0.720373	-88.3417
580	0.720373	-80.3974
590	0.720373	-91.0989
600	0.720373	-76.6659
610	0.720373	-77.7516
620	0.720373	-80.6291
630	0.720373	-80.9449
640	0.720373	-83.9439
650	0.720373	-85.4727
660	0.720373	-78.4274
670	0.720373	-84.0719
680	0.720373	-81.8714
690	0.720373	-80.1727
700	0.720373	-84.9046
710	0.720373	-79.0681
720	0.720373	-80.89
730	0.720373	-79.5912
740	0.720373	-83.7674
750	0.720373	-79.4937
760	0.720373	-84.5377
770	0.720373	-77.7703
780	0.720373	-83.5267
790	0.720373	-84.9115
800	0.720373	-79.9025
810	0.720373	-81.2119
820	0.720373	-88.8013
830	0.720373	-83.7491
840	0.720373	-81.1181
850	0.720373	-83.7803
860	0.720373	-85.7465
870	0.720373	-79.2802
880	0.720373	-84.0702
890	0.720373	-80.3557
900	0.720373	-81.9465
910	0.720373	-82.5487
920	0.720373	-80.7674
930	0.720373	-80.5085
940	0.720373	-79.4267
950	0.720373	-80.6507
960	0.720373	-79.8557
970	0.720373	-79.3147
980	0.720373	-80.1114
990	0.720373	-82.2153
1000	0.720373	-82.1559
260	0.661359	-81.8807
270	0.661359	-83.0433
280	0.661359	-83.3318
290	0.661359	-76.9802
300	0.661359	-77.5258
310	0.661359	-85.8398
320	0.661359	-83.894
330	0.661359	-80.3389
340	0.661359	-78.3651
350	0.661359	-82.62
360	0.661359	-82.15
370	0.661359	-90.8501
380	0.661359	-81.5027
390	0.661359	-82.7537
400	0.661359	-79.4213
410	0.661359	-77.7474
420	0.661359	-87.1396
430	0.661359	-79.8541
440	0.661359	-80.1827
450	0.661359	-84.5711
460	0.661359	-92.3143
470	0.661359	-82.4399
480	0.661359	-83.3453
490	0.661359	-81.1897
500	0.661359	-82.6545
510	0.661359	-82.4483
520	0.661359	-85.5069
530	0.661359	-79.1275
540	0.661359	-82.4162
550	0.661359	-87.7936
560	0.661359	-81.9792
570	0.661359	-84.5255
580	0.661359	-78.9079
590	0.661359	-83.1561
600	0.661359	-79.7487
610	0.661359	-85.888
620	0.661359	-80.4061
630	0.661359	-82.69
640	0.661359	-78.7636
650	0.661359	-78.4836
660	0.661359	-83.1949
670	0.661359	-84.9712
680	0.661359	-86.1095
690	0.661359	-84.957
700	0.661359	-84.8709
710	0.661359	-80.7594
720	0.661359	-87.4128
730	0.661359	-81.9046
740	0.661359	-81.4358
750	0.661359	-88.7678
760	0.661359	-79.5512
770	0.661359	-82.0587
780	0.661359	-80.3887
790	0.661359	-87.3772
800	0.661359	-84.5257
810	0.661359	-86.7916
820	0.661359	-77.6415
830	0.661359	-80.1808
840	0.661359	-78.3678
850	0.661359	-79.9668
860	0.661359	-86.4156
870	0.661359	-81.9092
880	0.661359	-82.8167
890	0.661359	-82.0216
900	0.661359	-79.3331
910	0.661359	-86.4245
920	0.661359	-83.5349
930	0.661359	-78.5844
940	0.661359	-84.5368
950	0.661359	-83.2385
960	0.661359	-84.8879
970	0.661359	-83.592
980	0.661359	-77.5993
990	0.661359	-82.0323
1000	0.661359	-78.9644
260	0.606278	-80.7149
270	0.606278	-79.6689
280	0.606278	-84.7733
290	0.606278	-86.4585
300	0.606278	-86.4433
310	0.606278	-78.0099
320	0.606278	-80.742
330	0.606278	-88.0004
340	0.606278	-80.5387
350	0.606278	-79.174
360	0.606278	-80.7067
370	0.606278	-79.1275
380	0.606278	-78.2216
390	0.606278	-86.366
400	0.606278	-79.8151
410	0.606278	-80.7774
420	0.606278	-85.6847
430	0.606278	-83.7699
440	0.606278	-89.7741
450	0.606278	-85.327
460	0.606278	-88.5735
470	0.606278	-84.6783
480	0.606278	-76.487
490	0.606278	-95.7404
500	0.606278	-89.5861
510	0.606278	-86.3431
520	0.606278	-88.0143
530	0.606278	-82.5877
540	0.606278	-79.1731
550	0.606278	-83.884
560	0.606278	-79.35
570	0.606278	-86.8885
580	0.606278	-87.9814
590	0.606278	-86.1346
600	0.606278	-80.6635
610	0.606278	-84.1091
620	0.606278	-79.7018
630	0.606278	-84.4245
640	0.606278	-85.8172
650	0.606278	-84.216
660	0.606278	-85.3951
670	0.606278	-77.163
680	0.606278	-86.5155
690	0.606278	-78.125
700	0.606278	-81.8676
710	0.606278	-78.0763
720	0.606278	-79.5568
730	0.606278	-85.759
740	0.606278	-87.938
750	0.606278	-83.2335
760	0.606278	-83.5604
770	0.606278	-82.5615
780	0.606278	-85.3349
790	0.606278	-82.8728
800	0.606278	-80.4109
810	0.606278	-86.8148
820	0.606278	-81.0152
830	0.606278	-77.1227
840	0.606278	-83.3145
850	0.606278	-82.1665
860	0.606278	-86.9444
870	0.606278	-85.7517
880	0.606278	-83.3624
890	0.606278	-85.0775
900	0.606278	-88.2697
910	0.606278	-79.3529
920	0.606278	-83.3437
930	0.606278	-88.153
940	0.606278	-77.7125
950	0.606278	-88.7014
960	0.606278	-85.58
970	0.606278	-81.3306
