Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rf[1]	rf[2]
0	-98.81796	-107.6805	8.862584	0.00221509	0.00475085	0.484315	0.515685
1	-99.04251	-107.9051	8.862584	0.00221509	0.00475085	0.386026	0.613974
2	-98.53467	-107.3973	8.862584	0.00221509	0.00475085	0.644356	0.355644
3	-93.75437	-102.5174	8.763051	0.00329815	0.00441033	0.915034	0.0849662
4	-90.47476	-99.0661	8.591339	0.00442082	0.00456869	0.95978	0.0402201
5	-87.26704	-94.92119	7.654152	0.00442082	0.0115604	0.859212	0.140788
6	-85.22789	-92.55205	7.324159	0.00531096	0.0131321	0.859212	0.140788
7	-82.79165	-89.83719	7.045539	0.00738955	0.0131321	0.969269	0.0307313
8	-83.89338	-91.40719	7.513815	0.00738955	0.00963862	0.852736	0.147264
9	-81.01134	-87.33783	6.32649	0.00955582	0.0163302	0.922653	0.0773468
10	-80.26802	-85.05051	4.782484	0.0153353	0.0220695	0.715631	0.284369
11	-80.98092	-85.67746	4.696538	0.0159764	0.0220695	0.242333	0.757667
12	-81.62899	-87.89578	6.266798	0.0105255	0.0158058	0.34964	0.65036
13	-83.59677	-90.56376	6.966988	0.0113201	0.00978752	0.190172	0.809828
14	-83.74277	-90.85337	7.110601	0.0113201	0.00871612	0.253426	0.746574
15	-81.93316	-88.29721	6.36405	0.0113201	0.0142856	0.306886	0.693114
16	-81.2262	-86.83267	5.606479	0.0113201	0.0199373	0.120825	0.879175
17	-80.83392	-86.28325	5.449329	0.0113201	0.0211097	0.196747	0.803253
18	-79.2816	-83.31228	4.03068	0.0120809	0.0309325	0.423431	0.576569
19	-80.3775	-83.50998	3.132475	0.0187818	0.0309325	0.673025	0.326975
20	-79.16023	-83.39334	4.233108	0.0131853	0.0283179	0.93212	0.0678796
21	-78.4611	-80.77352	2.312423	0.0131853	0.0426468	0.888797	0.111203
22	-79.84348	-76.60018	-3.243303	0.0121012	0.0851784	0.634773	0.365227
23	-78.99448	-80.64653	1.652042	0.00889504	0.0518638	0.51928	0.48072
24	-79.05162	-82.00679	2.955173	0.00889504	0.042142	0.850211	0.149789
25	-79.02748	-81.17908	2.151603	0.00879013	0.0482418	0.645796	0.354204
26	-79.0785	-81.2301	2.151603	0.00879013	0.0482418	0.404583	0.595417
27	-78.4742	-78.90942	0.4352131	0.0128593	0.0569774	0.463999	0.536001
28	-78.47986	-80.28192	1.802056	0.0128593	0.0467803	0.481775	0.518225
29	-78.54482	-80.55164	2.006823	0.0113317	0.0467803	0.399677	0.600323
30	-78.79652	-81.17141	2.374886	0.0102038	0.0451624	0.220246	0.779754
31	-78.6709	-80.81709	2.146195	0.0102038	0.0468685	0.530011	0.469989
32	-79.14276	-77.10125	-2.041505	0.0131836	0.0751302	0.704375	0.295625
33	-79.34151	-77.66022	-1.681294	0.0104963	0.0751302	0.910847	0.0891526
34	-79.02558	-78.10231	-0.923276	0.0104963	0.0694751	0.964826	0.0351741
35	-79.55534	-77.21011	-2.345235	0.0110027	0.079577	0.205062	0.794938
36	-78.5747	-79.32631	0.7516092	0.0147711	0.0527052	0.618414	0.381586
37	-78.51021	-79.4274	0.9171939	0.0135358	0.0527052	0.251169	0.748831
38	-78.60955	-78.41423	-0.1953169	0.0135358	0.0610049	0.173198	0.826802
39	-78.46423	-79.58696	1.122729	0.0135358	0.0511719	0.509883	0.490117
40	-78.66219	-80.6664	2.004214	0.0104109	0.0477206	0.355901	0.644099
41	-79.45218	-82.76366	3.311481	0.0156512	0.0327277	0.486209	0.513791
42	-78.99814	-82.61162	3.613477	0.0124274	0.0336985	0.519838	0.480162
43	-80.01165	-81.62475	1.613102	0.00695964	0.0540897	0.0584826	0.941517
44	-81.13926	-85.34289	4.203633	0.00657188	0.0351513	0.0830258	0.916974
45	-79.69582	-83.37711	3.681291	0.014154	0.031466	0.0184959	0.981504
46	-79.19213	-82.51935	3.327218	0.0105513	0.0377102	0.0184518	0.981548
47	-79.13334	-82.34813	3.214784	0.0105513	0.038549	0.0184518	0.981548
48	-78.76658	-81.21634	2.449765	0.0105513	0.0442562	0.205481	0.794519
49	-78.4293	-79.77505	1.345755	0.0122719	0.0507719	0.506524	0.493476
50	-78.56808	-79.62876	1.060687	0.0143986	0.0507719	0.418206	0.581794
51	-78.79416	-81.45809	2.663925	0.0143986	0.0388113	0.643843	0.356157
52	-79.33632	-80.64309	1.306775	0.0174626	0.045872	0.16159	0.83841
53	-79.92072	-76.7684	-3.152325	0.0174626	0.0791382	0.107915	0.892085
54	-78.71272	-82.02064	3.307918	0.011943	0.0364624	0.772668	0.227332
55	-79.23684	-82.49951	3.262678	0.0145741	0.0341688	0.353072	0.646928
56	-78.72604	-81.26073	2.534689	0.0145741	0.0395998	0.798246	0.201754
57	-79.25508	-82.9249	3.669814	0.0145741	0.0311315	0.677511	0.322489
58	-81.40485	-81.54223	0.1373835	0.0235216	0.048537	0.456821	0.543179
59	-80.59173	-81.11083	0.5190927	0.0217042	0.0475067	0.795454	0.204546
60	-80.50946	-79.70438	-0.8050771	0.0217042	0.0573855	0.575826	0.424174
61	-80.59678	-80.66279	0.06601745	0.0217042	0.0508868	0.37414	0.62586
62	-79.90876	-78.459	-1.449766	0.0196491	0.0642502	0.173935	0.826065
63	-80.37658	-77.14746	-3.229121	0.0196491	0.0775247	0.200965	0.799035
64	-79.92827	-78.38236	-1.545914	0.0196491	0.0649675	0.116504	0.883496
65	-79.87905	-78.33314	-1.545914	0.0196491	0.0649675	0.790711	0.209289
66	-80.97707	-77.11511	-3.86196	0.0211011	0.0807939	0.211906	0.788094
67	-79.41738	-76.74182	-2.675562	0.0137419	0.0793021	0.584349	0.415651
68	-79.50924	-77.78793	-1.721317	0.0179946	0.0679305	0.680103	0.319897
69	-80.06764	-76.58569	-3.481947	0.0176068	0.0814531	0.918123	0.0818771
70	-79.60411	-76.90877	-2.695341	0.0117385	0.0814531	0.0230534	0.976947
71	-78.62813	-78.62285	-0.005279008	0.0140428	0.0590801	0.0302258	0.969774
72	-78.57205	-79.67242	1.100372	0.0140428	0.0508316	0.20763	0.79237
73	-79.25644	-81.11365	1.857207	0.00839656	0.0508316	0.124477	0.875523
74	-78.76804	-81.57214	2.804104	0.0125856	0.0395785	0.312474	0.687526
75	-78.43179	-79.24639	0.8146007	0.0125856	0.0544208	0.534932	0.465068
76	-79.75713	-78.0585	-1.698632	0.0189535	0.0668023	0.266142	0.733858
77	-80.61872	-80.0433	-0.5754289	0.0220906	0.0552858	0.939389	0.060611
78	-78.69468	-78.09091	-0.6037686	0.0146497	0.0629381	0.903186	0.0968136
79	-78.90189	-78.11567	-0.7862266	0.0160109	0.0629381	0.901506	0.0984943
