state	power	likelihood
260	0.000541923	-88.6561
270	0.000541923	-102.485
280	0.000541923	-98.8983
290	0.000541923	-107.968
300	0.000541923	-97.342
310	0.000541923	-106.866
320	0.000541923	-99.4585
330	0.000541923	-101.619
340	0.000541923	-100.607
350	0.000541923	-96.6808
360	0.000541923	-94.5645
370	0.000541923	-106.737
380	0.000541923	-94.2981
390	0.000541923	-105.178
400	0.000541923	-97.09
410	0.000541923	-99.253
420	0.000541923	-94.832
430	0.000541923	-109.81
440	0.000541923	-108.525
450	0.000541923	-95.7172
460	0.000541923	-99.0859
470	0.000541923	-120.312
480	0.000541923	-92.6829
490	0.000541923	-120.272
500	0.000541923	-112.394
510	0.000541923	-92.4841
520	0.000541923	-94.8518
530	0.000541923	-87.3328
540	0.000541923	-104.938
550	0.000541923	-122.657
560	0.000541923	-92.7149
570	0.000541923	-93.3268
580	0.000541923	-99.0264
590	0.000541923	-85.1404
600	0.000541923	-95.7476
610	0.000541923	-102.057
620	0.000541923	-96.655
630	0.000541923	-98.3823
640	0.000541923	-103.085
650	0.000541923	-92.9102
660	0.000541923	-93.373
670	0.000541923	-102.619
680	0.000541923	-96.8966
690	0.000541923	-107.366
700	0.000541923	-100.839
710	0.000541923	-111.538
720	0.000541923	-97.3459
730	0.000541923	-95.2663
740	0.000541923	-123.365
750	0.000541923	-107.595
760	0.000541923	-94.6615
770	0.000541923	-111.348
780	0.000541923	-90.2168
790	0.000541923	-83.2127
800	0.000541923	-115.94
810	0.000541923	-94.4327
820	0.000541923	-137.915
830	0.000541923	-98.9375
840	0.000541923	-98.1424
850	0.000541923	-145.705
860	0.000541923	-88.0994
870	0.000541923	-107.525
880	0.000541923	-99.8722
890	0.000541923	-128.508
900	0.000541923	-92.0799
910	0.000541923	-91.6069
920	0.000541923	-115.981
930	0.000541923	-103.38
940	0.000541923	-96.3459
950	0.000541923	-91.5911
960	0.000541923	-87.6263
970	0.000541923	-89.6131
980	0.000541923	-103.906
990	0.000541923	-128.174
1000	0.000541923	-88.3838
