Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate_gain[1]	rate_gain[2]	rate_gain_median	rate_gain_sd	rate_loss[1]	rate_loss[2]	rate_loss_median	rate_loss_sd	rf[1]	rf[2]	rf[3]	rf[4]	switch_fast_slow	switch_slow_fast
0	0	-71.54499	-87.91669	16.3717	0.00697194	0.0208309	0.01205123	0.8113878	0.0121679	0.0143827	0.01322904	0.1239592	0.078019	0.565407	0.230192	0.126382	0.007217971	0.0009570347
1	1	-85.41859	-100.8085	15.3899	0.000999686	0.00160853	0.001268081	0.3525908	0.00718396	0.0269703	0.01391954	0.9806562	0.402558	0.30236	0.285084	0.00999914	0.005302087	0.0152366
2	0	-70.42337	-85.71258	15.28921	0.00756004	0.015625	0.01086857	0.5381829	0.0190961	0.025291	0.02197633	0.2082811	0.0857026	0.621091	0.124022	0.169185	0.01045273	0.0006322547
3	1	-82.3783	-95.53566	13.15736	0.00139016	0.00198811	0.00166247	0.2652113	0.0139333	0.0362316	0.02246829	0.7084258	0.486591	0.0508459	0.437184	0.0253791	0.006854215	0.02596398
4	0	-69.85226	-83.67698	13.82473	0.00756004	0.015625	0.01086857	0.5381829	0.0205681	0.0336446	0.02630599	0.3648048	0.344758	0.0296344	0.264623	0.360985	0.01496867	0.0007242417
5	1	-79.66031	-91.66002	11.99971	0.00163869	0.00211537	0.001861833	0.1892778	0.0199385	0.0512751	0.03197423	0.7001965	0.285105	0.0708003	0.608756	0.0353391	0.006854215	0.02596398
6	0	-69.36292	-81.24554	11.88262	0.00938447	0.0244296	0.01514129	0.7092325	0.0256847	0.0448469	0.03393934	0.4131722	0.493195	0.0423936	0.378558	0.085854	0.01293758	0.002551311
7	1	-81.60084	-91.6937	10.09286	0.0015161	0.00248969	0.001942837	0.3676989	0.0203001	0.0522049	0.032554	0.7001965	0.350672	0.117502	0.482958	0.0488676	0.01912396	0.02499318
8	0	-70.71742	-80.63708	9.919653	0.00526328	0.0515948	0.01647901	1.692144	0.0252293	0.0479121	0.03476766	0.4754423	0.37338	0.0320946	0.529529	0.0649969	0.01293758	0.001755299
9	1	-79.4451	-87.00654	7.561441	0.00132935	0.00283945	0.001942837	0.5625916	0.0355262	0.0746883	0.05151111	0.550826	0.35141	0.117749	0.483974	0.0468676	0.0129893	0.03047772
10	0	-70.65803	-77.92907	7.271045	0.00670022	0.0454613	0.01745282	1.419386	0.0434118	0.0766873	0.05769866	0.4218043	0.651018	0.0559596	0.162377	0.130646	0.01293758	0.001755299
11	1	-76.44904	-84.4999	8.050864	0.00106988	0.00352806	0.001942837	0.88452	0.034805	0.0860264	0.05471881	0.6707986	0.390814	0.130952	0.415988	0.0622457	0.008298122	0.02269761
12	0	-70.4025	-79.85227	9.449776	0.00670022	0.0454613	0.01745282	1.419386	0.0349961	0.0512872	0.04236566	0.2833285	0.651018	0.0559596	0.162377	0.130646	0.01422361	0.00130697
13	1	-71.17895	-80.65442	9.475463	0.00146673	0.00955673	0.003743949	1.389353	0.0245109	0.0551425	0.03676398	0.6010495	0.175191	0.0587022	0.738204	0.027903	0.008298122	0.02269761
14	0	-70.58306	-77.58775	7.00469	0.00422106	0.0510091	0.01467353	1.847262	0.046716	0.0754485	0.05936879	0.355353	0.419284	0.131341	0.142741	0.306635	0.01033805	0.002860819
15	1	-70.2233	-79.09173	8.868426	0.00146673	0.00955673	0.003743949	1.389353	0.0250447	0.0776846	0.04410879	0.8391495	0.134311	0.0556985	0.565949	0.244042	0.01000049	0.01515514
16	0	-68.47164	-78.47781	10.00617	0.00424703	0.0252926	0.01036429	1.322699	0.0367029	0.0616117	0.04755339	0.3839918	0.445548	0.104899	0.204652	0.244901	0.009769928	0.003460075
17	1	-69.70245	-77.41131	7.708863	0.00234275	0.0192567	0.006716666	1.561577	0.0239507	0.0742912	0.04218206	0.8391495	0.134311	0.0556985	0.565949	0.244042	0.01616038	0.01441264
18	0	-68.01428	-79.52467	11.5104	0.00553583	0.0260772	0.01201495	1.148882	0.0226737	0.0599194	0.03685911	0.7203917	0.513589	0.120918	0.235905	0.129588	0.006604371	0.00238237
19	1	-70.30349	-78.08492	7.781434	0.0027493	0.0202116	0.007454389	1.478829	0.0290084	0.0613384	0.04218206	0.5551025	0.138966	0.382601	0.225934	0.252499	0.01141776	0.02253459
20	0	-67.80999	-78.63849	10.8285	0.00430484	0.0154705	0.008160752	0.9482683	0.0353571	0.0646307	0.04780331	0.4471457	0.451838	0.10638	0.144546	0.297236	0.007095339	0.005906816
21	1	-70.77809	-78.8412	8.063109	0.00318396	0.0456643	0.01205792	1.974225	0.0265838	0.0525202	0.03736556	0.5047497	0.128956	0.355044	0.281688	0.234312	0.01141776	0.01499392
22	0	-67.14649	-78.21482	11.06833	0.00644293	0.0231542	0.01221396	0.9482683	0.0216183	0.071479	0.03930973	0.8864941	0.457856	0.0944778	0.146471	0.301195	0.004166554	0.005906816
23	1	-73.20927	-76.65282	3.443547	0.00330283	0.0546895	0.01343987	2.080752	0.0506522	0.100071	0.07119564	0.5047497	0.181571	0.0854085	0.400161	0.33286	0.008684278	0.0156258
24	0	-66.56018	-76.6911	10.13092	0.00440486	0.0139948	0.007851442	0.8569289	0.0325411	0.0909342	0.05439761	0.761785	0.382434	0.0107483	0.173649	0.433168	0.003178466	0.005906816
25	1	-70.37254	-75.462	5.08946	0.00572907	0.0229849	0.01147528	1.029877	0.0528094	0.104333	0.07422778	0.5047497	0.517203	0.0692196	0.324312	0.0892654	0.008684278	0.0156258
26	0	-66.45176	-78.153	11.70124	0.00446451	0.0189418	0.009195973	1.071337	0.0200488	0.0664179	0.03649113	0.8879266	0.326675	0.0191095	0.282551	0.371664	0.003178466	0.006428609
27	1	-69.95797	-76.36094	6.402971	0.00456277	0.0137475	0.007920026	0.8176017	0.0491811	0.104782	0.07178635	0.5606975	0.783568	0.104868	0.0788116	0.0327517	0.006040291	0.01645273
28	0	-66.93305	-77.79796	10.86491	0.00481127	0.020413	0.009910219	1.071337	0.0252641	0.0708118	0.04229649	0.764017	0.384382	0.114107	0.332464	0.169047	0.003504298	0.007396165
29	1	-68.48584	-76.39585	7.910013	0.00624638	0.0157174	0.009908434	0.6840494	0.0416959	0.0935326	0.06244941	0.5989026	0.783568	0.104868	0.0788116	0.0327517	0.003356773	0.01645273
30	0	-70.74111	-81.86545	11.12434	0.00144512	0.00636555	0.003032979	1.099135	0.0350885	0.0666922	0.04837489	0.4760735	0.355021	0.105391	0.307068	0.23252	0.004590459	0.008477347
31	1	-68.59974	-79.14881	10.54907	0.0129021	0.020625	0.01631272	0.3477556	0.0364619	0.0626307	0.04778742	0.4010345	0.755118	0.137369	0.0759501	0.0315625	0.003030436	0.01213266
32	0	-68.90721	-79.09877	10.19156	0.0008277	0.0113243	0.003061562	1.939287	0.0337936	0.0612562	0.04549804	0.4409208	0.070951	0.0766087	0.683421	0.16902	0.004590459	0.008060599
33	1	-66.98914	-77.52845	10.53931	0.00963102	0.0128871	0.01114071	0.2158928	0.0259812	0.0878959	0.04778742	0.9034843	0.595664	0.0820611	0.28526	0.0370151	0.003568662	0.01213266
34	0	-67.84224	-77.54723	9.704988	0.00151842	0.0190622	0.005380002	1.875522	0.032382	0.0690606	0.04728974	0.5614474	0.070951	0.0766087	0.683421	0.16902	0.004459012	0.006990976
35	1	-67.47355	-76.77752	9.303969	0.0104815	0.0212751	0.01493304	0.5247839	0.0280214	0.0947983	0.0515401	0.9034843	0.2134	0.373018	0.324112	0.0894706	0.001912657	0.01153662
36	0	-68.72057	-75.52426	6.803694	0.00221869	0.0278535	0.007861196	1.875522	0.0281992	0.113268	0.05651613	1.030753	0.070951	0.0766087	0.683421	0.16902	0.007660698	0.007765872
37	1	-67.60517	-76.04345	8.438282	0.004907	0.014774	0.008514454	0.8170671	0.0314765	0.106487	0.05789512	0.9034843	0.149941	0.545622	0.238578	0.0658591	0.001912657	0.01434635
38	0	-68.59396	-78.3233	9.729345	0.00187661	0.0280173	0.007251031	2.004001	0.015804	0.0652256	0.03210644	1.050862	0.0713858	0.068182	0.492721	0.367711	0.006837475	0.009895547
39	1	-66.34576	-76.35768	10.01192	0.00945338	0.0196677	0.01363549	0.543082	0.017983	0.0967457	0.04171067	1.247356	0.275095	0.166358	0.437716	0.120831	0.001741032	0.01295395
40	0	-68.20806	-75.68223	7.474167	0.000840309	0.0276247	0.00481802	2.58914	0.00994293	0.103674	0.03210644	1.737899	0.347581	0.0125289	0.403488	0.236402	0.006837475	0.01299566
41	1	-68.91118	-76.79983	7.888652	0.0080763	0.0230212	0.01363549	0.7765002	0.026377	0.089172	0.04849836	0.9029604	0.222948	0.134823	0.0184475	0.623781	0.004181266	0.02097574
42	0	-67.74286	-74.86672	7.123867	0.000697539	0.0229313	0.003999432	2.58914	0.00339586	0.136807	0.02155411	2.739861	0.347581	0.0125289	0.403488	0.236402	0.005429142	0.01566291
43	1	-70.30967	-75.55424	5.244569	0.00849563	0.021885	0.01363549	0.7014549	0.0166006	0.196778	0.05715435	1.83297	0.250982	0.099838	0.0418245	0.607355	0.003209743	0.02215853
44	0	-69.51938	-76.07596	6.556579	0.000575386	0.0277995	0.003999432	2.874568	0.00241942	0.0974701	0.01535648	2.739861	0.230065	0.017492	0.474459	0.277984	0.01406381	0.01383295
45	1	-70.81741	-76.52572	5.70831	0.0147732	0.0293057	0.02080722	0.5077664	0.0248028	0.131704	0.05715435	1.237675	0.258292	0.31458	0.0430427	0.384086	0.002186562	0.02257077
46	0	-70.20203	-76.3008	6.098776	0.000653227	0.0339277	0.004707706	2.928187	0.00654708	0.089835	0.02425195	1.941434	0.213643	0.0876232	0.440592	0.258142	0.01305901	0.01810874
47	1	-69.36268	-75.33353	5.970857	0.0164594	0.0231946	0.01953893	0.2542838	0.0180263	0.181214	0.05715435	1.710808	0.156288	0.241643	0.307035	0.295034	0.0009990604	0.02027823
48	0	-72.3207	-77.06745	4.746745	0.00102076	0.0530167	0.007356434	2.928187	0.00912121	0.0907693	0.02877369	1.703301	0.348914	0.141465	0.0880329	0.421588	0.01362873	0.02347952
49	1	-65.16034	-77.7879	12.62756	0.00787037	0.0101202	0.008924663	0.1863837	0.00565527	0.085553	0.02199603	2.013781	0.173063	0.267581	0.232652	0.326703	0.0009990604	0.01340423
50	0	-68.46489	-77.87833	9.413444	0.0012001	0.0265896	0.005648908	2.296639	0.00939571	0.0653774	0.02478441	1.438067	0.366882	0.0972537	0.0925663	0.443298	0.00884629	0.0105333
51	1	-65.44742	-78.84718	13.39976	0.0100502	0.0119768	0.0109713	0.1300101	0.00587213	0.0665884	0.01977411	1.800111	0.199815	0.308943	0.268614	0.222628	0.0011935	0.01105392
52	0	-67.93223	-76.241	8.308771	0.00206016	0.0315212	0.008058444	2.022178	0.00612045	0.100363	0.02478441	2.073537	0.128998	0.032931	0.720625	0.117446	0.009766874	0.0108594
53	1	-65.03575	-75.95818	10.92244	0.0131107	0.0151605	0.0140984	0.107686	0.0062113	0.127173	0.02810533	2.238121	0.255894	0.395649	0.0633484	0.285109	0.0011935	0.01279777
54	0	-70.60895	-76.10092	5.491966	0.0022252	0.0432499	0.009810185	2.19955	0.00580669	0.204132	0.03442864	2.63885	0.326134	0.12599	0.182221	0.365656	0.009952704	0.0108594
55	1	-66.83323	-78.93129	12.09807	0.0128126	0.0155132	0.0140984	0.141783	0.00378729	0.0663468	0.01585164	2.122527	0.400359	0.318835	0.0510496	0.229756	0.001444376	0.01706506
56	0	-67.52777	-76.88753	9.359761	0.00349066	0.0275706	0.009810185	1.532016	0.00382543	0.107611	0.02028937	2.473612	0.350245	0.402399	0.0395856	0.20777	0.009952704	0.006720308
57	1	-65.78972	-77.39969	11.60997	0.0111417	0.0144211	0.01267578	0.1912579	0.00490205	0.0858755	0.02051745	2.122527	0.68065	0.0988883	0.0867892	0.133673	0.001214191	0.01706506
58	0	-68.02226	-77.89875	9.876491	0.00441159	0.0348444	0.01239836	1.532016	0.0112449	0.0761609	0.02926463	1.418061	0.344035	0.375193	0.0391418	0.24163	0.007001406	0.007659164
59	1	-66.50168	-79.50967	13.00799	0.0107187	0.0146141	0.01251576	0.2297988	0.00693259	0.0607227	0.02051745	1.608685	0.66395	0.104059	0.0913277	0.140663	0.001214191	0.01283198
60	0	-68.90468	-78.61289	9.708212	0.0027582	0.0580196	0.01265027	2.258154	0.00500249	0.068705	0.01853904	1.942125	0.427815	0.0936504	0.178062	0.300472	0.005198448	0.005313088
61	1	-65.13743	-76.61566	11.47823	0.0112922	0.0180028	0.01425803	0.3457527	0.00425761	0.0988738	0.02051745	2.331493	0.623841	0.0364908	0.0858107	0.253857	0.001214191	0.01184952
62	0	-66.17956	-77.1505	10.97094	0.00282733	0.0219196	0.00787236	1.518219	0.00493124	0.08405	0.02035854	2.102198	0.475328	0.104051	0.197838	0.222783	0.004894219	0.006519903
63	1	-63.97802	-75.27614	11.29813	0.0125334	0.0176639	0.01487917	0.2543574	0.00495594	0.115091	0.02388273	2.331493	0.110787	0.054972	0.359231	0.475011	0.0007859769	0.01079568
64	0	-67.25214	-78.86158	11.60944	0.00282733	0.0219196	0.00787236	1.518219	0.00422963	0.0559522	0.01538366	1.914324	0.50832	0.111273	0.142161	0.238246	0.003665542	0.01034615
