Iteration	Posterior	Likelihood	Prior	rate_gain[1]	rate_gain[2]	rate_gain_median	rate_gain_sd	rate_loss[1]	rate_loss[2]	rate_loss_median	rate_loss_sd	rf[1]	rf[2]	rf[3]	rf[4]	switch_fast_slow	switch_slow_fast
0	-71.54499	-87.91669	16.3717	0.00697194	0.0208309	0.01205123	0.8113878	0.0121679	0.0143827	0.01322904	0.1239592	0.078019	0.565407	0.230192	0.126382	0.007217971	0.0009570347
1	-70.42337	-85.71258	15.28921	0.00756004	0.015625	0.01086857	0.5381829	0.0190961	0.025291	0.02197633	0.2082811	0.0857026	0.621091	0.124022	0.169185	0.01045273	0.0006322547
2	-69.85226	-83.67698	13.82473	0.00756004	0.015625	0.01086857	0.5381829	0.0205681	0.0336446	0.02630599	0.3648048	0.344758	0.0296344	0.264623	0.360985	0.01496867	0.0007242417
3	-69.36292	-81.24554	11.88262	0.00938447	0.0244296	0.01514129	0.7092325	0.0256847	0.0448469	0.03393934	0.4131722	0.493195	0.0423936	0.378558	0.085854	0.01293758	0.002551311
4	-70.71742	-80.63708	9.919653	0.00526328	0.0515948	0.01647901	1.692144	0.0252293	0.0479121	0.03476766	0.4754423	0.37338	0.0320946	0.529529	0.0649969	0.01293758	0.001755299
5	-70.65803	-77.92907	7.271045	0.00670022	0.0454613	0.01745282	1.419386	0.0434118	0.0766873	0.05769866	0.4218043	0.651018	0.0559596	0.162377	0.130646	0.01293758	0.001755299
6	-70.4025	-79.85227	9.449776	0.00670022	0.0454613	0.01745282	1.419386	0.0349961	0.0512872	0.04236566	0.2833285	0.651018	0.0559596	0.162377	0.130646	0.01422361	0.00130697
7	-70.58306	-77.58775	7.00469	0.00422106	0.0510091	0.01467353	1.847262	0.046716	0.0754485	0.05936879	0.355353	0.419284	0.131341	0.142741	0.306635	0.01033805	0.002860819
8	-68.47164	-78.47781	10.00617	0.00424703	0.0252926	0.01036429	1.322699	0.0367029	0.0616117	0.04755339	0.3839918	0.445548	0.104899	0.204652	0.244901	0.009769928	0.003460075
9	-68.01428	-79.52467	11.5104	0.00553583	0.0260772	0.01201495	1.148882	0.0226737	0.0599194	0.03685911	0.7203917	0.513589	0.120918	0.235905	0.129588	0.006604371	0.00238237
10	-67.80999	-78.63849	10.8285	0.00430484	0.0154705	0.008160752	0.9482683	0.0353571	0.0646307	0.04780331	0.4471457	0.451838	0.10638	0.144546	0.297236	0.007095339	0.005906816
11	-67.14649	-78.21482	11.06833	0.00644293	0.0231542	0.01221396	0.9482683	0.0216183	0.071479	0.03930973	0.8864941	0.457856	0.0944778	0.146471	0.301195	0.004166554	0.005906816
12	-66.56018	-76.6911	10.13092	0.00440486	0.0139948	0.007851442	0.8569289	0.0325411	0.0909342	0.05439761	0.761785	0.382434	0.0107483	0.173649	0.433168	0.003178466	0.005906816
13	-66.45176	-78.153	11.70124	0.00446451	0.0189418	0.009195973	1.071337	0.0200488	0.0664179	0.03649113	0.8879266	0.326675	0.0191095	0.282551	0.371664	0.003178466	0.006428609
14	-66.93305	-77.79796	10.86491	0.00481127	0.020413	0.009910219	1.071337	0.0252641	0.0708118	0.04229649	0.764017	0.384382	0.114107	0.332464	0.169047	0.003504298	0.007396165
15	-70.74111	-81.86545	11.12434	0.00144512	0.00636555	0.003032979	1.099135	0.0350885	0.0666922	0.04837489	0.4760735	0.355021	0.105391	0.307068	0.23252	0.004590459	0.008477347
16	-68.90721	-79.09877	10.19156	0.0008277	0.0113243	0.003061562	1.939287	0.0337936	0.0612562	0.04549804	0.4409208	0.070951	0.0766087	0.683421	0.16902	0.004590459	0.008060599
17	-67.84224	-77.54723	9.704988	0.00151842	0.0190622	0.005380002	1.875522	0.032382	0.0690606	0.04728974	0.5614474	0.070951	0.0766087	0.683421	0.16902	0.004459012	0.006990976
18	-68.72057	-75.52426	6.803694	0.00221869	0.0278535	0.007861196	1.875522	0.0281992	0.113268	0.05651613	1.030753	0.070951	0.0766087	0.683421	0.16902	0.007660698	0.007765872
19	-68.59396	-78.3233	9.729345	0.00187661	0.0280173	0.007251031	2.004001	0.015804	0.0652256	0.03210644	1.050862	0.0713858	0.068182	0.492721	0.367711	0.006837475	0.009895547
20	-68.20806	-75.68223	7.474167	0.000840309	0.0276247	0.00481802	2.58914	0.00994293	0.103674	0.03210644	1.737899	0.347581	0.0125289	0.403488	0.236402	0.006837475	0.01299566
21	-67.74286	-74.86672	7.123867	0.000697539	0.0229313	0.003999432	2.58914	0.00339586	0.136807	0.02155411	2.739861	0.347581	0.0125289	0.403488	0.236402	0.005429142	0.01566291
22	-69.51938	-76.07596	6.556579	0.000575386	0.0277995	0.003999432	2.874568	0.00241942	0.0974701	0.01535648	2.739861	0.230065	0.017492	0.474459	0.277984	0.01406381	0.01383295
23	-70.20203	-76.3008	6.098776	0.000653227	0.0339277	0.004707706	2.928187	0.00654708	0.089835	0.02425195	1.941434	0.213643	0.0876232	0.440592	0.258142	0.01305901	0.01810874
24	-72.3207	-77.06745	4.746745	0.00102076	0.0530167	0.007356434	2.928187	0.00912121	0.0907693	0.02877369	1.703301	0.348914	0.141465	0.0880329	0.421588	0.01362873	0.02347952
25	-68.46489	-77.87833	9.413444	0.0012001	0.0265896	0.005648908	2.296639	0.00939571	0.0653774	0.02478441	1.438067	0.366882	0.0972537	0.0925663	0.443298	0.00884629	0.0105333
26	-67.93223	-76.241	8.308771	0.00206016	0.0315212	0.008058444	2.022178	0.00612045	0.100363	0.02478441	2.073537	0.128998	0.032931	0.720625	0.117446	0.009766874	0.0108594
27	-70.60895	-76.10092	5.491966	0.0022252	0.0432499	0.009810185	2.19955	0.00580669	0.204132	0.03442864	2.63885	0.326134	0.12599	0.182221	0.365656	0.009952704	0.0108594
28	-67.52777	-76.88753	9.359761	0.00349066	0.0275706	0.009810185	1.532016	0.00382543	0.107611	0.02028937	2.473612	0.350245	0.402399	0.0395856	0.20777	0.009952704	0.006720308
29	-68.02226	-77.89875	9.876491	0.00441159	0.0348444	0.01239836	1.532016	0.0112449	0.0761609	0.02926463	1.418061	0.344035	0.375193	0.0391418	0.24163	0.007001406	0.007659164
30	-68.90468	-78.61289	9.708212	0.0027582	0.0580196	0.01265027	2.258154	0.00500249	0.068705	0.01853904	1.942125	0.427815	0.0936504	0.178062	0.300472	0.005198448	0.005313088
31	-66.17956	-77.1505	10.97094	0.00282733	0.0219196	0.00787236	1.518219	0.00493124	0.08405	0.02035854	2.102198	0.475328	0.104051	0.197838	0.222783	0.004894219	0.006519903
32	-67.25214	-78.86158	11.60944	0.00282733	0.0219196	0.00787236	1.518219	0.00422963	0.0559522	0.01538366	1.914324	0.50832	0.111273	0.142161	0.238246	0.003665542	0.01034615
33	-66.55204	-77.87008	11.31805	0.00349443	0.0163496	0.007558611	1.143852	0.00366859	0.0710357	0.01614313	2.196753	0.323493	0.149365	0.190828	0.336314	0.004099177	0.0128083
34	-66.47387	-76.50712	10.03326	0.00476792	0.0119827	0.007558611	0.6831495	0.00330792	0.15357	0.02253883	2.844993	0.300096	0.0529609	0.234196	0.412746	0.004906622	0.0128083
35	-67.07637	-76.27469	9.198321	0.00466854	0.0117329	0.007401057	0.6831495	0.00489399	0.129594	0.02518398	2.4288	0.332103	0.0369503	0.374159	0.256787	0.004906622	0.02183542
36	-69.52513	-75.41372	5.888589	0.00594511	0.0149412	0.009424819	0.6831495	0.00521542	0.138106	0.02683804	2.4288	0.454455	0.0506729	0.14348	0.351391	0.006097475	0.04165836
37	-68.29773	-75.42842	7.130688	0.00757429	0.0190357	0.01200756	0.6831495	0.00750451	0.123231	0.03041029	2.074571	0.428365	0.0477638	0.0918909	0.431981	0.005452521	0.03138075
38	-68.692	-75.45174	6.75974	0.00598638	0.0240849	0.01200756	1.031964	0.00750451	0.123231	0.03041029	2.074571	0.375606	0.0856912	0.156861	0.381842	0.0037898	0.03138075
39	-70.06997	-75.22845	5.158479	0.00679153	0.0179743	0.01104867	0.7214851	0.00750451	0.123231	0.03041029	2.074571	0.450367	0.102747	0.188082	0.258804	0.005233656	0.0467849
40	-70.38963	-76.52136	6.131734	0.00679153	0.0179743	0.01104867	0.7214851	0.00550323	0.090368	0.02230059	2.074571	0.4091	0.202093	0.163638	0.225169	0.006082581	0.0467849
41	-69.96486	-76.16044	6.19558	0.00664515	0.0183703	0.01104867	0.7537897	0.00206858	0.102374	0.01455225	2.892384	0.4091	0.202093	0.163638	0.225169	0.007744907	0.04159773
42	-73.27253	-75.31357	2.041044	0.00724061	0.015929	0.01073946	0.5844699	0.00130772	0.161936	0.01455225	3.572267	0.4091	0.202093	0.163638	0.225169	0.007855854	0.06630573
43	-71.70935	-77.84008	6.130734	0.00462164	0.0101674	0.006854927	0.5844699	0.00422719	0.0932123	0.01985009	2.293099	0.229985	0.46788	0.0919928	0.210142	0.009487355	0.0489966
44	-69.47076	-76.05554	6.584787	0.00510792	0.0154995	0.008897753	0.8228531	0.00565629	0.124725	0.02656088	2.293099	0.318978	0.261976	0.127589	0.291456	0.01087451	0.03244088
45	-71.56926	-78.76222	7.192959	0.00544514	0.0145396	0.008897753	0.7280703	0.01019	0.0715903	0.0270094	1.445203	0.318978	0.261976	0.127589	0.291456	0.01713826	0.0331639
46	-70.53857	-78.56278	8.024208	0.0046178	0.013105	0.007779224	0.7732322	0.0130981	0.0700314	0.03028662	1.242773	0.34634	0.284449	0.0527526	0.316458	0.01077556	0.0331639
47	-68.63033	-76.28744	7.657118	0.00525406	0.0155514	0.009039248	0.8044235	0.00797319	0.115045	0.03028662	1.978713	0.254491	0.338507	0.205	0.202002	0.009759618	0.02591551
48	-68.4378	-75.70899	7.271183	0.00667778	0.0229371	0.01237615	0.914744	0.00795782	0.139446	0.03331194	2.122732	0.153185	0.203757	0.123395	0.519663	0.009759618	0.01920225
49	-67.10324	-76.88894	9.785695	0.00379248	0.0151638	0.007583427	1.027361	0.00831725	0.09447	0.02803089	1.801325	0.149749	0.199186	0.143057	0.508008	0.008689997	0.01423833
50	-67.30806	-77.46373	10.15567	0.00347914	0.0137269	0.006910694	1.017486	0.00579502	0.080581	0.02160945	1.951301	0.306333	0.162504	0.116711	0.414452	0.005688348	0.01979468
51	-68.72877	-77.13064	8.401865	0.00218694	0.0115603	0.005028081	1.234321	0.00521464	0.0895496	0.02160945	2.107759	0.306333	0.162504	0.116711	0.414452	0.004713963	0.03099463
52	-72.56041	-77.14656	4.586149	0.00280015	0.00902866	0.005028081	0.8678649	0.0085571	0.146949	0.03546065	2.107759	0.394494	0.282889	0.203172	0.119444	0.006348101	0.04862987
53	-71.33031	-74.94588	3.615572	0.00327417	0.0197209	0.008035535	1.331092	0.00939739	0.133809	0.03546065	1.968884	0.437093	0.313436	0.147022	0.10245	0.006462037	0.04862987
54	-71.15133	-76.97085	5.819515	0.00212381	0.0127921	0.00521228	1.331092	0.00735293	0.0891254	0.02559947	1.849506	0.191842	0.132309	0.538065	0.137783	0.009031177	0.04381921
55	-69.63802	-78.56008	8.92206	0.00398874	0.0139116	0.007449135	0.9260654	0.00372489	0.0686501	0.01599106	2.160142	0.208266	0.0580249	0.58413	0.149579	0.01143983	0.02683499
56	-69.23202	-78.24435	9.012332	0.00481314	0.0151884	0.008550072	0.8518877	0.00545012	0.0723732	0.01986057	1.917152	0.323042	0.0245618	0.519394	0.133002	0.01260482	0.02405426
