Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	diversification[5]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]	transition_rates[7]	transition_rates[8]	transition_rates[9]	transition_rates[10]	transition_rates[11]	transition_rates[12]	transition_rates[13]	transition_rates[14]	transition_rates[15]	transition_rates[16]	transition_rates[17]	transition_rates[18]	transition_rates[19]	transition_rates[20]
0	0	-1751.185	-1846.639	95.4539	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.207832	0.0819819	0.148675	0.497855	0.0636561	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0101815	0.000519562	0.00151378	0.00853048	0.0106569	0.00254336	0.0012116	0.0380299	0.000106794	0.0024032	0.000301274	0.0137591	0.0207841	0.00346014	0.0063283	0.00821208	0.0152548	0.00809772	0.000850047	0.0100294
1	1	-1787.885	-1889.153	101.2685	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.214494	0.342688	0.215464	0.0343415	0.193012	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.00413255	0.000239	0.00798346	0.0159398	0.00408565	0.0294309	0.0103519	0.00197574	0.00703131	0.00116809	0.0002847	0.0082241	0.00118577	0.00684172	0.00830176	0.000263998	0.00110801	0.00120186	0.00818745	0.00145739
2	0	-1724.611	-1820.449	95.83774	0.0775257	0.0852863	0.0743057	0.0683166	0.0751368	0.00680084	0.00768642	0.00809174	0.00706089	0.00824583	0.206792	0.0865729	0.147932	0.495365	0.0633377	0.0843265	0.0929727	0.0823974	0.0753775	0.0833827	0.0101815	0.000500342	0.00140392	0.00803993	0.0110256	0.00279085	0.00152154	0.0338454	0.000102215	0.00248871	0.000291163	0.0132291	0.0198706	0.00327773	0.00514345	0.00910325	0.0160479	0.00973571	0.00074512	0.00993713
3	1	-1764.983	-1864.973	99.98996	0.0866176	0.0797737	0.073805	0.0696401	0.0733601	0.00945126	0.00809881	0.00816759	0.00912502	0.00862555	0.214494	0.342688	0.215464	0.0343415	0.193012	0.0960689	0.0878725	0.0819726	0.0787651	0.0819856	0.00458544	0.000250182	0.00799216	0.0154421	0.00408565	0.0285338	0.0113675	0.00202269	0.00695466	0.00120372	0.000284988	0.00787447	0.00116958	0.00678356	0.0108127	0.000302742	0.00103855	0.00120186	0.00898933	0.00152991
4	0	-1710.784	-1806.217	95.43282	0.0754523	0.0978322	0.0986472	0.0687674	0.0711839	0.00652466	0.0079998	0.00701645	0.00661012	0.00766771	0.356293	0.0711201	0.121527	0.399027	0.0520323	0.0819769	0.105832	0.105664	0.0753775	0.0788516	0.0106478	0.000461758	0.001361	0.00796985	0.0107269	0.00258021	0.00148627	0.0338454	9.41883e-05	0.00293521	0.000269128	0.0127332	0.0169947	0.00312506	0.00564122	0.00915141	0.0215169	0.0105388	0.00075882	0.00937944
5	1	-1751.406	-1851.06	99.65419	0.0917398	0.0843684	0.0788944	0.0670719	0.0788328	0.0101793	0.00808978	0.00816759	0.0116932	0.00736537	0.214494	0.342688	0.215464	0.0343415	0.193012	0.101919	0.0924582	0.0870619	0.0787651	0.0861981	0.00488044	0.000246534	0.00756015	0.0149575	0.00512159	0.0285338	0.0113188	0.00240048	0.00765875	0.00115434	0.000274686	0.00742897	0.00116958	0.00658006	0.010949	0.000339002	0.00104565	0.00108661	0.00772684	0.00163715
6	0	-1693.765	-1788.896	95.13063	0.0820001	0.110459	0.101531	0.0610458	0.0781035	0.00635183	0.00795602	0.00716894	0.0067811	0.00585498	0.356293	0.0711201	0.121527	0.399027	0.0520323	0.0883519	0.118415	0.1087	0.0678269	0.0839585	0.0120976	0.000490634	0.00143874	0.00747908	0.0108419	0.00278794	0.00169441	0.0333657	0.000101394	0.00303598	0.000276832	0.0125132	0.0179196	0.00361073	0.00564122	0.00955175	0.0216294	0.0113028	0.000797868	0.00850839
7	1	-1727.396	-1826.294	98.89776	0.0925412	0.102559	0.0768379	0.0672813	0.0772955	0.00906906	0.0102861	0.0112967	0.0128317	0.00821403	0.214494	0.342688	0.215464	0.0343415	0.193012	0.10161	0.112845	0.0881346	0.080113	0.0855095	0.00488044	0.000292807	0.00777335	0.0127997	0.00536987	0.0285338	0.00926846	0.00262694	0.00842715	0.00118167	0.000355206	0.00783497	0.00113956	0.00753631	0.0114029	0.000365286	0.000934632	0.000906648	0.0080355	0.00156902
8	0	-1674.319	-1769.38	95.06079	0.0906595	0.131438	0.106475	0.0636586	0.078352	0.00617289	0.00827024	0.00669489	0.00764495	0.00560648	0.356293	0.0711201	0.121527	0.399027	0.0520323	0.0968323	0.139708	0.11317	0.0713035	0.0839585	0.0112963	0.000513337	0.00153673	0.00629524	0.0106758	0.00301775	0.00164849	0.0333657	9.00751e-05	0.00298246	0.000259936	0.011817	0.0194775	0.00325662	0.00500469	0.0093156	0.0227083	0.0114809	0.000909415	0.00722702
9	1	-1713.559	-1812.96	99.40119	0.101649	0.10728	0.0770025	0.0633961	0.0805319	0.00961933	0.0115672	0.0114756	0.0122676	0.00808922	0.187696	0.373721	0.188546	0.0811386	0.168899	0.111269	0.118848	0.088478	0.0756636	0.0886211	0.0053137	0.000292807	0.00810962	0.0126662	0.00528395	0.0225662	0.00884181	0.00293559	0.0104526	0.00102611	0.000370191	0.00707548	0.00115608	0.00849879	0.0103125	0.000369882	0.000996717	0.000836778	0.00688361	0.0015738
