Iteration	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	diversification[5]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]	transition_rates[7]	transition_rates[8]	transition_rates[9]	transition_rates[10]	transition_rates[11]	transition_rates[12]	transition_rates[13]	transition_rates[14]	transition_rates[15]	transition_rates[16]	transition_rates[17]	transition_rates[18]	transition_rates[19]	transition_rates[20]
0	-1787.885	-1889.153	101.2685	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.214494	0.342688	0.215464	0.0343415	0.193012	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.00413255	0.000239	0.00798346	0.0159398	0.00408565	0.0294309	0.0103519	0.00197574	0.00703131	0.00116809	0.0002847	0.0082241	0.00118577	0.00684172	0.00830176	0.000263998	0.00110801	0.00120186	0.00818745	0.00145739
1	-1764.983	-1864.973	99.98996	0.0866176	0.0797737	0.073805	0.0696401	0.0733601	0.00945126	0.00809881	0.00816759	0.00912502	0.00862555	0.214494	0.342688	0.215464	0.0343415	0.193012	0.0960689	0.0878725	0.0819726	0.0787651	0.0819856	0.00458544	0.000250182	0.00799216	0.0154421	0.00408565	0.0285338	0.0113675	0.00202269	0.00695466	0.00120372	0.000284988	0.00787447	0.00116958	0.00678356	0.0108127	0.000302742	0.00103855	0.00120186	0.00898933	0.00152991
2	-1751.406	-1851.06	99.65419	0.0917398	0.0843684	0.0788944	0.0670719	0.0788328	0.0101793	0.00808978	0.00816759	0.0116932	0.00736537	0.214494	0.342688	0.215464	0.0343415	0.193012	0.101919	0.0924582	0.0870619	0.0787651	0.0861981	0.00488044	0.000246534	0.00756015	0.0149575	0.00512159	0.0285338	0.0113188	0.00240048	0.00765875	0.00115434	0.000274686	0.00742897	0.00116958	0.00658006	0.010949	0.000339002	0.00104565	0.00108661	0.00772684	0.00163715
3	-1727.396	-1826.294	98.89776	0.0925412	0.102559	0.0768379	0.0672813	0.0772955	0.00906906	0.0102861	0.0112967	0.0128317	0.00821403	0.214494	0.342688	0.215464	0.0343415	0.193012	0.10161	0.112845	0.0881346	0.080113	0.0855095	0.00488044	0.000292807	0.00777335	0.0127997	0.00536987	0.0285338	0.00926846	0.00262694	0.00842715	0.00118167	0.000355206	0.00783497	0.00113956	0.00753631	0.0114029	0.000365286	0.000934632	0.000906648	0.0080355	0.00156902
4	-1713.559	-1812.96	99.40119	0.101649	0.10728	0.0770025	0.0633961	0.0805319	0.00961933	0.0115672	0.0114756	0.0122676	0.00808922	0.187696	0.373721	0.188546	0.0811386	0.168899	0.111269	0.118848	0.088478	0.0756636	0.0886211	0.0053137	0.000292807	0.00810962	0.0126662	0.00528395	0.0225662	0.00884181	0.00293559	0.0104526	0.00102611	0.000370191	0.00707548	0.00115608	0.00849879	0.0103125	0.000369882	0.000996717	0.000836778	0.00688361	0.0015738
5	-1691.632	-1791.453	99.82163	0.109667	0.131592	0.0791363	0.0597692	0.0841372	0.0075344	0.0119858	0.0121367	0.0115536	0.00699797	0.187696	0.373721	0.188546	0.0811386	0.168899	0.117201	0.143577	0.091273	0.0713228	0.0911352	0.0059215	0.000301676	0.00826112	0.0117333	0.0051834	0.0217543	0.00910435	0.00307186	0.0104526	0.00111757	0.00033954	0.00703168	0.00123723	0.00843143	0.00972164	0.000373715	0.000739535	0.000846343	0.00609935	0.0015738
6	-1690.964	-1790.358	99.39405	0.122704	0.130458	0.0929336	0.0603724	0.0723538	0.0066224	0.0131199	0.0139481	0.0109505	0.00756144	0.187696	0.373721	0.188546	0.0811386	0.168899	0.129326	0.143577	0.106882	0.0713228	0.0799152	0.0059215	0.000330439	0.00756101	0.0134429	0.00507104	0.0227661	0.00898708	0.00314475	0.0120392	0.00112388	0.000324455	0.00612197	0.00138265	0.00746785	0.00946965	0.000318961	0.000745722	0.000816991	0.00608315	0.00150698
7	-1680.65	-1780.333	99.68237	0.121251	0.13713	0.103944	0.0641308	0.0730049	0.00807522	0.0129724	0.0145882	0.0117824	0.00691029	0.187696	0.373721	0.188546	0.0811386	0.168899	0.129326	0.150103	0.118532	0.0759132	0.0799152	0.00589284	0.000308865	0.00702898	0.0123113	0.00589509	0.0177088	0.00898708	0.00306641	0.0133091	0.00101761	0.000310497	0.00612197	0.00140251	0.00497708	0.0101612	0.000307608	0.000802981	0.00085384	0.00709081	0.00174757
8	-1663.255	-1762.838	99.58216	0.125159	0.175183	0.106299	0.0677032	0.0849367	0.0103038	0.0124432	0.0134387	0.0101701	0.00649163	0.172967	0.457943	0.17375	0.0747714	0.120569	0.135463	0.187626	0.119737	0.0778733	0.0914283	0.00560546	0.000279854	0.00721549	0.0115967	0.00589509	0.0169642	0.00896245	0.00297926	0.0137222	0.000899133	0.000316947	0.0063708	0.00145819	0.00471704	0.00953575	0.000307608	0.000833805	0.000885859	0.00731295	0.00157951
9	-1662.313	-1761.731	99.41732	0.12643	0.174573	0.110451	0.0598851	0.105468	0.00903304	0.0130531	0.0128378	0.0109049	0.00637398	0.12533	0.331821	0.125897	0.329589	0.0873627	0.135463	0.187626	0.123289	0.07079	0.111842	0.00611934	0.000299369	0.00683784	0.0113464	0.00589509	0.0175726	0.00873509	0.00349995	0.0151428	0.000924481	0.00032679	0.00624713	0.00160587	0.00453148	0.0081854	0.000284456	0.0007848	0.000640994	0.00762324	0.00163708
