Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	diversification[5]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]	transition_rates[7]	transition_rates[8]	transition_rates[9]	transition_rates[10]	transition_rates[11]	transition_rates[12]	transition_rates[13]	transition_rates[14]	transition_rates[15]	transition_rates[16]	transition_rates[17]	transition_rates[18]	transition_rates[19]	transition_rates[20]
0	0	-1779.026	-1869.44	90.41392	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.197834	0.162259	0.255491	0.00203631	0.382379	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.018606	0.0069188	0.00373325	0.00974867	0.000725171	0.00500246	0.00674203	0.001903	0.00755439	0.00344858	0.00959559	0.0032192	0.00175403	0.00355645	0.0142815	0.0531384	0.00307672	0.00632135	0.00964267	0.0314056
1	1	-1826.271	-1922.901	96.62967	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.16197	0.060215	0.0266099	0.0514548	0.69975	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.00771722	0.00425885	0.019133	0.00563868	0.000112092	0.0015632	0.0318469	0.00999038	0.00515354	0.00270661	0.00638029	0.002418	0.000205	0.00282731	0.00501062	0.0148314	0.0205009	0.00284255	0.00628763	0.00457827
2	0	-1760.932	-1852.815	91.88214	0.0754738	0.0788891	0.0649195	0.0671105	0.0703704	0.00791445	0.0066303	0.00814033	0.00786245	0.0073146	0.197834	0.162259	0.255491	0.00203631	0.382379	0.0833882	0.0855194	0.0730599	0.074973	0.077685	0.0212809	0.00497054	0.00365887	0.00917138	0.000683884	0.00500246	0.00674203	0.00201072	0.00753634	0.00340593	0.00989797	0.00340488	0.00195528	0.00343857	0.0157007	0.0400257	0.00303456	0.00618618	0.00882186	0.0340534
3	1	-1810.405	-1908.167	97.7619	0.0781053	0.073171	0.0526767	0.0675833	0.0829792	0.00746089	0.00727619	0.00847221	0.00908565	0.00832807	0.16197	0.060215	0.0266099	0.0514548	0.69975	0.0855662	0.0804472	0.0611489	0.076669	0.0913073	0.0083233	0.00390002	0.0166183	0.00478935	0.000127471	0.00144683	0.0284558	0.00974519	0.00493808	0.00252608	0.00589251	0.00242475	0.000200789	0.00286748	0.00521846	0.0160884	0.0182798	0.00247772	0.00557929	0.00483872
4	0	-1748.07	-1839.822	91.75179	0.0768744	0.0916046	0.0771191	0.0629485	0.0778045	0.0065138	0.00594598	0.00805855	0.0081932	0.00708354	0.197834	0.162259	0.255491	0.00203631	0.382379	0.0833882	0.0975506	0.0851777	0.0711417	0.084888	0.0217013	0.00502526	0.00402697	0.0100141	0.00079116	0.00515855	0.00709292	0.00184144	0.00548041	0.00358163	0.0102426	0.00345375	0.00195965	0.00343857	0.0161167	0.0378664	0.00311361	0.00775978	0.00989363	0.0332721
5	1	-1796.512	-1894.14	97.62776	0.0902418	0.0775507	0.0472256	0.0651591	0.0842018	0.00836819	0.00710081	0.00791069	0.010552	0.00819051	0.16197	0.060215	0.0266099	0.0514548	0.69975	0.09861	0.0846515	0.0551363	0.0757111	0.0923923	0.00799719	0.00493814	0.0138272	0.00395419	0.000118654	0.00164146	0.0303	0.00961033	0.00468354	0.00279104	0.00586406	0.00248558	0.000225315	0.00308248	0.00521846	0.0168896	0.0181636	0.00271803	0.00467455	0.00474058
6	0	-1733.109	-1824.873	91.76428	0.0867948	0.0986012	0.0947114	0.0685991	0.0849338	0.00676992	0.00575884	0.00725248	0.00763529	0.00641805	0.197834	0.162259	0.255491	0.00203631	0.382379	0.0935647	0.10436	0.101964	0.0762344	0.0913519	0.0233075	0.00517724	0.00402697	0.00888968	0.000770433	0.00540049	0.00709292	0.00184144	0.004965	0.00394843	0.00878626	0.00396766	0.00187202	0.00343043	0.0142494	0.0364597	0.00311249	0.00706728	0.011781	0.0338227
7	1	-1757.007	-1854.784	97.77704	0.119679	0.0908719	0.0513346	0.063025	0.0749224	0.00764163	0.00664287	0.00704339	0.00973477	0.00852972	0.16197	0.060215	0.0266099	0.0514548	0.69975	0.12732	0.0975148	0.058378	0.0727598	0.0834521	0.0108466	0.005049	0.0138272	0.00362571	0.000128234	0.00171276	0.0267551	0.009174	0.00522248	0.00298194	0.00692182	0.00271737	0.00025471	0.00262846	0.00470394	0.0175974	0.0168856	0.00316826	0.00466703	0.00395044
8	0	-1722.5	-1814.677	92.1772	0.0871912	0.10668	0.0733729	0.0567599	0.0741215	0.00637353	0.00575884	0.00779711	0.00677755	0.00739201	0.197834	0.162259	0.255491	0.00203631	0.382379	0.0935647	0.112439	0.08117	0.0635375	0.0815136	0.0245311	0.00522963	0.00402697	0.00862083	0.000898582	0.00529426	0.00649254	0.00170605	0.00586803	0.00386209	0.00865214	0.00495619	0.0019092	0.00374257	0.0144294	0.0331127	0.00319229	0.00787767	0.011763	0.0338227
9	1	-1745.467	-1843.363	97.89555	0.119983	0.10125	0.0486639	0.0627899	0.0756624	0.00733678	0.00582649	0.00774984	0.0100608	0.00881433	0.16197	0.060215	0.0266099	0.0514548	0.69975	0.12732	0.107076	0.0564137	0.0728507	0.0844767	0.0116114	0.00466536	0.0131451	0.00379637	0.000123323	0.0015079	0.0247817	0.00895112	0.00510635	0.00286317	0.00712708	0.00257427	0.000232342	0.00266538	0.00510015	0.020721	0.0156902	0.00295382	0.0040633	0.0037902
