Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	diversification[5]	diversification[6]	diversification[7]	diversification[8]	diversification[9]	diversification[10]	diversification[11]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	rate_category_prior[9]	rate_category_prior[10]	rate_category_prior[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]	transition_rates[7]	transition_rates[8]	transition_rates[9]	transition_rates[10]	transition_rates[11]	transition_rates[12]	transition_rates[13]	transition_rates[14]	transition_rates[15]	transition_rates[16]	transition_rates[17]	transition_rates[18]	transition_rates[19]	transition_rates[20]	transition_rates[21]	transition_rates[22]	transition_rates[23]	transition_rates[24]	transition_rates[25]	transition_rates[26]	transition_rates[27]	transition_rates[28]	transition_rates[29]	transition_rates[30]	transition_rates[31]	transition_rates[32]	transition_rates[33]	transition_rates[34]	transition_rates[35]	transition_rates[36]	transition_rates[37]	transition_rates[38]	transition_rates[39]	transition_rates[40]	transition_rates[41]	transition_rates[42]	transition_rates[43]	transition_rates[44]	transition_rates[45]	transition_rates[46]	transition_rates[47]	transition_rates[48]	transition_rates[49]	transition_rates[50]	transition_rates[51]	transition_rates[52]	transition_rates[53]	transition_rates[54]	transition_rates[55]	transition_rates[56]	transition_rates[57]	transition_rates[58]	transition_rates[59]	transition_rates[60]	transition_rates[61]	transition_rates[62]	transition_rates[63]	transition_rates[64]	transition_rates[65]	transition_rates[66]	transition_rates[67]	transition_rates[68]	transition_rates[69]	transition_rates[70]	transition_rates[71]	transition_rates[72]	transition_rates[73]	transition_rates[74]	transition_rates[75]	transition_rates[76]	transition_rates[77]	transition_rates[78]	transition_rates[79]	transition_rates[80]	transition_rates[81]	transition_rates[82]	transition_rates[83]	transition_rates[84]	transition_rates[85]	transition_rates[86]	transition_rates[87]	transition_rates[88]	transition_rates[89]	transition_rates[90]	transition_rates[91]	transition_rates[92]	transition_rates[93]	transition_rates[94]	transition_rates[95]	transition_rates[96]	transition_rates[97]	transition_rates[98]	transition_rates[99]	transition_rates[100]	transition_rates[101]	transition_rates[102]	transition_rates[103]	transition_rates[104]	transition_rates[105]	transition_rates[106]	transition_rates[107]	transition_rates[108]	transition_rates[109]	transition_rates[110]
0	0	-1640.2	-2123.838	483.6382	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.150879	0.0829006	0.0622696	0.0110323	0.0560806	0.063712	0.082534	0.197428	0.0147351	0.0985625	0.179866	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0122806	0.00344702	0.0172868	0.00727873	0.000606329	0.00321197	0.00236571	0.0101273	0.0212015	0.00426355	0.00220413	0.00194836	0.00296876	0.0127202	0.00753249	0.00448589	0.00291038	0.0269123	0.0105436	0.0131561	0.00492716	0.00577929	0.0185969	0.00257824	0.00113502	0.00794298	0.00136606	0.00555846	0.00861198	0.00147274	0.0193616	0.000127787	0.00238713	0.00173443	0.000364827	0.0131774	0.00611779	0.0302906	0.00222247	0.00517544	0.00155795	0.00443647	0.0111477	0.00520162	0.0137859	0.002982	0.00222184	0.000416533	0.00163402	0.00256423	0.00714752	0.00935138	0.00623986	0.00160871	0.00637632	0.00408938	0.00768674	0.00362728	0.00827956	0.0246607	0.00753319	0.000411063	0.00341754	0.00137322	0.0219123	0.000260406	0.00219461	0.0147041	0.015438	0.00303129	0.00239272	0.0146572	0.00978492	0.00522443	0.00581081	0.00669707	0.00250042	0.00221307	0.00127846	0.00262209	0.00860553	0.000858766	0.00283002	0.00130105	0.00336015	0.00626826	0.00149273	0.0214119	0.00101533	0.00498707	0.0046813	0.0112723	0.00216916	0.00538064	0.00118545	0.00262212	0.0147797	0.00562382	0.00906308	0.006753	0.0224641	0.00556289	0.00134497	0.0186042	0.0229797	0.00329199	0.00597673	0.00257043	0.0117769	0.023861
1	1	-1660.959	-2136.827	475.8679	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.143554	0.0863414	0.228648	0.0479131	0.0337372	0.108438	0.0763565	0.0313972	0.165064	0.0434815	0.0350697	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0032116	0.00367792	0.000160338	0.00609645	0.000906333	0.00906348	0.00707089	0.0184976	0.0165552	0.000839136	0.00163986	0.00176051	0.0168878	0.00332519	0.0123619	0.00420436	0.00811032	0.0126713	0.0164148	0.0195536	0.0210668	0.00660511	0.00571942	0.016531	0.00693901	0.00160742	0.00558049	0.00651526	0.0134198	0.00351796	0.00818566	0.00269269	0.0010737	0.00250891	0.00986502	0.00575229	0.0216294	0.00562151	0.0146595	0.000373883	0.00418262	5.76262e-05	0.000171111	0.000115354	0.00124595	0.00123677	0.00536605	0.00162964	0.0138698	0.0136193	0.0215265	0.0227795	0.011047	0.00574653	0.0086085	0.0138142	0.00196191	0.00451403	0.00966535	0.00165871	0.00884608	0.00367164	0.00105382	0.00690259	0.00531739	0.0102604	0.0230997	0.024834	0.00359778	0.0132029	0.00576255	0.000222513	0.00706756	0.0132318	0.0149466	0.00638874	0.0102619	0.000868976	0.021986	0.000580872	0.00340378	0.00865428	0.00624583	0.00409637	0.00923731	0.00758456	0.0120798	0.0219909	0.0032687	0.00696668	0.00995485	0.00362624	0.00190721	0.00369936	0.0071378	0.00551809	0.0039245	0.00543577	0.0313071	0.00237927	0.0142541	0.00087134	0.00264799	0.0020677	0.00162191	0.00201848	0.0114705	0.00128398	0.00422678	0.000241668
2	0	-1627.55	-2107.996	480.4458	0.0694055	0.078721	0.0761493	0.0627142	0.077708	0.0692174	0.0764677	0.0831177	0.0635108	0.0751451	0.070085	0.00881441	0.00720135	0.00856072	0.0108988	0.00818367	0.00712118	0.00942287	0.00868279	0.00790712	0.00787651	0.00881835	0.150879	0.0829006	0.0622696	0.0110323	0.0560806	0.063712	0.082534	0.197428	0.0147351	0.0985625	0.179866	0.0782199	0.0859223	0.08471	0.0736129	0.0858917	0.0763386	0.0858905	0.0918005	0.071418	0.0830216	0.0789034	0.0125561	0.00407478	0.016484	0.00760955	0.00057223	0.00447294	0.00226429	0.011998	0.0223297	0.0038672	0.00231	0.00209716	0.00274353	0.015317	0.00818655	0.00461673	0.00286509	0.0240977	0.0115765	0.0141032	0.00436379	0.00606867	0.0181437	0.00244292	0.00115753	0.00745243	0.00156365	0.00508738	0.00831195	0.00166435	0.0178632	0.000136103	0.00238713	0.00166604	0.00031248	0.0139009	0.00600532	0.0294015	0.00245173	0.00596568	0.00129687	0.00401403	0.00998503	0.00452939	0.0117707	0.00250458	0.00222184	0.000448789	0.00153462	0.00268864	0.0071909	0.009965	0.00623986	0.00164482	0.00681563	0.00422887	0.00797834	0.00384449	0.00780787	0.0282598	0.00685564	0.000412774	0.00333589	0.00142803	0.0212598	0.000252765	0.00219461	0.0133527	0.0176911	0.00327232	0.00263377	0.0145165	0.0122861	0.00574745	0.00491562	0.00733428	0.00250042	0.00228614	0.00135431	0.00292769	0.00884744	0.000858766	0.00283002	0.00151262	0.00405603	0.00558506	0.00165607	0.0288687	0.000929435	0.00463938	0.00433596	0.0121579	0.00209686	0.00467675	0.00107271	0.00279942	0.0163068	0.00598414	0.00839306	0.00644249	0.0210698	0.00563967	0.00123924	0.0186274	0.0239021	0.00263636	0.00572371	0.00233798	0.0106284	0.026697
3	1	-1651.793	-2129.053	477.2597	0.0697677	0.0750455	0.0792844	0.078045	0.06849	0.065696	0.0790851	0.0701207	0.065161	0.0735067	0.0700504	0.00927331	0.0077133	0.00751362	0.00755994	0.00787651	0.00783488	0.00744585	0.0074762	0.00653004	0.00689254	0.00767152	0.143554	0.0863414	0.228648	0.0479131	0.0337372	0.108438	0.0763565	0.0313972	0.165064	0.0434815	0.0350697	0.079041	0.0827588	0.086798	0.0856049	0.0763665	0.0735309	0.0865309	0.0775969	0.071691	0.0803992	0.0777219	0.00242808	0.00395099	0.000168896	0.0057916	0.000897243	0.00818873	0.00546114	0.0188005	0.0170249	0.000787038	0.00144369	0.00150944	0.0168929	0.00332519	0.013033	0.00438269	0.00644401	0.0126713	0.0164148	0.0195536	0.0217478	0.00604826	0.00592929	0.0167944	0.00650472	0.001377	0.00553504	0.00726311	0.0134198	0.00366962	0.00851383	0.00257956	0.00106195	0.00287861	0.00973693	0.00579269	0.0230722	0.00579596	0.0148517	0.000274364	0.00402296	6.96359e-05	0.000154258	0.00011695	0.00102527	0.00114787	0.0055405	0.00201248	0.0138373	0.0150417	0.0221271	0.0228373	0.0113988	0.00582389	0.00711992	0.0164691	0.00171567	0.0047503	0.00869035	0.00138136	0.00900405	0.00304545	0.00100424	0.00645697	0.00531739	0.0116183	0.0210048	0.0230149	0.00333933	0.0140149	0.00600709	0.000223749	0.00613198	0.0132281	0.0146159	0.00655769	0.0114329	0.000809994	0.0211124	0.000637636	0.00352732	0.0082859	0.00610579	0.00400624	0.00965182	0.00688911	0.0120798	0.0203039	0.00388663	0.0058546	0.0104148	0.00337467	0.00191702	0.00379362	0.00816773	0.00545946	0.00397149	0.00600278	0.0279562	0.00251054	0.0144456	0.000928813	0.00250723	0.0017935	0.0015415	0.00206232	0.00989553	0.00129244	0.00388778	0.000237735
4	0	-1625.402	-2105.734	480.3315	0.0721299	0.074151	0.0928677	0.0600749	0.0653837	0.06017	0.0751915	0.0719759	0.0666625	0.0739131	0.0916586	0.0080908	0.00739951	0.00789474	0.0112017	0.00809264	0.00645603	0.010699	0.0109324	0.00824257	0.00967447	0.00972498	0.150879	0.0829006	0.0622696	0.0110323	0.0560806	0.063712	0.082534	0.197428	0.0147351	0.0985625	0.179866	0.0802207	0.0815505	0.100762	0.0712765	0.0734763	0.066626	0.0858905	0.0829082	0.0749051	0.0835876	0.101384	0.0134544	0.00394188	0.0154958	0.00923018	0.000592167	0.00421211	0.00212378	0.0125609	0.0256386	0.00433369	0.00289392	0.00246292	0.0027026	0.0159747	0.00826798	0.00454423	0.00276276	0.0235181	0.0132279	0.0153945	0.00490343	0.00598941	0.0161147	0.00216975	0.00103409	0.00847657	0.00154736	0.00524093	0.00890799	0.00171791	0.0152869	0.000138746	0.0025184	0.00136103	0.000282684	0.0144754	0.00556403	0.0225435	0.00211536	0.00546845	0.00130591	0.00410067	0.00933741	0.00452939	0.0118567	0.00250458	0.00202293	0.0003537	0.00174618	0.00269152	0.00703042	0.010709	0.00794761	0.00149978	0.00649755	0.00371604	0.00691963	0.00331714	0.00712575	0.0268618	0.00666899	0.000394244	0.0033352	0.00174419	0.0230716	0.000244559	0.00229817	0.0128054	0.0169935	0.00368502	0.00263377	0.0133047	0.0112865	0.00600918	0.00515316	0.00684259	0.00247628	0.00265051	0.00133753	0.00281075	0.00745486	0.00111029	0.00297125	0.00162237	0.00457618	0.00537638	0.00167957	0.0228885	0.000940788	0.00495574	0.00455591	0.0121111	0.00257659	0.0044779	0.000893262	0.00297178	0.0168492	0.00662758	0.00773292	0.00686888	0.021752	0.0064075	0.00115431	0.0200023	0.0191382	0.00211744	0.00510949	0.00256358	0.0115344	0.0356126
5	1	-1644.666	-2120.615	475.9491	0.0611179	0.0786016	0.0810595	0.0843859	0.0791295	0.0514091	0.0777462	0.0753298	0.0593109	0.0773831	0.0731311	0.00777659	0.00709132	0.00840325	0.00743245	0.00705343	0.00826386	0.00833767	0.00698288	0.0064698	0.00634525	0.00767152	0.143554	0.0863414	0.228648	0.0479131	0.0337372	0.108438	0.0763565	0.0313972	0.165064	0.0434815	0.0350697	0.0688945	0.0856929	0.0894628	0.0918184	0.0861829	0.059673	0.0860838	0.0823127	0.0657807	0.0837284	0.0808026	0.00268829	0.00427548	0.000154939	0.00611171	0.00112493	0.00847885	0.00429957	0.0131983	0.0173417	0.00077965	0.00155251	0.00155641	0.0141434	0.00374695	0.0171143	0.00442477	0.00564268	0.0126713	0.0171537	0.0220172	0.02241	0.00657324	0.00592929	0.0172093	0.00546921	0.00141742	0.00529701	0.00612303	0.0156841	0.00392144	0.00827385	0.00258573	0.00111878	0.00310914	0.0104693	0.00574687	0.0276591	0.00544068	0.0153962	0.000235264	0.00421214	6.50634e-05	0.000155654	0.000114106	0.00113501	0.00127117	0.00555943	0.00201794	0.0136093	0.016705	0.0227074	0.0240531	0.0104083	0.00523467	0.00538841	0.0166999	0.00161035	0.0047503	0.0103594	0.00123875	0.00964349	0.00328231	0.00106517	0.00654908	0.00553978	0.0128922	0.0210048	0.0239507	0.00332098	0.0123893	0.0064396	0.000220923	0.00628593	0.0139323	0.0163035	0.00608148	0.0132338	0.000851562	0.0225054	0.000665787	0.00429053	0.00760124	0.00620463	0.00341058	0.00944708	0.00595991	0.012784	0.0220244	0.00405917	0.00591332	0.0109269	0.00354921	0.00204889	0.00379362	0.00718993	0.00506831	0.00408902	0.00637028	0.0262174	0.0021298	0.0132479	0.000882871	0.00227355	0.00199517	0.0017163	0.00209951	0.00900132	0.00122691	0.00300459	0.000211512
6	0	-1616.668	-2095.787	479.1188	0.0672507	0.0747249	0.0813574	0.0603917	0.0605625	0.0566024	0.0797359	0.08035	0.0677528	0.0813116	0.0764241	0.0107814	0.00749072	0.00885911	0.0112942	0.00766675	0.00652897	0.00986128	0.0100604	0.00795143	0.00965103	0.0102669	0.150879	0.0829006	0.0622696	0.0110323	0.0560806	0.063712	0.082534	0.197428	0.0147351	0.0985625	0.179866	0.0780321	0.0822156	0.0902165	0.0716859	0.0682293	0.0631314	0.0895972	0.0904104	0.0757042	0.0909626	0.086691	0.0124243	0.00410674	0.0161328	0.00928022	0.000517481	0.00418672	0.00251318	0.0132091	0.026555	0.00459776	0.00289392	0.00218119	0.00241726	0.0157217	0.00797033	0.00428991	0.0028787	0.0217553	0.0143205	0.0130746	0.00525366	0.00630522	0.0161353	0.00253294	0.00114803	0.00864718	0.00179647	0.00499302	0.0093758	0.00196681	0.0155792	0.000146257	0.00269857	0.00130418	0.00026554	0.012852	0.00564468	0.0233942	0.00192563	0.00517284	0.00137784	0.00554668	0.00900406	0.00408966	0.0167065	0.00249156	0.00215649	0.0003537	0.00185596	0.00266164	0.00754867	0.010709	0.00791977	0.00194128	0.00589046	0.00316882	0.00637438	0.00331714	0.00735475	0.0312791	0.00723506	0.000434644	0.00334335	0.00178498	0.0219426	0.000186427	0.00241253	0.0130089	0.0170012	0.00382543	0.00276592	0.0122007	0.0112865	0.00538117	0.00518118	0.00684259	0.00287735	0.00265051	0.00149202	0.00312721	0.00690346	0.00125614	0.00314461	0.00140063	0.0045249	0.00551094	0.00150409	0.0245498	0.00111446	0.00488777	0.00528331	0.0125635	0.00216201	0.00469751	0.000957003	0.00276143	0.0180774	0.00644323	0.00781699	0.00617073	0.0214121	0.00758991	0.00107435	0.0170889	0.019461	0.00213542	0.00466818	0.00264093	0.0101787	0.0374724
7	1	-1635.979	-2113.636	477.6576	0.0568401	0.0843807	0.0718596	0.084495	0.0858659	0.0457096	0.0776802	0.0750352	0.0659289	0.084486	0.0767055	0.00773319	0.00618447	0.0079615	0.00732335	0.00689143	0.00866779	0.0084036	0.00727752	0.0058426	0.00624711	0.00765383	0.143554	0.0863414	0.228648	0.0479131	0.0337372	0.108438	0.0763565	0.0313972	0.165064	0.0434815	0.0350697	0.0645733	0.0905652	0.0798211	0.0918184	0.0927573	0.0543774	0.0860838	0.0823127	0.0717715	0.0907331	0.0843594	0.00296059	0.00313939	0.000141126	0.00592241	0.000952643	0.00756286	0.00477898	0.0131983	0.0183428	0.000701626	0.00124642	0.00135207	0.0118246	0.00358385	0.0164864	0.00506335	0.00444383	0.0110066	0.017217	0.0227876	0.0204671	0.00655528	0.00548264	0.0172093	0.00560524	0.00125026	0.00528128	0.00569734	0.0152959	0.00368684	0.00751144	0.00258573	0.000970903	0.00335246	0.0107819	0.00504145	0.0283615	0.00512108	0.0153258	0.000267042	0.00427867	6.67608e-05	0.000133984	0.00011863	0.00104971	0.0012082	0.00489541	0.00209454	0.0151582	0.0157444	0.0216781	0.0200307	0.00886157	0.00503489	0.00553741	0.0166999	0.00165064	0.00393773	0.00985766	0.00130376	0.00977878	0.00364592	0.00108465	0.00652567	0.00546052	0.0121146	0.0208895	0.0252791	0.00283671	0.0123893	0.00689406	0.000220923	0.00594743	0.0155505	0.0163035	0.0062524	0.0144692	0.0009471	0.0257431	0.000649729	0.00445413	0.00856701	0.00727826	0.00254693	0.00944708	0.00550623	0.0109705	0.0201342	0.00336982	0.00628975	0.00981338	0.00427653	0.00187759	0.00357327	0.00805242	0.00506831	0.00468063	0.00649967	0.0244672	0.00179742	0.0156637	0.000857678	0.00261018	0.00201641	0.00161828	0.00209951	0.0102238	0.00130966	0.00326148	0.000188698
8	0	-1610.205	-2087.516	477.3107	0.0658706	0.077257	0.0869865	0.0614288	0.0415521	0.0563547	0.0813269	0.0974315	0.0734385	0.0813116	0.0839103	0.010233	0.00798073	0.00774037	0.0102571	0.00707376	0.00677667	0.00827029	0.011018	0.00945902	0.00965103	0.0114101	0.154574	0.0849306	0.0637944	0.0113025	0.0574538	0.0652722	0.084555	0.202262	0.0150959	0.100976	0.159783	0.0761036	0.0852377	0.0947268	0.0716859	0.0486259	0.0631314	0.0895972	0.10845	0.0828975	0.0909626	0.0953203	0.0122245	0.0038798	0.0178074	0.00975806	0.000591485	0.00383759	0.00247744	0.0115694	0.022921	0.00436482	0.00280096	0.00222921	0.0026565	0.017088	0.00757601	0.00433764	0.0026088	0.0219359	0.0157705	0.0125434	0.00623946	0.00669362	0.0174234	0.00272444	0.000848162	0.00830953	0.00184684	0.00534235	0.0095649	0.00200932	0.0147449	0.000146257	0.00296869	0.00147067	0.000289031	0.0121503	0.00506387	0.0223209	0.00177825	0.00512934	0.00137784	0.00553191	0.00896057	0.00473558	0.0183515	0.00249156	0.00237878	0.000379136	0.00235324	0.00258199	0.00886674	0.0102992	0.00858026	0.00162677	0.00534763	0.00270248	0.00630667	0.00326061	0.00731757	0.0321847	0.00714784	0.000476748	0.00320289	0.00222186	0.0218608	0.000198416	0.00241253	0.0133473	0.016243	0.0038979	0.00256614	0.0126688	0.0110083	0.00568716	0.00564891	0.00641022	0.00273526	0.00335954	0.00157473	0.00307894	0.00648512	0.00116788	0.0030929	0.0014792	0.00475045	0.00629275	0.00134516	0.0233351	0.00101891	0.0055028	0.00517499	0.0128693	0.00234411	0.00492554	0.000923374	0.00249864	0.017751	0.00675533	0.00781699	0.00624616	0.0207795	0.00661907	0.0012321	0.0174104	0.0217081	0.00192555	0.00466818	0.00252265	0.00943552	0.0481859
9	1	-1624.296	-2101.517	477.2209	0.0700282	0.0939401	0.0745265	0.084894	0.0856282	0.0421456	0.090929	0.0736532	0.077251	0.0886965	0.0773291	0.00802192	0.00573482	0.00720383	0.0069244	0.00712917	0.0072289	0.00764946	0.00865953	0.0058426	0.00655991	0.00827615	0.143554	0.0863414	0.228648	0.0479131	0.0337372	0.108438	0.0763565	0.0313972	0.165064	0.0434815	0.0350697	0.0780501	0.0996749	0.0817303	0.0918184	0.0927573	0.0493745	0.0985784	0.0823127	0.0830936	0.0952564	0.0856053	0.00309681	0.00329682	0.000191624	0.0062772	0.000760112	0.00776852	0.00498002	0.0126417	0.0207085	0.000722768	0.00114929	0.00136447	0.0128397	0.00392104	0.0162516	0.00637518	0.00499434	0.0101238	0.017217	0.0218593	0.0161843	0.00587955	0.00467217	0.0172884	0.0066111	0.00172065	0.00535568	0.00583246	0.0205291	0.00324329	0.00822776	0.00295886	0.000937201	0.00272976	0.0118321	0.00491659	0.0283615	0.00542347	0.0207575	0.000270356	0.00414189	6.02545e-05	0.000152914	0.000100172	0.0010115	0.0012082	0.00499886	0.00220323	0.0147655	0.0139306	0.0180484	0.0181043	0.00962603	0.0046774	0.00602977	0.0139813	0.00159691	0.00401551	0.0107143	0.00130376	0.0101824	0.00412511	0.00119557	0.00640299	0.00483733	0.00952969	0.0208895	0.0252791	0.00274226	0.0128762	0.00729175	0.000213018	0.00606965	0.0157465	0.014862	0.00693509	0.0140215	0.00104562	0.0282092	0.00066481	0.00435499	0.0087296	0.00738666	0.00235857	0.00935876	0.00550623	0.0109419	0.0206597	0.00333222	0.00590896	0.00862491	0.00500407	0.00187759	0.00349829	0.00714047	0.00556297	0.00474246	0.00697788	0.0205137	0.00167358	0.0156637	0.000920223	0.00321427	0.00201641	0.00165146	0.00179163	0.0116731	0.00123764	0.00292825	0.000201986
