Iteration	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	diversification[5]	diversification[6]	diversification[7]	diversification[8]	diversification[9]	diversification[10]	diversification[11]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	rate_category_prior[9]	rate_category_prior[10]	rate_category_prior[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]	transition_rates[7]	transition_rates[8]	transition_rates[9]	transition_rates[10]	transition_rates[11]	transition_rates[12]	transition_rates[13]	transition_rates[14]	transition_rates[15]	transition_rates[16]	transition_rates[17]	transition_rates[18]	transition_rates[19]	transition_rates[20]	transition_rates[21]	transition_rates[22]	transition_rates[23]	transition_rates[24]	transition_rates[25]	transition_rates[26]	transition_rates[27]	transition_rates[28]	transition_rates[29]	transition_rates[30]	transition_rates[31]	transition_rates[32]	transition_rates[33]	transition_rates[34]	transition_rates[35]	transition_rates[36]	transition_rates[37]	transition_rates[38]	transition_rates[39]	transition_rates[40]	transition_rates[41]	transition_rates[42]	transition_rates[43]	transition_rates[44]	transition_rates[45]	transition_rates[46]	transition_rates[47]	transition_rates[48]	transition_rates[49]	transition_rates[50]	transition_rates[51]	transition_rates[52]	transition_rates[53]	transition_rates[54]	transition_rates[55]	transition_rates[56]	transition_rates[57]	transition_rates[58]	transition_rates[59]	transition_rates[60]	transition_rates[61]	transition_rates[62]	transition_rates[63]	transition_rates[64]	transition_rates[65]	transition_rates[66]	transition_rates[67]	transition_rates[68]	transition_rates[69]	transition_rates[70]	transition_rates[71]	transition_rates[72]	transition_rates[73]	transition_rates[74]	transition_rates[75]	transition_rates[76]	transition_rates[77]	transition_rates[78]	transition_rates[79]	transition_rates[80]	transition_rates[81]	transition_rates[82]	transition_rates[83]	transition_rates[84]	transition_rates[85]	transition_rates[86]	transition_rates[87]	transition_rates[88]	transition_rates[89]	transition_rates[90]	transition_rates[91]	transition_rates[92]	transition_rates[93]	transition_rates[94]	transition_rates[95]	transition_rates[96]	transition_rates[97]	transition_rates[98]	transition_rates[99]	transition_rates[100]	transition_rates[101]	transition_rates[102]	transition_rates[103]	transition_rates[104]	transition_rates[105]	transition_rates[106]	transition_rates[107]	transition_rates[108]	transition_rates[109]	transition_rates[110]
0	-1660.959	-2136.827	475.8679	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.143554	0.0863414	0.228648	0.0479131	0.0337372	0.108438	0.0763565	0.0313972	0.165064	0.0434815	0.0350697	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.0032116	0.00367792	0.000160338	0.00609645	0.000906333	0.00906348	0.00707089	0.0184976	0.0165552	0.000839136	0.00163986	0.00176051	0.0168878	0.00332519	0.0123619	0.00420436	0.00811032	0.0126713	0.0164148	0.0195536	0.0210668	0.00660511	0.00571942	0.016531	0.00693901	0.00160742	0.00558049	0.00651526	0.0134198	0.00351796	0.00818566	0.00269269	0.0010737	0.00250891	0.00986502	0.00575229	0.0216294	0.00562151	0.0146595	0.000373883	0.00418262	5.76262e-05	0.000171111	0.000115354	0.00124595	0.00123677	0.00536605	0.00162964	0.0138698	0.0136193	0.0215265	0.0227795	0.011047	0.00574653	0.0086085	0.0138142	0.00196191	0.00451403	0.00966535	0.00165871	0.00884608	0.00367164	0.00105382	0.00690259	0.00531739	0.0102604	0.0230997	0.024834	0.00359778	0.0132029	0.00576255	0.000222513	0.00706756	0.0132318	0.0149466	0.00638874	0.0102619	0.000868976	0.021986	0.000580872	0.00340378	0.00865428	0.00624583	0.00409637	0.00923731	0.00758456	0.0120798	0.0219909	0.0032687	0.00696668	0.00995485	0.00362624	0.00190721	0.00369936	0.0071378	0.00551809	0.0039245	0.00543577	0.0313071	0.00237927	0.0142541	0.00087134	0.00264799	0.0020677	0.00162191	0.00201848	0.0114705	0.00128398	0.00422678	0.000241668
1	-1651.793	-2129.053	477.2597	0.0697677	0.0750455	0.0792844	0.078045	0.06849	0.065696	0.0790851	0.0701207	0.065161	0.0735067	0.0700504	0.00927331	0.0077133	0.00751362	0.00755994	0.00787651	0.00783488	0.00744585	0.0074762	0.00653004	0.00689254	0.00767152	0.143554	0.0863414	0.228648	0.0479131	0.0337372	0.108438	0.0763565	0.0313972	0.165064	0.0434815	0.0350697	0.079041	0.0827588	0.086798	0.0856049	0.0763665	0.0735309	0.0865309	0.0775969	0.071691	0.0803992	0.0777219	0.00242808	0.00395099	0.000168896	0.0057916	0.000897243	0.00818873	0.00546114	0.0188005	0.0170249	0.000787038	0.00144369	0.00150944	0.0168929	0.00332519	0.013033	0.00438269	0.00644401	0.0126713	0.0164148	0.0195536	0.0217478	0.00604826	0.00592929	0.0167944	0.00650472	0.001377	0.00553504	0.00726311	0.0134198	0.00366962	0.00851383	0.00257956	0.00106195	0.00287861	0.00973693	0.00579269	0.0230722	0.00579596	0.0148517	0.000274364	0.00402296	6.96359e-05	0.000154258	0.00011695	0.00102527	0.00114787	0.0055405	0.00201248	0.0138373	0.0150417	0.0221271	0.0228373	0.0113988	0.00582389	0.00711992	0.0164691	0.00171567	0.0047503	0.00869035	0.00138136	0.00900405	0.00304545	0.00100424	0.00645697	0.00531739	0.0116183	0.0210048	0.0230149	0.00333933	0.0140149	0.00600709	0.000223749	0.00613198	0.0132281	0.0146159	0.00655769	0.0114329	0.000809994	0.0211124	0.000637636	0.00352732	0.0082859	0.00610579	0.00400624	0.00965182	0.00688911	0.0120798	0.0203039	0.00388663	0.0058546	0.0104148	0.00337467	0.00191702	0.00379362	0.00816773	0.00545946	0.00397149	0.00600278	0.0279562	0.00251054	0.0144456	0.000928813	0.00250723	0.0017935	0.0015415	0.00206232	0.00989553	0.00129244	0.00388778	0.000237735
2	-1644.666	-2120.615	475.9491	0.0611179	0.0786016	0.0810595	0.0843859	0.0791295	0.0514091	0.0777462	0.0753298	0.0593109	0.0773831	0.0731311	0.00777659	0.00709132	0.00840325	0.00743245	0.00705343	0.00826386	0.00833767	0.00698288	0.0064698	0.00634525	0.00767152	0.143554	0.0863414	0.228648	0.0479131	0.0337372	0.108438	0.0763565	0.0313972	0.165064	0.0434815	0.0350697	0.0688945	0.0856929	0.0894628	0.0918184	0.0861829	0.059673	0.0860838	0.0823127	0.0657807	0.0837284	0.0808026	0.00268829	0.00427548	0.000154939	0.00611171	0.00112493	0.00847885	0.00429957	0.0131983	0.0173417	0.00077965	0.00155251	0.00155641	0.0141434	0.00374695	0.0171143	0.00442477	0.00564268	0.0126713	0.0171537	0.0220172	0.02241	0.00657324	0.00592929	0.0172093	0.00546921	0.00141742	0.00529701	0.00612303	0.0156841	0.00392144	0.00827385	0.00258573	0.00111878	0.00310914	0.0104693	0.00574687	0.0276591	0.00544068	0.0153962	0.000235264	0.00421214	6.50634e-05	0.000155654	0.000114106	0.00113501	0.00127117	0.00555943	0.00201794	0.0136093	0.016705	0.0227074	0.0240531	0.0104083	0.00523467	0.00538841	0.0166999	0.00161035	0.0047503	0.0103594	0.00123875	0.00964349	0.00328231	0.00106517	0.00654908	0.00553978	0.0128922	0.0210048	0.0239507	0.00332098	0.0123893	0.0064396	0.000220923	0.00628593	0.0139323	0.0163035	0.00608148	0.0132338	0.000851562	0.0225054	0.000665787	0.00429053	0.00760124	0.00620463	0.00341058	0.00944708	0.00595991	0.012784	0.0220244	0.00405917	0.00591332	0.0109269	0.00354921	0.00204889	0.00379362	0.00718993	0.00506831	0.00408902	0.00637028	0.0262174	0.0021298	0.0132479	0.000882871	0.00227355	0.00199517	0.0017163	0.00209951	0.00900132	0.00122691	0.00300459	0.000211512
3	-1635.979	-2113.636	477.6576	0.0568401	0.0843807	0.0718596	0.084495	0.0858659	0.0457096	0.0776802	0.0750352	0.0659289	0.084486	0.0767055	0.00773319	0.00618447	0.0079615	0.00732335	0.00689143	0.00866779	0.0084036	0.00727752	0.0058426	0.00624711	0.00765383	0.143554	0.0863414	0.228648	0.0479131	0.0337372	0.108438	0.0763565	0.0313972	0.165064	0.0434815	0.0350697	0.0645733	0.0905652	0.0798211	0.0918184	0.0927573	0.0543774	0.0860838	0.0823127	0.0717715	0.0907331	0.0843594	0.00296059	0.00313939	0.000141126	0.00592241	0.000952643	0.00756286	0.00477898	0.0131983	0.0183428	0.000701626	0.00124642	0.00135207	0.0118246	0.00358385	0.0164864	0.00506335	0.00444383	0.0110066	0.017217	0.0227876	0.0204671	0.00655528	0.00548264	0.0172093	0.00560524	0.00125026	0.00528128	0.00569734	0.0152959	0.00368684	0.00751144	0.00258573	0.000970903	0.00335246	0.0107819	0.00504145	0.0283615	0.00512108	0.0153258	0.000267042	0.00427867	6.67608e-05	0.000133984	0.00011863	0.00104971	0.0012082	0.00489541	0.00209454	0.0151582	0.0157444	0.0216781	0.0200307	0.00886157	0.00503489	0.00553741	0.0166999	0.00165064	0.00393773	0.00985766	0.00130376	0.00977878	0.00364592	0.00108465	0.00652567	0.00546052	0.0121146	0.0208895	0.0252791	0.00283671	0.0123893	0.00689406	0.000220923	0.00594743	0.0155505	0.0163035	0.0062524	0.0144692	0.0009471	0.0257431	0.000649729	0.00445413	0.00856701	0.00727826	0.00254693	0.00944708	0.00550623	0.0109705	0.0201342	0.00336982	0.00628975	0.00981338	0.00427653	0.00187759	0.00357327	0.00805242	0.00506831	0.00468063	0.00649967	0.0244672	0.00179742	0.0156637	0.000857678	0.00261018	0.00201641	0.00161828	0.00209951	0.0102238	0.00130966	0.00326148	0.000188698
4	-1624.296	-2101.517	477.2209	0.0700282	0.0939401	0.0745265	0.084894	0.0856282	0.0421456	0.090929	0.0736532	0.077251	0.0886965	0.0773291	0.00802192	0.00573482	0.00720383	0.0069244	0.00712917	0.0072289	0.00764946	0.00865953	0.0058426	0.00655991	0.00827615	0.143554	0.0863414	0.228648	0.0479131	0.0337372	0.108438	0.0763565	0.0313972	0.165064	0.0434815	0.0350697	0.0780501	0.0996749	0.0817303	0.0918184	0.0927573	0.0493745	0.0985784	0.0823127	0.0830936	0.0952564	0.0856053	0.00309681	0.00329682	0.000191624	0.0062772	0.000760112	0.00776852	0.00498002	0.0126417	0.0207085	0.000722768	0.00114929	0.00136447	0.0128397	0.00392104	0.0162516	0.00637518	0.00499434	0.0101238	0.017217	0.0218593	0.0161843	0.00587955	0.00467217	0.0172884	0.0066111	0.00172065	0.00535568	0.00583246	0.0205291	0.00324329	0.00822776	0.00295886	0.000937201	0.00272976	0.0118321	0.00491659	0.0283615	0.00542347	0.0207575	0.000270356	0.00414189	6.02545e-05	0.000152914	0.000100172	0.0010115	0.0012082	0.00499886	0.00220323	0.0147655	0.0139306	0.0180484	0.0181043	0.00962603	0.0046774	0.00602977	0.0139813	0.00159691	0.00401551	0.0107143	0.00130376	0.0101824	0.00412511	0.00119557	0.00640299	0.00483733	0.00952969	0.0208895	0.0252791	0.00274226	0.0128762	0.00729175	0.000213018	0.00606965	0.0157465	0.014862	0.00693509	0.0140215	0.00104562	0.0282092	0.00066481	0.00435499	0.0087296	0.00738666	0.00235857	0.00935876	0.00550623	0.0109419	0.0206597	0.00333222	0.00590896	0.00862491	0.00500407	0.00187759	0.00349829	0.00714047	0.00556297	0.00474246	0.00697788	0.0205137	0.00167358	0.0156637	0.000920223	0.00321427	0.00201641	0.00165146	0.00179163	0.0116731	0.00123764	0.00292825	0.000201986
5	-1622.183	-2098.145	475.9617	0.0702732	0.0999887	0.0815671	0.0892312	0.085987	0.0382687	0.0896762	0.0743561	0.0914408	0.0896314	0.0910296	0.00777683	0.00632125	0.00799477	0.00534509	0.00677034	0.00721117	0.00890225	0.00795665	0.00561296	0.00658856	0.00708258	0.143554	0.0863414	0.228648	0.0479131	0.0337372	0.108438	0.0763565	0.0313972	0.165064	0.0434815	0.0350697	0.0780501	0.10631	0.0895618	0.0945763	0.0927573	0.0454799	0.0985784	0.0823127	0.0970538	0.0962199	0.0981122	0.00264734	0.00270836	0.000219853	0.00660218	0.000688017	0.0083558	0.00468468	0.0110236	0.0211236	0.000623311	0.00114929	0.00152721	0.0128397	0.00516519	0.0163086	0.00592176	0.00542625	0.0101238	0.0161509	0.0244676	0.0192183	0.00587955	0.00490719	0.0172055	0.00657971	0.00153328	0.00535568	0.00555713	0.0192002	0.00323897	0.0091526	0.00335709	0.00119761	0.0036546	0.011521	0.0049796	0.0310623	0.00636771	0.0177986	0.000240075	0.00385511	5.67529e-05	0.000136661	9.60969e-05	0.0010115	0.00134618	0.0048385	0.00227503	0.0138614	0.0137528	0.0177227	0.0170572	0.00924534	0.00511442	0.00580669	0.0134403	0.00139117	0.00471381	0.0105212	0.00127384	0.00889867	0.00397084	0.00144172	0.00592312	0.00513807	0.00974393	0.0239485	0.0261503	0.00306134	0.0140013	0.00780296	0.000210164	0.00626637	0.0150259	0.0138501	0.00782742	0.0133271	0.00115376	0.0299727	0.000691999	0.00423877	0.00865299	0.0075865	0.00204657	0.0103582	0.00550623	0.010629	0.0212369	0.0029763	0.00561169	0.00944913	0.00479063	0.00181507	0.00371598	0.00735975	0.00505628	0.00477957	0.00814826	0.0202668	0.00152284	0.0169388	0.000819981	0.00328811	0.00231356	0.00151139	0.00194348	0.00899684	0.0014698	0.00292825	0.000233203
6	-1604.054	-2080.795	476.7413	0.0637569	0.0812846	0.0743904	0.121269	0.0850627	0.0407188	0.0958179	0.0903699	0.0823737	0.101389	0.0917792	0.00734781	0.00635559	0.00838875	0.00418607	0.00554947	0.0065788	0.00814938	0.00647813	0.00536548	0.00671501	0.006333	0.143554	0.0863414	0.228648	0.0479131	0.0337372	0.108438	0.0763565	0.0313972	0.165064	0.0434815	0.0350697	0.0711047	0.0876402	0.0827792	0.125455	0.0906122	0.0472976	0.103967	0.096848	0.0877392	0.108104	0.0981122	0.00243241	0.00291332	0.000202475	0.00711838	0.000620346	0.00647148	0.00444143	0.01226	0.0211236	0.000620988	0.00117784	0.00152721	0.0157987	0.00415168	0.016051	0.00635979	0.00527993	0.0101277	0.0150579	0.0247818	0.0192162	0.00587955	0.00543285	0.0170951	0.00604864	0.00153328	0.00528058	0.00606929	0.0177798	0.00358721	0.00831021	0.00361117	0.00114542	0.00452642	0.0118337	0.00502284	0.0251013	0.00636771	0.015828	0.00024875	0.00438802	5.8677e-05	0.000147601	9.49621e-05	0.000924674	0.00137582	0.00415843	0.00191737	0.0147036	0.0130782	0.0173774	0.0191899	0.00924534	0.00511442	0.00636536	0.0141907	0.00131958	0.00414617	0.012499	0.00145949	0.00761976	0.0045388	0.0014109	0.00509294	0.00501919	0.0100067	0.0239769	0.0277966	0.00284384	0.0148769	0.00751827	0.000231369	0.0069047	0.0162783	0.0122384	0.00713226	0.0149136	0.00105421	0.03209	0.000717275	0.00361621	0.00955302	0.00750304	0.00227321	0.0104912	0.00556777	0.0113038	0.0213681	0.0029763	0.00566071	0.0106608	0.00525151	0.00175076	0.00406874	0.00725183	0.00472768	0.00465266	0.00796452	0.0188643	0.00180286	0.0153679	0.000855193	0.00317407	0.00223176	0.00141707	0.00193744	0.00853673	0.00177695	0.00279225	0.000220796
7	-1588.985	-2066.226	477.2416	0.07247	0.0816848	0.0776766	0.142402	0.0993871	0.0365644	0.100902	0.0926785	0.0995525	0.120965	0.107902	0.00681788	0.00676712	0.00810724	0.00433769	0.00550246	0.00699865	0.00741932	0.00651837	0.00568705	0.00617424	0.0057975	0.148409	0.0892618	0.236381	0.0495337	0.0348783	0.112106	0.0451159	0.0324592	0.170647	0.0449521	0.0362558	0.0792878	0.0884519	0.0857839	0.14674	0.10489	0.043563	0.108321	0.0991969	0.10524	0.127139	0.113699	0.00258293	0.00267672	0.000202475	0.00736118	0.000492649	0.00671347	0.00572955	0.0124811	0.0203142	0.000638257	0.0010428	0.00156126	0.0152044	0.00447572	0.015914	0.00509432	0.00634943	0.00807341	0.0138628	0.0247818	0.0149879	0.00604491	0.00568034	0.0174678	0.00617203	0.00162181	0.00481025	0.00559287	0.0183446	0.00346368	0.00735875	0.00340105	0.0012315	0.00442874	0.0110196	0.0057317	0.025028	0.0070591	0.0178067	0.000246575	0.00395237	7.47665e-05	0.000155235	0.000100086	0.00125997	0.00133593	0.00368445	0.00169165	0.0147036	0.0121681	0.0206182	0.0187274	0.00908534	0.00537947	0.00630612	0.0124456	0.00136352	0.00391395	0.0120788	0.00137457	0.00730648	0.00442361	0.00118772	0.00602503	0.00496999	0.00898538	0.02382	0.0260369	0.00276222	0.0116721	0.00747252	0.000216924	0.00554849	0.0152403	0.0121661	0.00752291	0.0166181	0.00105747	0.0331973	0.000814631	0.00364124	0.0120113	0.00750304	0.00228961	0.00996346	0.00620946	0.0133129	0.0220204	0.00247659	0.00473672	0.0108646	0.00531253	0.00160043	0.00496166	0.00706949	0.0043456	0.00480196	0.00755968	0.0181721	0.0015902	0.0159714	0.000868359	0.00288976	0.00223176	0.00134251	0.00168834	0.00775882	0.00166366	0.00300525	0.000202289
8	-1581.808	-2058.209	476.4005	0.0715632	0.0808689	0.0823375	0.165864	0.100366	0.0309638	0.102495	0.0964203	0.0939993	0.127978	0.117213	0.00772461	0.00694141	0.00819405	0.00384147	0.0045238	0.00689832	0.00886007	0.00587228	0.00538208	0.00662	0.00674977	0.148409	0.0892618	0.236381	0.0495337	0.0348783	0.112106	0.0451159	0.0324592	0.170647	0.0449521	0.0362558	0.0792878	0.0878103	0.0905316	0.169705	0.10489	0.0378621	0.111355	0.102293	0.0993814	0.134598	0.123963	0.00258293	0.00268353	0.000183492	0.00865553	0.000535844	0.00581593	0.00567108	0.0132529	0.0203142	0.000623987	0.00104855	0.00153453	0.0148424	0.00374958	0.0161243	0.00520245	0.00581293	0.00825419	0.0137907	0.0275138	0.0158718	0.00567026	0.00529446	0.0174678	0.00622533	0.00181807	0.00408757	0.00561502	0.0183446	0.00399171	0.00714919	0.00382723	0.00100094	0.00442874	0.011252	0.0051761	0.0253451	0.00588289	0.0192636	0.000267188	0.00351076	6.05951e-05	0.000150901	9.47915e-05	0.0013833	0.0013388	0.00395515	0.00164931	0.0132394	0.0129005	0.0198026	0.0183669	0.00848861	0.00601982	0.00564449	0.0103226	0.00145893	0.00349966	0.0108248	0.00169835	0.00728545	0.00463065	0.00100074	0.00593377	0.0046905	0.00753825	0.0264375	0.0282687	0.00291701	0.00995339	0.00708724	0.000196025	0.00550251	0.0136786	0.0123038	0.00710521	0.0159197	0.00101421	0.0350223	0.000810292	0.00333056	0.0121671	0.00707942	0.00234263	0.0114833	0.00588448	0.0126304	0.0275256	0.00247659	0.00455056	0.0116755	0.00442879	0.00157761	0.0045298	0.00655646	0.00408254	0.00523178	0.00951898	0.0169931	0.00161584	0.0174151	0.000987337	0.00288738	0.00194586	0.00143428	0.00155468	0.00788706	0.00179171	0.00316329	0.000248637
9	-1567.253	-2044.732	477.4792	0.0899688	0.075238	0.0853482	0.168012	0.106939	0.0339087	0.106831	0.110533	0.0889458	0.153199	0.0979551	0.00772461	0.00677043	0.00755712	0.00430539	0.0050845	0.00684547	0.00914127	0.00522097	0.00550984	0.00616317	0.00673416	0.148409	0.0892618	0.236381	0.0495337	0.0348783	0.112106	0.0451159	0.0324592	0.170647	0.0449521	0.0362558	0.0976935	0.0820085	0.0929053	0.172318	0.112023	0.0407542	0.115972	0.115754	0.0944556	0.159362	0.104689	0.00263655	0.00259951	0.000173617	0.00791591	0.000521765	0.00594122	0.00621495	0.0132838	0.0201615	0.00057537	0.00103407	0.0016409	0.0151158	0.00406996	0.0155407	0.00576824	0.00563255	0.00862059	0.015798	0.024664	0.0132413	0.00537086	0.0050159	0.0145896	0.00716171	0.00211326	0.00351842	0.00505128	0.0184678	0.00463164	0.00796792	0.00377888	0.00114611	0.00459862	0.0120421	0.0060023	0.0234778	0.00563134	0.019749	0.000283188	0.00272823	5.50312e-05	0.000145261	9.80243e-05	0.00139505	0.00131348	0.00392459	0.00154841	0.0136066	0.0156065	0.0184869	0.0164273	0.00696257	0.00579577	0.00538289	0.0104741	0.00140717	0.0032839	0.0108248	0.00161576	0.00716068	0.00565049	0.00102795	0.00575444	0.00487435	0.00785532	0.0273918	0.0264188	0.00349852	0.00969645	0.0077238	0.000196025	0.00548316	0.0121834	0.0125686	0.00739205	0.0154688	0.00102887	0.0328899	0.000708285	0.00320307	0.0112285	0.0074371	0.00264127	0.0126749	0.00608267	0.012696	0.0219802	0.0022619	0.00455056	0.0122581	0.0043989	0.00149556	0.00483535	0.00702523	0.00385209	0.00597919	0.0106061	0.0173766	0.00167372	0.0174151	0.00124419	0.00306639	0.00210341	0.00141218	0.00187001	0.00753805	0.00166608	0.00313255	0.000225526
