Iteration	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	diversification[5]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]	transition_rates[7]	transition_rates[8]	transition_rates[9]	transition_rates[10]	transition_rates[11]	transition_rates[12]	transition_rates[13]	transition_rates[14]	transition_rates[15]	transition_rates[16]	transition_rates[17]	transition_rates[18]	transition_rates[19]	transition_rates[20]
0	-3695.321	-3793.311	97.98968	0.0708886	0.0708886	0.0708886	0.0708886	0.0708886	0.00787651	0.00787651	0.00787651	0.00787651	0.00787651	0.560757	0.144796	0.275005	0.0133777	0.00606351	0.0787651	0.0787651	0.0787651	0.0787651	0.0787651	0.00340962	0.000904902	0.000787983	0.000381317	0.00119859	0.00389597	0.022253	0.0139882	0.00452816	0.0104803	0.0272438	0.000182777	0.00653217	0.0113795	0.0012201	0.00925878	0.00689784	0.00647436	0.00275265	0.0100864
1	-3666.006	-3764.382	98.376	0.072704	0.0771688	0.0721368	0.0678479	0.0751736	0.0083134	0.00788255	0.00669611	0.00818282	0.00669644	0.560757	0.144796	0.275005	0.0133777	0.00606351	0.0810174	0.0850513	0.0788329	0.0760307	0.08187	0.00394897	0.000861306	0.000963988	0.000349789	0.00119897	0.00383054	0.022253	0.0123325	0.00450796	0.00974967	0.0255121	0.000192155	0.00736331	0.0127038	0.0012201	0.00896974	0.00741307	0.00656918	0.00301428	0.00893454
2	-3613.179	-3711.811	98.63258	0.076914	0.0909292	0.0716719	0.0599971	0.0863938	0.00881082	0.00788255	0.00716098	0.00781377	0.0058705	0.560757	0.144796	0.275005	0.0133777	0.00606351	0.0857248	0.0988117	0.0788329	0.0678108	0.0922643	0.00500757	0.000743496	0.000992343	0.000382706	0.00120054	0.00380142	0.0185231	0.0117236	0.0042758	0.0106366	0.0267937	0.000178692	0.00725839	0.0113287	0.00125776	0.00881823	0.00727289	0.00643832	0.00283148	0.00932339
3	-3594.238	-3692.545	98.30685	0.0863663	0.0919024	0.0728921	0.0513285	0.0907579	0.0100065	0.00690928	0.0083863	0.00798544	0.00542764	0.385363	0.22271	0.362026	0.0205761	0.00932622	0.0963728	0.0988117	0.0812784	0.0593139	0.0961855	0.00500757	0.000743496	0.000916412	0.000393509	0.00155853	0.00394896	0.018932	0.0113132	0.00493002	0.0115299	0.0268152	0.000186495	0.00647551	0.0112449	0.00130569	0.00943659	0.00776161	0.00622911	0.00270371	0.00865173
4	-3593.61	-3691.039	97.42834	0.0896615	0.0917514	0.0865817	0.054212	0.0907579	0.0106824	0.00706031	0.00871615	0.00820021	0.00542764	0.385363	0.22271	0.362026	0.0205761	0.00932622	0.100344	0.0988117	0.0952978	0.0624122	0.0961855	0.0047674	0.000688187	0.000820027	0.000408299	0.00167201	0.0048667	0.018932	0.0120916	0.00535864	0.0113442	0.0287918	0.00018489	0.00566178	0.010345	0.00117928	0.0101018	0.0075708	0.0060476	0.00304829	0.00975464
5	-3556.056	-3653.727	97.67098	0.106722	0.102199	0.074533	0.0586695	0.0886616	0.0106483	0.00609497	0.00796687	0.00735119	0.00508952	0.385363	0.22271	0.362026	0.0205761	0.00932622	0.11737	0.108294	0.0824999	0.0660207	0.0937512	0.00524113	0.000677559	0.000786569	0.000353041	0.00173608	0.00471794	0.020117	0.0104848	0.0053728	0.0118125	0.0307183	0.000179232	0.00558172	0.00927241	0.00147048	0.0101359	0.00782371	0.00549107	0.00361332	0.00832069
6	-3528.614	-3626.031	97.41699	0.113884	0.114493	0.0721554	0.0528734	0.0933356	0.011342	0.00619468	0.00796687	0.0093824	0.00484093	0.385363	0.22271	0.362026	0.0205761	0.00932622	0.125226	0.120688	0.0801223	0.0622558	0.0981765	0.00524113	0.000648063	0.000857192	0.000317883	0.00182617	0.00395498	0.020117	0.0105528	0.0053728	0.0114315	0.0305454	0.000204067	0.00521002	0.00881112	0.0013199	0.00939315	0.00897949	0.00613233	0.00352113	0.008347
7	-3514.371	-3611.711	97.34068	0.133814	0.114792	0.0770107	0.0602816	0.0922755	0.0106389	0.00589581	0.00884535	0.00809507	0.00590102	0.385363	0.22271	0.362026	0.0205761	0.00932622	0.144453	0.120688	0.085856	0.0683767	0.0981765	0.00630181	0.000676959	0.000967044	0.000357079	0.00182617	0.00360297	0.020117	0.0108715	0.00502624	0.011328	0.0259118	0.000207817	0.00540205	0.00881112	0.00138919	0.00977127	0.00797486	0.00814237	0.00352699	0.00854904
8	-3506.794	-3604.625	97.83046	0.133635	0.11475	0.0857765	0.0487435	0.0919945	0.0108178	0.00593773	0.0070231	0.0077221	0.00573635	0.385363	0.22271	0.362026	0.0205761	0.00932622	0.144453	0.120688	0.0927996	0.0564656	0.0977308	0.00698576	0.000676959	0.00117747	0.000374077	0.00180645	0.00362033	0.020117	0.00846264	0.00482553	0.013375	0.025615	0.000243139	0.00609981	0.00774841	0.00131674	0.00948328	0.00843855	0.00828808	0.00359663	0.00784489
9	-3494.401	-3592.221	97.81966	0.160765	0.113684	0.0917495	0.0439088	0.0893524	0.00956785	0.0070035	0.00660183	0.00736664	0.00643994	0.385363	0.22271	0.362026	0.0205761	0.00932622	0.170333	0.120688	0.0983513	0.0512754	0.0957923	0.00748754	0.000739332	0.00101668	0.000382523	0.00194511	0.00328146	0.0196375	0.00898709	0.00442511	0.0146927	0.025615	0.000243139	0.00606768	0.00693003	0.00120148	0.0092344	0.00941365	0.00764002	0.00333171	0.00674441
